科目,2010年度,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,"37,240,000.00","5,000,000.00",,"642,996,774.04",,"619,142,489.05",,,"15,716,949.15",,"20,003,389.74","44,282,736.15","49,584,509.70",,"48,761,469.13","113,091,197.66","89,685,738.46","94,268,255.56"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"115,153,956.51","100,297,890.93","94,280,956.23","68,928,456.49","3,823,680.00","11,551,921.17",,"85,834,594.39","72,289,481.09","166,679,097.01","156,656,522.30",,"206,247,011.48","260,239,635.36","219,327,922.92",,"151,000,000.00","153,089,787.77","178,082,557.91",
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"168,925,627.93","1,893,562.53","2,557,520.87","2,935,368.50","1,376,738.00","1,597,981.49","3,796,008.19","55,389.86","613,048.34","918,202.32","2,312,860.48","4,611.03","1,955,674.93","1,653,528.98","2,068,679.21","482,196.71","955,067.15","1,283,221.41","1,995,259.27","515,481.30"
向其他金融机构拆入资金净增加额,,,,"6,370,000,000.00",,"510,000,000.00",,,,,,,"3,500,000,000.00",,,"300,000,000.00","2,000,000,000.00","2,700,000,000.00","3,500,000,000.00","300,000,000.00"
投资活动现金流入小计,"284,079,584.44","102,191,453.46","134,078,477.10","76,863,824.99","5,200,418.00","656,146,676.70","3,796,008.19","705,032,473.30","72,902,529.43","167,597,299.33","174,686,331.93","4,611.03","228,206,076.15","306,175,900.49","270,981,111.83","482,196.71","200,716,536.28","267,464,206.84","269,763,555.64","94,783,736.86"
收取利息、手续费及佣金的现金,"8,770,042,367.46","7,175,415,742.89","6,054,886,677.04","7,084,387,106.22","4,315,418,392.76","6,892,488,380.28","11,254,156,100.29","5,488,209,285.47","16,840,940,247.49","24,545,735,097.19","31,044,580,298.65","4,262,738,983.55","8,562,651,817.97","12,968,868,434.78","16,671,750,656.65","3,344,484,051.61","6,777,970,220.72","10,757,992,027.80","14,326,764,462.39","3,343,908,102.52"
投资支付的现金,"336,677,200.00","38,000,000.00","525,980,620.00","203,000,000.00","10,000,000.00","1,471,924,938.77","210,000,000.00","166,786,867.77","135,000,000.00","163,800,000.00","292,879,000.00","72,000,000.00","79,845,000.00","137,645,000.00","226,535,000.00","20,488,000.00","45,488,000.00","288,009,416.79","303,288,000.00",
