科目,2013-12-31,2015-12-31
货币资金,"29,306.09","145,538,292.24"
短期借款,"277,855,988.24","61,855,470.00"
交易性金融资产,,
交易性金融负债,,
应收票据,,"4,103,401.00"
应付票据,,
应收账款,,"50,935,572.67"
应付账款,"144,738,304.10","8,568,655.66"
预付款项,,"8,492,327.78"
预收款项,"839,367.38","5,859,117.53"
其他应收款,"2,673,239.65","4,756,148.66"
应付职工薪酬,"333,600.00","4,578,396.57"
应收关联公司款,,
应交税费,"-23,658,590.57","6,815,517.48"
应收利息,,
应付利息,"212,670,669.86",
应收股利,,
应付股利,,"4,630,000.00"
存货,,"99,123,251.54"
其他应付款,"89,511,418.77","89,748,731.41"
其中:消耗性生物资产,,
应付关联公司款,,
一年内到期的非流动资产,,
一年内到期的非流动负债,,
其他流动资产,,"4,202,730.45"
其他流动负债,,
流动资产合计,"2,702,545.74","317,151,724.34"
流动负债合计,"702,290,757.78","182,055,888.65"
可供出售金融资产,,"151,206.41"
长期借款,,
持有至到期投资,,
应付债券,,
长期应收款,,
长期应付款,,
长期股权投资,,
专项应付款,,
投资性房地产,,
预计负债,"18,139,545.79",
固定资产,,"3,428,400.98"
递延所得税负债,,
在建工程,,
其他非流动负债,,
工程物资,,
非流动负债合计,"18,139,545.79",
固定资产清理,,
负债合计,"720,430,303.57","182,055,888.65"
生产性生物资产,,
实收资本(或股本),"565,985,134.50","282,992,567.00"
油气资产,,
资本公积,"94,918,133.23","-214,980,136.91"
无形资产,,"55,333.49"
盈余公积,,"1,236,504.62"
开发支出,,
减:库存股,,
商誉,,
未分配利润,"-1,378,631,025.56","45,630,558.89"
长期待摊费用,,"865,776.79"
少数股东权益,,"28,838,721.66"
递延所得税资产,,"4,707,381.20"
外币报表折算价差,,
其他非流动资产,,
非正常经营项目收益调整,,
非流动资产合计,,"9,208,098.87"
所有者权益(或股东权益)合计,"-717,727,757.83","144,303,934.56"
资产总计,"2,702,545.74","326,359,823.21"
负债和所有者(或股东权益)合计,"2,702,545.74","326,359,823.21"
