科目,2005-09-30
货币资金,"15,543,241.00"
短期借款,"2,132,160,000.00"
交易性金融资产,
交易性金融负债,
应收票据,"1,819,488.00"
应付票据,
应收账款,"227,916,701.00"
应付账款,"1,880,956,559.00"
预付款项,"163,882,111.00"
预收款项,"1,993,171,128.00"
其他应收款,"33,646,347.00"
应付职工薪酬,"242,724,895.00"
应收关联公司款,
应交税费,"-106,287,532.00"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"2,213,371,330.00"
其他应付款,"129,400,615.00"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"145,321,576.00"
其他流动资产,"19,814,666.00"
其他流动负债,"120,011,366.00"
流动资产合计,"2,675,993,884.00"
流动负债合计,"6,537,458,607.00"
可供出售金融资产,
长期借款,"553,007,385.00"
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"125,925,225.00"
专项应付款,
投资性房地产,
预计负债,
固定资产,"8,311,794,405.00"
递延所得税负债,
在建工程,"141,824,709.00"
其他非流动负债,"119,545,397.00"
工程物资,"14,732,460.00"
非流动负债合计,"672,552,782.00"
固定资产清理,
负债合计,"7,210,011,389.00"
生产性生物资产,
实收资本(或股本),"3,561,078,000.00"
油气资产,
资本公积,"2,295,540,602.00"
无形资产,"1,245,725,625.00"
盈余公积,"699,270,943.00"
开发支出,
减:库存股,
商誉,
未分配利润,"-851,774,815.00"
长期待摊费用,"110,674,349.00"
少数股东权益,"5,037,593.00"
递延所得税资产,"292,493,055.00"
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"10,243,169,828.00"
所有者权益(或股东权益)合计,"5,709,152,323.00"
资产总计,"12,919,163,712.00"
负债和所有者(或股东权益)合计,"12,919,163,712.00"
