科目,2006-06-30
货币资金,"218,811.90"
短期借款,"59,516,000.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"2,241,051.11"
应付账款,"268,787.68"
预付款项,"26,260,000.00"
预收款项,"553,482.88"
其他应收款,"131,975,030.47"
应付职工薪酬,"1,405,460.12"
应收关联公司款,
应交税费,"-133,526.60"
应收利息,
应付利息,
应收股利,
应付股利,"7,384,672.00"
存货,
其他应付款,"143,921,372.93"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"59,482,531.22"
流动资产合计,"160,694,893.48"
流动负债合计,"272,398,780.23"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"105,597,102.48"
专项应付款,"250,000.00"
投资性房地产,
预计负债,
固定资产,"1,121,331.32"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,"250,000.00"
固定资产清理,
负债合计,"272,648,780.23"
生产性生物资产,
实收资本(或股本),"66,739,200.00"
油气资产,
资本公积,"129,642,869.00"
无形资产,
盈余公积,"15,297,052.24"
开发支出,
减:库存股,
商誉,
未分配利润,"-219,805,293.55"
长期待摊费用,
少数股东权益,"2,890,719.36"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"106,718,433.80"
所有者权益(或股东权益)合计,"-5,235,452.95"
资产总计,"267,413,327.28"
负债和所有者(或股东权益)合计,"267,413,327.28"
