科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,723,658,015.98","1,508,669,052.48","1,599,024,916.49","444,954,495.76",,"1,421,020,823.40","1,142,791,044.53","339,477,345.23","680,389,753.12","1,057,574,240.29","1,352,871,497.34","466,570,064.25"
取得子公司及其他营业单位支付的现金净额,,"965,837.61",,,,,,,"-3,197.67","-3,197.67",,
收到的税费返还,"4,870,835.11","5,427,061.42","8,407,632.56","1,693,181.17",,"5,055,768.40","7,648,768.40",,"1,700,320.00","1,700,320.00","24,111,385.83",
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"38,357,660.93","19,789,676.55","24,368,806.19","6,383,256.71",,"47,361,503.20","47,089,568.05","60,996,627.39","161,877,676.33","232,286,748.75","290,620,000.50","59,335,845.19"
投资活动现金流出小计,"188,529,211.45","182,529,825.32","187,217,055.55","81,536,722.39",,"124,754,836.95","50,848,628.26","33,636,978.21","75,690,159.12","83,471,502.35","60,484,161.55","78,548,310.51"
经营活动现金流入小计,"1,766,886,512.02","1,533,885,790.45","1,631,801,355.24","453,030,933.64",,"1,473,438,095.00","1,197,529,380.98","400,473,972.62","843,967,749.45","1,291,561,309.04","1,667,602,883.67","525,905,909.44"
投资活动产生的现金流量净额,"-181,770,777.65","-175,576,349.39","-187,120,836.21","-81,447,071.22","-90,144,800.00","-124,754,836.95","-50,764,628.26","-33,621,978.21","-33,054,796.20","-40,754,639.43","-46,420,123.55","-78,332,310.51"
购买商品、接受劳务支付的现金,"980,617,339.74","875,991,055.47","910,654,667.86","288,671,656.28",,"913,374,047.94","760,204,293.14","272,389,427.01","544,738,826.98","841,049,639.11","1,037,433,185.87","274,715,029.22"
吸收投资收到的现金,"230,000,000.00",,"4,238,375.81",,,,"640,520,000.00","276,000.92","276,000.92","47,787,729.76","46,646,619.59","8,007,661.71"
支付给职工以及为职工支付的现金,"109,069,389.10","134,972,534.22","145,576,686.74","49,531,712.66",,"102,874,080.63","151,390,113.51","49,837,594.95","96,575,946.70","145,377,196.90","191,040,893.44","72,700,821.72"
取得借款收到的现金,"840,182,114.91","1,034,500,000.00","1,305,460,000.00","165,000,000.00",,"630,000,000.00","1,040,000,000.00","245,000,000.00","370,000,000.00","580,000,000.00","1,150,000,000.00","180,000,000.00"
支付的各项税费,"177,343,547.31","183,528,899.93","167,417,417.79","21,690,365.74",,"102,641,526.54","141,354,347.52","24,283,128.45","71,077,816.39","110,732,554.53","182,029,788.62","44,952,943.25"
收到其他与筹资活动有关的现金,"265,540,000.00","328,990,000.00","121,419,962.00","9,000,000.00",,"9,053,924.36","29,000,000.00",,,"27,810.06",,"80,000,000.00"
支付其他与经营活动有关的现金,"455,675,734.61","264,100,873.48","253,256,528.68","75,854,985.72",,"248,940,799.49","265,776,209.75","100,646,696.93","137,083,635.79","222,108,966.11","354,865,103.97","95,066,505.76"
筹资活动现金流入小计,"1,335,722,114.91","1,363,490,000.00","1,431,118,337.81","174,000,000.00",,"639,053,924.36","1,709,520,000.00","245,276,000.92","370,276,000.92","627,815,539.82","1,196,646,619.59","268,007,661.71"
经营活动现金流出小计,"1,722,706,010.76","1,458,593,363.10","1,476,905,301.07","435,748,720.40",,"1,367,830,454.60","1,318,724,963.92","447,156,847.34","849,476,225.86","1,319,268,356.65","1,765,368,971.90","487,435,299.95"
偿还债务支付的现金,"621,938,328.16","708,460,000.00","1,185,250,000.00","178,710,000.00",,"663,710,000.00","1,491,710,000.00","200,000,000.00","290,000,000.00","445,000,000.00","825,000,000.00","115,000,000.00"
经营活动产生的现金流量净额,"44,180,501.26","75,292,427.35","154,896,054.17","17,282,213.24","30,389,200.00","105,607,640.40","-121,195,582.94","-46,682,874.72","-5,508,476.41","-27,707,047.61","-97,766,088.23","38,470,609.49"
分配股利、利润或偿还利息支付的现金,"146,852,176.73","144,672,764.07","104,301,194.87","10,155,377.63",,"33,376,219.38","45,640,318.64","6,692,945.82","73,338,407.64","80,282,181.68","91,291,226.16","9,182,204.31"
收回投资收到的现金,"4,917,600.00",,,,,,,,"30,000,000.00","30,000,000.00","1,049,538.00",
支付其他与筹资活动有关的现金,"325,840,000.00","447,859,962.00","52,720,000.00","200,000.00",,"2,269,583.33","28,549,991.94","4,110,000.00","4,162,417.00","6,015,562.00","25,679,846.09","1,111,272.22"
取得投资收益收到的现金,"1,725,400.00",,,,,,,,"18,082.20","18,082.20",,
筹资活动现金流出小计,"1,094,630,504.89","1,300,992,726.07","1,342,271,194.87","189,065,377.63",,"699,355,802.71","1,565,900,310.58","210,802,945.82","367,500,824.64","531,297,743.68","941,971,072.25","125,293,476.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"115,433.80","6,953,475.93","96,219.34","89,651.17",,,"84,000.00","15,000.00","12,617,280.72","12,698,780.72","13,014,500.00","216,000.00"
