科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"736,075,745.60","762,389,972.68","960,636,251.67","213,356,400.00","356,104,923.81","474,887,000.00","590,323,431.83","75,025,584.64","186,840,885.32","274,140,126.89","416,710,326.45","146,501,744.35","342,396,110.24","535,333,808.55","830,490,477.47","205,887,343.08","483,333,016.10","768,294,264.25","1,169,304,871.02","248,944,979.06"
二、营业利润,"92,984,604.38","71,526,480.44","136,364,195.68","24,711,300.00","20,768,867.02","36,024,500.00","25,153,926.44","-22,813,427.09","-35,599,754.62","-50,039,135.17","-71,141,160.16","5,538,166.61","13,617,469.07","23,816,479.04","33,909,170.07","-431,417.20","26,598,566.62","70,983,137.35","104,106,793.36","23,165,790.36"
减:营业成本,"536,670,845.00","580,061,705.39","692,493,233.06",,"275,963,048.48",,"469,414,433.39","68,949,594.76","167,646,544.42","250,637,951.05","368,635,360.86","120,866,369.80","278,525,977.55","432,269,432.31","665,670,120.87","167,568,894.34","389,854,622.88","606,968,637.48","913,012,160.76","182,738,359.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,040,786.18","4,044,911.05","3,989,145.60",,"2,949,399.72",,"4,982,642.45","1,474,196.14","1,562,639.95","2,317,471.44","4,266,114.51","596,467.88","1,767,679.68","2,610,205.67","3,763,567.32","1,666,254.97","2,808,524.52","4,142,999.48","5,366,853.93","1,646,573.64"
营业外收入,"5,570,971.44","6,489,189.89","5,344,165.35",,"1,933,258.32",,"6,688,995.42","2,628,832.36","3,794,358.87","6,985,147.11","8,168,687.44","1,465,790.53","312,245.41","326,081.57","83,245.23","177,833.39","232,438.64","232,747.69","232,863.94","109,728.27"
销售费用,"35,660,420.28","37,343,924.09","45,583,894.50",,"18,791,903.80",,"31,031,520.88","9,489,724.23","19,216,986.08","27,701,306.89","36,087,683.44","9,665,492.41","22,020,479.54","34,802,307.07","50,080,257.39","12,193,353.98","25,561,670.14","40,191,630.42","61,066,488.91","12,788,257.33"
减:营业外支出,"2,905,189.80","341,408.68","1,394,112.22",,"454,265.99",,"476,531.86","115,836.02","346,306.71","381,927.26","1,387,091.46","687,041.62","881,559.97","1,004,056.59","92,940.33","2,774.56","202,841.86","207,391.86","519,930.24","104,491.49"
管理费用,"59,384,024.87","57,423,584.60","64,123,045.71",,"37,280,398.74",,"60,236,550.56","15,998,130.72","29,549,845.23","45,750,007.43","68,191,558.74","13,666,671.33","27,195,255.59","40,282,354.87","63,811,305.51","15,941,427.58","33,357,256.34","36,403,126.62","48,856,945.17","14,184,780.90"
其中:非流动资产处置净损失,"2,488,123.49","326,859.96","1,101,718.15",,"424,592.37",,"1,101,717.15","30,850.11","315,250.53","348,533.54","1,353,697.74","686,784.83","831,303.17","949,445.88",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"11,757,322.62","21,656,349.23","6,584,410.33",,"379,950.12",,"-1,358,392.23","38,461.38","-1,842,747.42","-2,890,300.17","-4,763,578.16","1,209,746.91","5,381,374.80","10,545,571.00","16,542,958.12","11,259,754.21","5,121,071.00","-366,166.13","1,535,716.13","8,371,821.74"
三、利润总额,"95,650,386.02","77,674,261.65","140,314,248.81","25,244,400.00","22,247,859.35","37,783,100.00","31,366,390.00","-20,300,430.75","-32,151,702.46","-43,435,915.32","-64,359,564.18","6,316,915.52","13,048,154.51","23,138,504.02","33,899,474.97","-256,358.37","26,628,163.40","71,008,493.18","103,819,727.06","23,171,027.14"
资产减值损失,"-643,368.61","4,678,593.64","5,511,857.21",,"3,410,500.92",,"1,173,040.21","-192,956.49","2,941,526.07","291,254.14","16,173,515.13","-166,433.08","2,320,602.95","3,827,013.29","15,473,707.90","3,302,708.79","10,499,342.40","9,038,889.20","12,618,061.58","3,484,721.50"
