科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"11,128,229,044.07","23,568,793,145.00","1,144,794,602.76","9,071,574,359.00","11,842,574,546.00","27,969,282,458.00","2,037,184,429.00","11,327,937,186.00","16,855,676,067.00","40,525,684,827.00","5,178,779,471.00","15,757,537,297.00","24,794,149,993.00","54,133,310,991.00","4,330,182,125.00"
二、营业利润,"1,063,728,763.26","3,272,224,420.00","-276,653,263.16","1,228,353,198.00","1,234,243,736.00","4,231,924,811.00","72,521,186.00","1,640,287,744.00","2,811,141,284.00","8,359,690,305.00","481,512,253.00","3,473,719,968.00","5,327,493,317.00","15,643,458,063.00","242,827,730.00"
减:营业成本,"8,590,559,783.16","17,250,341,611.00","960,057,676.62","6,713,458,945.00","8,978,420,232.00","20,174,155,904.00","1,245,369,753.00","7,224,169,573.00","10,554,583,398.00","26,115,153,947.00","3,293,407,290.00","9,714,194,623.00","15,227,644,331.00","34,273,247,106.00","2,667,071,925.00"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"726,266,324.90","1,945,896,821.00","60,497,262.97","472,718,286.00","572,735,780.00","1,742,055,272.00","191,045,368.00","955,487,086.00","1,590,298,333.00","3,265,950,521.00","441,918,534.00","1,477,386,355.00","2,063,274,234.00","3,499,975,712.00","356,043,246.00"
营业外收入,"88,000,189.05","26,493,037.00","11,877,421.94","19,578,025.00","31,604,054.00","94,898,636.00","13,147,128.00","15,786,907.00","24,856,752.00","37,868,980.00","8,597,652.00","25,272,343.00","44,451,775.00","172,107,934.00","65,600,972.00"
销售费用,"463,816,804.29","787,267,069.00","163,186,009.63","342,591,336.00","570,689,479.00","1,032,466,358.00","165,635,484.00","484,653,967.00","691,348,122.00","1,776,404,786.00","333,987,957.00","596,214,746.00","918,219,427.00","2,267,479,658.00","365,701,970.00"
减:营业外支出,"5,118,737.63","7,863,602.00","2,904,445.54","5,880,664.00","7,706,464.00","36,859,851.00","6,241,486.00","11,130,745.00","19,478,399.00","26,991,700.00","6,437,745.00","24,967,938.00","38,939,593.00","48,419,646.00","7,393,869.00"
管理费用,"545,142,330.30","873,412,077.00","199,826,800.31","398,850,560.00","629,288,905.00","1,270,412,725.00","263,745,805.00","980,016,781.00","1,301,215,860.00","1,982,879,721.00","498,590,588.00","1,075,962,958.00","1,478,352,097.00","2,266,255,145.00","585,606,985.00"
其中:非流动资产处置净损失,"164,948.39","414,627.00","101,676.69","170,336.00","1,241,943.00","1,814,238.00","2,372,691.00","2,824,386.00","3,463,384.00",,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"51,309,122.85","130,904,025.00","25,075,336.82","49,780,353.00","76,720,763.00","272,029,710.00","43,864,834.00","270,097,205.00","319,040,454.00","446,750,932.00","122,710,803.00","583,685,805.00","992,028,738.00","841,694,166.00","27,609,306.00"
三、利润总额,"1,146,610,214.68","3,290,853,855.00","-267,680,286.76","1,242,050,559.00","1,258,141,326.00","4,289,963,596.00","79,426,828.00","1,644,943,906.00","2,816,519,637.00","8,370,567,585.00","483,672,160.00","3,474,024,373.00","5,333,005,499.00","15,767,146,351.00","301,034,833.00"
资产减值损失,"98,536,594.90","242,494,572.00",,,,,,,,"29,887,631.00","57,828,306.00","180,908,282.00","13,170,510.00","263,684,188.00",
减:所得税,"273,278,802.86","891,249,202.00","-65,397,470.39","381,672,013.00","360,674,726.00","1,134,025,287.00","40,836,787.00","498,455,342.00","767,230,501.00","2,110,204,926.00","112,340,985.00","876,641,939.00","1,204,949,232.00","3,558,335,786.00","82,393,985.00"
加:公允价值变动净收益,"282,643,480.62","815,106,132.00",,"215,923,312.00","215,923,312.00","593,989,634.00",,"178,779,429.00","178,779,429.00","910,566,900.00",,"653,276,934.00","653,276,934.00","2,784,553,772.00",
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,"128,487,198.97","118,641,318.00","-12,804,779.57","-81,744,993.00","3,601,037.00","159,772,688.00","-55,001,999.00","47,995,741.00","233,171,955.00","538,510,644.00","50,963,998.00","688,900,722.00","702,976,007.00","2,267,262,052.00","-26,326,872.00"
四、净利润,"873,331,411.82","2,399,604,653.00","-202,282,816.37","860,378,546.00","897,466,600.00","3,155,938,309.00","38,590,041.00","1,146,488,564.00","2,049,289,136.00","6,260,362,659.00","371,331,175.00","2,597,382,434.00","4,128,056,267.00","12,208,810,565.00","218,640,848.00"
其中:对联营企业和合营企业的投资权益,"71,464,814.97","61,363,410.00","-8,313,243.92","-2,446,797.00","49,423,449.00","188,547,596.00","-63,208,772.00","35,933,614.00","203,509,539.00","226,752,958.00","35,072,251.00","646,949,226.00","661,024,511.00","1,511,722,578.00","-26,326,872.00"
归属于母公司所有者的净利润,"448,199,488.42","1,836,274,417.00","-193,697,085.40","852,353,641.00","882,965,994.00","3,019,228,519.00","42,271,476.00","1,139,229,359.00","1,991,843,230.00","6,028,907,738.00","360,409,816.00","2,538,328,487.00","3,120,956,858.00","10,491,286,267.00","206,766,951.00"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,"425,131,923.40","563,330,236.00","-8,585,730.97","8,024,905.00","14,500,606.00","136,709,790.00","-3,681,435.00","7,259,205.00","57,445,906.00","231,454,921.00","10,921,359.00","59,053,947.00","1,007,099,409.00","1,717,524,298.00","11,873,897.00"
