科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"466,027,269.24","418,311,404.84","662,125,372.13","231,287,064.90",,"704,522,895.84","111,807,226.44","195,494,261.96","302,159,094.80"
取得子公司及其他营业单位支付的现金净额,,,123.13,,,,,,
收到的税费返还,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"7,786,525.38","10,245,126.90","19,699,619.62","11,299,129.24",,"20,553,368.91","13,058,140.44","21,449,759.29","28,244,460.59"
投资活动现金流出小计,"13,338,023.15","3,521,734.56","7,569,429.72","1,541,590.64",,"2,184,910.05","2,955,291.49","8,993,443.20","37,594,835.38"
经营活动现金流入小计,"473,813,794.62","428,556,531.74","681,824,991.75","242,586,194.14",,"725,076,264.75","124,865,366.88","216,944,021.25","330,403,555.39"
投资活动产生的现金流量净额,"-13,306,023.15","-3,521,734.56","-7,567,429.72","-1,540,790.64","-2,321,138.28","-2,184,110.05","-2,955,291.49","-8,993,443.20","-37,594,835.38"
购买商品、接受劳务支付的现金,"297,213,824.72","265,225,206.28","360,794,255.80","226,157,170.09",,"429,286,596.68","129,006,594.47","254,262,119.59","406,843,127.72"
吸收投资收到的现金,,,,,,,"164,200,000.00","184,200,000.00","184,200,000.00"
支付给职工以及为职工支付的现金,"70,520,654.13","75,766,172.62","95,182,048.73","50,824,941.90",,"109,229,867.56","25,914,879.99","59,015,859.03","101,647,327.87"
取得借款收到的现金,"156,990,000.00","125,787,040.38","83,838,411.63","67,988,527.87",,"130,725,414.62","30,000,000.00","118,000,000.00","222,830,686.75"
支付的各项税费,"41,461,083.23","40,362,606.79","50,882,527.15","26,660,455.41",,"52,085,652.28","10,421,828.35","18,243,365.35","22,386,068.08"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"61,792,649.42","57,295,305.58","62,617,943.01","24,110,079.28",,"66,808,626.31","32,310,210.69","60,878,341.28","64,373,511.08"
筹资活动现金流入小计,"156,990,000.00","125,787,040.38","83,838,411.63","67,988,527.87",,"130,725,414.62","194,200,000.00","302,200,000.00","407,030,686.75"
经营活动现金流出小计,"470,988,211.50","438,649,291.27","569,476,774.69","327,752,646.68",,"657,410,742.83","197,653,513.50","392,399,685.25","595,250,034.75"
偿还债务支付的现金,"74,749,579.80","115,729,495.76","141,526,536.14","48,359,747.88",,"136,566,435.26","101,831,932.92","102,631,932.92","112,368,819.67"
经营活动产生的现金流量净额,"2,825,583.12","-10,092,759.53","112,348,217.06","-85,166,452.54","-59,130,364.49","67,665,521.92","-72,788,146.62","-175,455,664.00","-264,846,479.36"
分配股利、利润或偿还利息支付的现金,"42,427,572.51","11,672,924.34","10,337,840.56","4,040,014.47",,"8,102,210.64","734,276.73","17,180,873.60","19,044,395.82"
收回投资收到的现金,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,
筹资活动现金流出小计,"117,177,152.31","127,402,420.10","151,864,376.70","52,399,762.35",,"144,668,645.90","102,566,209.65","119,812,806.52","131,413,215.49"
处置固定资产、无形资产和其他长期资产收回的现金净额,"32,000.00",,"2,000.00",800.00,,800.00,,,
筹资活动产生的现金流量净额,"39,812,847.69","-1,615,379.72","-68,025,965.07","15,588,765.52","19,232,135.47","-13,943,231.28","91,633,790.35","182,387,193.48","275,617,471.26"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-39,340.36","-143,416.72","391,702.47","128,301.39","432,541.51","469,158.12","-47,206.07","-135,690.44","-179,512.12"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"32,000.00",,"2,000.00",800.00,,800.00,,,
五、现金及现金等价物净增加额,"29,293,067.30","-15,373,290.53","37,146,524.74","-70,990,176.27","-41,786,825.79","52,007,338.71","15,843,146.17","-2,197,604.16","-27,003,355.60"
购建固定资产、无形资产和其他长期资产支付的现金,"13,338,023.15","3,521,734.56","7,569,306.59","1,541,590.64",,"2,184,910.05","2,955,291.49","8,993,443.20","37,594,835.38"
期初现金及现金等价物余额,"66,069,906.56","95,362,973.86","79,989,683.33","117,136,208.07",,"117,136,208.07","169,143,546.78","169,143,546.78","169,143,546.78"
投资支付的现金,,,,,,,,,
期末现金及现金等价物余额,"95,362,973.86","79,989,683.33","117,136,208.07","46,146,031.80","75,349,382.28","169,143,546.78","184,986,692.95","166,945,942.62","142,140,191.18"
