科目,2005-03-31
货币资金,"1,036,428.26"
短期借款,"204,541,007.69"
交易性金融资产,"55,142.64"
交易性金融负债,
应收票据,
应付票据,
应收账款,"52,143,530.25"
应付账款,"7,208,225.79"
预付款项,"31,602,634.41"
预收款项,"20,912,834.57"
其他应收款,"259,668,488.24"
应付职工薪酬,"532,603.79"
应收关联公司款,
应交税费,"24,580,482.40"
应收利息,
应付利息,
应收股利,
应付股利,"5,308,469.17"
存货,"14,072,045.86"
其他应付款,"45,648,320.53"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,"89,147.62"
其他流动负债,"44,964,792.00"
流动资产合计,"358,667,417.28"
流动负债合计,"353,696,735.94"
可供出售金融资产,
长期借款,
持有至到期投资,"12,000,000.00"
应付债券,
长期应收款,
长期应付款,"182,624.30"
长期股权投资,"133,421,605.30"
专项应付款,
投资性房地产,
预计负债,
固定资产,"70,134,149.94"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,"182,624.30"
固定资产清理,
负债合计,"353,879,360.24"
生产性生物资产,
实收资本(或股本),"173,421,772.00"
油气资产,
资本公积,"40,396,798.13"
无形资产,
盈余公积,"40,958,777.53"
开发支出,
减:库存股,
商誉,
未分配利润,"-102,163,979.48"
长期待摊费用,"992,464.26"
少数股东权益,"68,722,908.36"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"216,548,219.50"
所有者权益(或股东权益)合计,"221,336,276.54"
资产总计,"575,215,636.78"
负债和所有者(或股东权益)合计,"575,215,636.78"
