科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"602,583,747.09","666,879,476.06","773,581,727.74","171,763,425.32","394,376,537.38","615,713,356.46","862,850,016.23","199,541,799.31","429,761,687.83","699,065,238.58","991,714,331.83","259,749,437.02","564,240,361.44","915,794,679.50","1,299,191,409.98","357,239,417.57","778,625,109.21","1,194,737,950.78","1,520,220,086.81","390,622,921.02"
二、营业利润,"61,690,169.43","67,221,312.62","74,435,678.68","6,169,691.75","34,627,403.35","49,921,318.49","62,594,592.02","5,719,832.37","33,107,102.21","50,956,705.01","63,837,810.34","7,454,521.49","47,336,576.58","79,807,413.74","106,443,906.74","31,287,417.39","101,973,494.43","151,125,799.98","146,282,227.45","14,824,003.35"
减:营业成本,"437,815,595.49","491,417,267.15","572,072,234.73","127,933,721.88","293,417,873.35","459,921,599.84","653,907,968.50","153,197,199.00","322,808,797.84","528,888,515.00","760,167,221.53","204,192,062.92","429,091,799.39","698,544,455.30","990,502,083.27","273,775,023.35","584,647,175.57","896,749,293.77","1,141,760,799.79","315,420,561.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,423,502.87","3,606,427.84","4,098,481.32","919,408.46","2,173,531.44","3,330,271.89","4,126,428.19","342,103.52","1,228,126.02","2,456,511.99","5,338,923.04","1,106,259.69","2,873,446.01","5,165,928.98","7,025,769.04","1,709,767.79","3,916,498.32","5,785,168.84","7,977,649.04","1,958,657.17"
营业外收入,"6,026,056.25","4,218,034.33","4,925,983.17","763,783.23","2,477,334.00","2,592,009.07","6,700,893.02","1,997,206.53","5,219,742.35","6,528,625.20","9,227,100.56","7,276,817.75","12,393,889.72","7,610,071.49","1,718,637.54","18,524.38","470,221.14","889,479.87","2,126,583.00","723,140.76"
销售费用,"35,362,512.97","38,987,600.56","49,651,827.61","14,733,491.05","26,065,799.44","41,263,884.70","55,634,758.41","17,385,936.42","30,925,921.24","51,552,611.92","71,642,701.47","20,814,475.87","36,950,022.30","60,533,575.31","88,580,225.21","23,690,682.73","44,392,682.24","66,403,955.00","95,374,641.75","18,905,641.61"
减:营业外支出,"564,708.42","1,419,547.91","742,273.42","172,997.62","581,514.95","1,645,344.81","1,913,481.89","24,327.92","129,991.54","241,071.91","320,454.14","3,999,385.12","3,591,999.03","3,779,790.10","2,732,237.80","134,805.58","389,901.01","523,433.01","1,156,464.26","248,268.56"
管理费用,"55,762,242.01","57,636,386.48","64,657,441.78","20,370,764.01","36,887,627.02","58,319,386.60","78,630,969.35","22,624,252.19","40,478,750.12","62,872,096.38","86,586,233.68","24,369,526.75","46,764,729.73","73,621,794.38","111,373,656.69","25,876,611.64","52,421,982.42","46,418,486.77","70,368,650.10","20,784,513.42"
其中:非流动资产处置净损失,"26,233.66","23,975.61","66,368.95",338.62,"303,929.07","304,370.60","473,853.07","3,177.91","5,331.41","9,188.10","25,355.98","3,177.91","3,297,772.03","3,401,515.72",,,,,,
