科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,263,048,654.19","1,233,351,955.78","1,461,778,964.40","451,967,967.34","717,702,479.33","989,740,576.25","1,643,793,459.12","334,129,758.30","610,313,166.16","824,647,184.40","1,355,811,370.13","570,117,690.78","930,721,480.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"30,000,000.00","46,000,000.00",,,,,"101,290,000.00","58,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00",,
收到其他与经营活动有关的现金,"16,296,854.60","9,520,565.71","9,543,497.21","7,307,978.22","12,747,595.60","18,084,944.97","17,129,614.41","3,244,601.86","11,356,461.04","17,891,314.29","20,028,442.66","7,355,721.57","15,210,114.62"
投资活动现金流出小计,"134,022,486.97","419,464,698.06","181,077,601.71","70,482,418.55","95,114,958.63","127,101,197.22","251,487,266.62","97,086,713.43","285,162,005.11","369,744,653.68","461,987,421.18","44,741,772.08","103,086,270.10"
经营活动现金流入小计,"1,279,345,508.79","1,242,872,521.49","1,471,322,461.61","459,275,945.56","730,450,074.93","1,007,825,521.22","1,660,923,073.53","337,374,360.16","621,669,627.20","842,538,498.69","1,375,839,812.79","577,473,412.35","945,931,594.99"
投资活动产生的现金流量净额,"-103,638,302.30","-372,605,998.74","-180,813,066.34","-70,462,418.55","-94,929,258.63","-126,691,297.22","-247,060,376.62","3,785,939.31","-25,118,151.42","-67,196,193.03","-156,141,885.68","-43,541,772.08","-101,885,770.10"
购买商品、接受劳务支付的现金,"552,279,574.73","492,119,043.90","549,332,694.35","143,578,909.23","272,734,870.23","404,451,961.05","604,302,970.81","157,093,551.46","293,745,120.57","389,665,776.08","577,302,053.89","247,617,987.55","432,021,966.85"
吸收投资收到的现金,,,,"720,800,000.00","720,800,000.00","720,800,000.00","720,800,000.00",,,,,,
支付给职工以及为职工支付的现金,"99,952,341.17","101,301,722.87","111,847,479.09","47,984,253.73","73,539,767.19","100,663,418.86","138,817,826.24","53,501,691.71","91,972,807.42","129,010,277.49","166,376,296.36","66,331,124.74","114,381,056.91"
取得借款收到的现金,"255,000,000.00","503,000,000.00","450,000,000.00",,,,"12,000,000.00",,"2,000,000.00","2,000,000.00","22,000,000.00",,"180,000,000.00"
支付的各项税费,"362,336,856.49","292,324,564.88","353,255,685.30","133,988,989.31","213,595,723.49","260,804,896.64","388,263,882.41","117,236,690.85","210,480,426.03","244,476,445.56","366,440,569.12","137,532,707.66","230,632,976.14"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"140,119,987.76","126,270,567.15","174,721,765.39","44,776,840.18","81,103,412.50","123,144,532.28","139,959,219.73","40,367,191.39","81,188,231.17","118,246,326.73","158,667,921.66","44,353,570.46","94,539,830.56"
筹资活动现金流入小计,"255,000,000.00","503,000,000.00","450,000,000.00","720,800,000.00","720,800,000.00","720,800,000.00","732,800,000.00",,"2,000,000.00","2,000,000.00","22,000,000.00",,"180,000,000.00"
经营活动现金流出小计,"1,154,688,760.15","1,012,015,898.80","1,189,157,624.13","370,328,992.45","640,973,773.41","889,064,808.83","1,271,343,899.19","368,199,125.41","677,386,585.19","881,398,825.86","1,268,786,841.03","495,835,390.41","871,575,830.46"
