科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"300,238,060.04","325,809,568.92","443,909,576.37","47,797,283.08","128,124,859.90","170,503,759.90","533,173,925.86","16,487,075.36","100,166,403.85","119,014,877.16","274,399,412.41","100,237,410.79","179,517,660.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"190,780.73","216,717.34","11,967,973.61","4,085,066.37","4,111,489.36","7,155,725.33","13,869,567.17",,"10,270,779.97","12,289,831.90","19,189,906.49","162,591.58","88,347.86"
支付其他与投资活动有关的现金,,,,,,"250,000,000.00",,,,,,,
收到其他与经营活动有关的现金,"9,146,692.95","18,597,254.45","5,897,224.17","4,084,331.28","5,435,954.03","22,283,061.06","47,944,840.63","2,366,497.26","4,000,940.81","4,134,869.01","4,454,952.00","1,378,004.54","2,215,784.78"
投资活动现金流出小计,"24,157,312.18","40,051,460.08","70,680,742.19","14,890,681.06","17,305,754.99","279,395,105.09","348,358,459.24","12,703,539.74","165,322,349.23","485,274,918.02","560,572,763.10","611,943,385.43","1,114,783,431.09"
经营活动现金流入小计,"309,575,533.72","344,623,540.71","461,774,774.15","55,966,680.73","137,672,303.29","199,942,546.29","594,988,333.66","18,853,572.62","114,438,124.63","135,439,578.07","298,044,270.90","101,778,006.91","181,821,793.42"
投资活动产生的现金流量净额,"-24,157,312.18","-40,051,460.08","-70,680,742.19","-14,890,681.06","-17,305,754.99","-279,395,105.09","-297,877,559.24","-12,703,539.74","-114,600,099.23","-128,311,952.65","-51,736,881.07","-105,782,315.23","144,367,515.82"
购买商品、接受劳务支付的现金,"188,725,945.99","225,559,517.18","228,753,233.77","79,678,625.34","135,097,639.27","241,592,709.99","371,037,931.01","61,919,495.48","145,500,669.61","204,534,693.17","296,813,491.16","59,742,522.90","141,486,199.39"
吸收投资收到的现金,,,,,"634,500,000.00","634,500,000.00","634,500,000.00",,,,,,
