科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,743,799,436.58","1,536,421,817.92","1,032,792,520.97","209,165,829.95","459,795,835.29","692,106,702.14","792,940,460.18","353,577,152.74","565,682,836.11","869,766,272.75","1,128,672,299.16","282,295,948.04","550,014,879.04","1,114,126,203.07","1,938,470,480.53","1,093,795,941.51","3,015,296,001.91","4,096,395,039.41","5,640,878,792.18","917,085,752.44","1,698,567,707.39","2,584,733,124.37","3,406,329,331.96","663,273,986.06","1,425,041,690.43","2,243,003,506.82","3,169,944,961.76"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"115,289,805.47","125,922,055.76","178,692,407.65","59,787,499.66",,,"232,631,054.01","56,351,133.18","103,417,656.21","162,841,875.30","234,239,734.90","76,175,464.30","142,097,338.13","224,261,580.02","319,470,859.04","106,605,178.72","362,415,739.51","566,346,386.68","743,717,927.17","121,306,127.35","210,354,055.31","312,224,299.45","396,268,038.49","156,693,625.98","300,330,264.23","370,075,093.49","375,796,113.87"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,502,730,595.92","1,272,429,892.74","772,927,987.54","140,549,328.55",,,"494,662,915.05","177,934,957.88","340,434,844.62","548,654,870.12","737,201,005.03","190,449,134.16","341,159,648.42","660,126,949.46","1,189,419,888.71","580,563,015.22","1,792,496,083.00","2,725,231,179.76","3,572,698,208.98","525,752,774.26","979,448,905.04","1,384,966,332.41","2,002,797,897.39","370,223,491.96","670,385,563.21","1,084,318,216.54","1,546,760,280.90"
营业税金及附加,"91,863,475.05","80,724,027.93","57,277,900.79","9,776,534.71","19,312,066.38","28,851,702.18","33,278,283.21","14,704,340.67","27,123,261.08","41,583,591.42","57,600,235.22","14,565,929.60","26,408,149.38","54,390,178.86","106,851,846.08","58,744,399.33","165,619,324.18","244,734,408.39","322,573,132.09","56,219,561.67","81,201,228.62","88,462,316.00","99,122,058.91","6,095,320.62","11,736,607.06","19,743,257.38","25,500,836.04"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务及管理费,"601,960,034.68","749,757,009.90","672,161,275.37","121,571,134.59","266,312,298.60","397,854,794.39","566,877,628.40","154,252,634.98","300,392,752.54","469,586,469.89","693,866,414.66","156,005,841.66","313,212,070.22","493,024,765.58","939,927,728.59","324,747,091.43","794,685,609.14","1,540,327,967.69","2,656,312,743.38","501,441,429.62","863,522,552.41","1,280,612,118.65","1,848,137,000.41","410,278,376.32","776,728,375.61","1,225,419,175.31","1,654,798,791.06"
其中：代理买卖证券业务净收入,"1,448,731,665.94","1,096,067,730.63","661,962,842.67","133,925,936.85",,,"448,836,472.24","166,036,287.37","303,822,297.00","491,940,957.38","687,522,978.47","161,860,252.20","280,007,772.37","527,382,842.28","951,187,604.68","493,362,896.43","1,617,574,437.79","2,216,619,731.87","2,716,381,883.08","269,548,916.78","509,984,360.17","733,065,213.51","937,322,779.48","187,584,333.71","348,475,961.31","545,968,908.38","696,494,704.74"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"36,458,000.00","139,210,787.00","72,675,000.00",,,,"16,660,000.00","18,000.00","38,000.00","5,261,920.00","35,235,838.35","21,452,513.12","46,835,127.72","108,326,062.38","201,085,367.66","77,378,026.79","137,304,106.90","423,072,408.28","712,554,432.97","217,788,705.83","396,250,646.81","547,897,478.52","864,376,106.16","128,798,293.65","207,308,912.81","365,046,067.22","595,799,242.43"
资产减值损失,"27,849.92","63,267.45","292,789.35",,,,"33,238,645.55",,"2,257,858.46","3,217,984.35","-916,026.54","625,607.31","1,554,263.61","1,389,575.47","5,839,837.72","20,690,656.07","37,710,916.16","16,662,410.33","26,278,146.66","-6,773,605.71","-6,778,593.48","-3,191,117.94","14,309,694.94","285,688.81","42,530,873.05","43,380,162.49","510,294,704.59"
委托客户管理资产业务净收入,,"4,355,270.79","4,689,365.76","726,147.38",,,"3,028,025.87","1,397,753.01","3,277,854.45","7,751,430.42","11,382,528.94","6,703,951.46","13,456,371.90","22,086,846.18","25,814,627.01","8,154,137.99","34,517,274.81","81,712,831.62","53,263,949.40","13,301,082.84","24,490,022.63","40,888,326.87","104,997,294.43","52,685,968.04","48,778,704.84","67,489,521.95","104,988,495.95"
其他业务成本,"430,766.91","973,072.34","1,133,767.61","301,355.95","36,946,677.70","47,344,995.09","1,265,894.58","513,214.98","1,008,337.75","1,526,299.47","2,063,106.16","307,032.94","622,788.50","1,006,637.69","1,474,853.33","489,741.08","1,666,945.51","2,287,569.75",,"457,314.68",,,,,,,
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"1,049,517,310.02","704,904,440.30","301,926,787.85","77,516,804.70","137,224,792.61","218,055,210.48","158,280,008.44","184,106,962.11","234,900,626.28","353,851,927.62","376,058,569.66","110,791,536.53","208,217,607.33","564,315,045.47","884,376,214.81","689,124,053.60","2,015,613,206.92","2,292,382,683.25","2,635,714,770.05","365,741,052.18","760,622,519.84","1,218,849,807.66","1,444,760,577.70","246,614,600.31","594,045,834.71","954,460,911.64","979,350,630.07"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"2,317,466.06","12,003,375.35","6,419,244.29","33,018.00","1,700,031.13","1,765,622.81","8,054,489.47","11,120.00","67,552.10","920,152.94","1,785,529.94","47,086.27","1,262,199.09","4,694,318.15","8,563,118.99","28,524.97","6,957,603.67","12,223,606.06","13,259,342.73","1,583,581.68","22,023,414.95","22,985,819.93","25,909,027.96","356,573.76","1,867,528.78","5,228,188.84","6,996,141.55"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"811,395.27","5,279,933.06","903,358.57","5,763.20","9,874.29","19,532.00","673,549.28",,"264,407.10","777,341.47","1,107,703.26","1,450,414.64","1,489,140.85","1,848,353.07","2,431,580.30","52,123.01","335,047.98","1,024,810.93","1,753,169.67","151,182.98","542,204.28","852,346.17","1,117,579.01","47,171.84","1,373,729.48","1,936,366.88","2,635,069.41"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"130,190,394.06","143,106,888.20","73,314,346.01","10,625,022.59","34,969,436.74","73,321,668.40","52,037,358.98","77,434,809.77","113,195,473.20","139,143,296.30","161,590,398.40","19,978,318.48","34,909,099.53","173,146,128.60","345,710,148.06","333,964,317.31","697,937,694.01","764,220,476.77","1,082,503,690.53","271,287,786.28","591,576,684.41","916,482,712.59","1,366,861,659.45","145,497,177.15","341,687,131.51","640,668,525.95","1,134,306,910.62"
