科目,2010年度,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,"31,275,409.00","84,084,800.00","361,855,200.00","97,660,617.93","110,412,248.87","116,863,517.93","21,014,112.11","21,199,100.52","126,442,496.15","194,657,474.52",,"2,012,242.19","32,079,742.19","2,012,242.19","126,000,000.00"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"61,622,816.01","41,276,666.80","46,212,820.64","36,540,866.57","39,653,657.00","13,160.74","47,023,715.21","92,511,855.39","116,399.88","39,266.45","41,633,305.17","50,872,196.04","2,264,388.74",,"53,302,339.61","52,830,476.58",
向中央银行借款净增加额,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"58,577.95","326,142.83","1,240,868.99","116,263,338.99",,"34,617.90","4,308.36","113,942.94",,"70,394.41","-122,664,825.22","-94,442,195.27",,"3,097,647.28","2,883,367.94","5,016,088.27","492,683.46"
向其他金融机构拆入资金净增加额,,,,,,"-100,000,000.00",,,,"500,000,000.00","558,784,257.96","1,650,000,000.00","-200,825,129.30",,,"-1,200,000,000.00",
投资活动现金流入小计,"61,681,393.96","41,602,809.63","78,729,098.63","236,889,005.56","401,508,857.00","97,708,396.57","157,440,272.44","209,489,316.26","21,130,511.99","21,308,761.38","45,410,976.10","151,087,475.29","2,264,388.74","5,109,889.47","88,265,449.74","59,858,807.04","126,492,683.46"
收取利息、手续费及佣金的现金,"750,827,228.20","893,415,013.08","1,255,277,275.14","3,029,126,648.03","545,503,703.40","1,194,888,557.98","1,718,366,519.37","2,472,080,091.81","490,341,677.82","1,076,026,114.80","1,602,534,083.64","2,321,114,295.96","652,261,217.19","1,129,807,358.69","1,611,359,769.77","2,204,443,761.52","585,596,720.66"
投资支付的现金,"25,030,000.00","8,000,000.00","107,135,350.00","215,926,400.00","390,276,824.00","198,361,708.00","253,429,382.90","748,125,523.00","182,960,000.00","149,076,200.00","372,399,083.25","218,427,217.00","90,757,257.00","183,048,470.00","247,798,670.00","551,896,353.00","6,310,000.00"
处置交易性金融资产净增加额,"1,925,118,131.83","-418,179,161.11","697,396,779.60","2,539,704,857.74","72,781,973.47","-3,042,051,545.74",,"-3,737,654,092.50",,"-1,405,789,022.11",,"-3,982,958,804.63",,"-1,247,967,464.88","-2,308,111,104.81",,
质押贷款净增加额,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,"1,350,000,000.00","200,000,000.00","500,000,000.00","558,784,257.96","1,650,000,000.00","-200,825,129.30","100,000,000.00","-705,529,318.44",,"600,000,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"95,160,569.03","148,238,747.30","162,401,428.29","92,622,705.69","19,684,060.52","39,147,387.35","67,850,058.11","96,972,029.44","11,527,492.54","35,912,887.77","52,910,152.77","94,142,830.26","12,267,602.89","20,994,404.21","37,665,917.87","54,405,932.21","6,457,061.48"
回购业务资金净增加额,,"-446,412,260.59","1,438,844,816.96","-1,789,430,292.52","-2,051,765,131.60","-637,825,110.70","630,391,392.89","-3,587,642,123.34","1,662,833,564.50","2,379,179,152.98","2,147,157,457.32","3,447,815,682.91","-168,151,090.46","668,545,364.89","1,816,745,562.91","2,336,824,733.01","3,359,686,518.86"
支付其他与投资活动有关的现金,,,,,"22,692.65",,"45,327,772.19",,"18,301,972.31","114,233,332.04",,"114,007,384.97",,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"120,190,569.03","156,238,747.30","269,536,778.29","308,549,105.69","409,983,577.17","237,509,095.35","366,607,213.20","845,097,552.44","212,789,464.85","299,222,419.81","425,309,236.02","426,577,432.23","103,024,859.89","204,042,874.21","285,464,587.87","606,302,285.21","12,767,061.48"
收到的税费返还,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-58,509,175.07","-114,635,937.67","-190,807,679.66","-71,660,100.13","-8,474,720.17","-139,800,698.78","-209,166,940.76","-635,608,236.18","-191,658,952.86","-277,913,658.43","-379,898,259.92","-275,489,956.94","-100,760,471.15","-198,932,984.74","-197,199,138.13","-546,443,478.17","113,725,621.98"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,"2,000,000.00","61,000,000.00","71,754,000.00","5,878,571.85","2,291,083,942.08","2,298,433,942.08","2,379,222,633.12","26,000,000.00","58,096,000.00","38,118,000.00","80,505,800.00",,"42,000,000.00","46,900,000.00","46,900,000.00",
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,
发行债券收到的现金,,"3,400,000,000.00","4,700,000,000.00","2,300,000,000.00","800,000,000.00","795,456,000.00","1,800,000,000.00","4,600,000,000.00",,,"617,900,000.00","620,000,000.00","800,000,000.00","800,000,000.00","1,400,000,000.00","1,400,000,000.00",
