科目,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"437,616,394.09","866,569,872.43","1,236,254,105.29","2,052,855,588.35","356,697,065.48","568,874,281.42","1,105,682,526.33","1,936,470,765.12","573,929,525.71","821,285,159.31","698,581,043.09","1,040,250,610.82","353,087,496.91","705,423,269.84","811,821,464.72","1,267,970,836.73","411,132,043.46","773,598,819.04","1,245,664,623.27","1,964,126,453.35","787,441,498.85","1,506,467,467.01","2,581,563,489.42","3,674,829,197.88","2,019,176,466.88","6,039,202,380.39","6,707,851,271.71","8,496,799,180.16","727,324,057.35","2,002,953,221.85","2,953,478,159.38","3,631,659,620.90","507,041,315.41","1,365,934,880.99","2,227,012,621.83","3,060,764,762.10"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"23,689,483.11","51,471,138.09","79,791,069.77","111,558,423.65","29,569,001.51","59,118,683.60","91,449,607.15","164,914,317.60","61,112,788.71","130,041,466.06","200,936,880.30","270,322,863.13","46,523,523.63","95,347,558.76","139,431,828.24","198,958,185.68","55,255,043.78","94,780,960.33","118,626,053.58","126,503,566.84","-8,426,423.56","78,499,556.96","262,866,279.52","198,289,640.36","205,254,908.24","150,073,964.62","728,894,601.38","213,841,229.09","100,912,998.97","-22,126,796.19","386,853,568.47","34,370,191.52","131,879,883.72","27,561,618.11","21,497,154.78","-217,510,672.53"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,385,699,484.13",,"647,970,544.22",,"1,287,822,089.80"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,351,329,292.61",,"620,408,926.11",,"1,505,332,762.33"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"198,525,839.77","498,731,012.14","832,230,359.81","1,139,489,667.25","235,747,043.96","486,934,689.81","744,183,389.31","1,227,436,819.35","368,902,270.96","586,076,141.76","794,745,043.44","1,071,580,975.71","152,562,118.87","326,345,454.24","462,542,388.96","734,135,801.87","253,121,650.36","419,094,650.64","621,559,706.28","1,014,898,263.25","526,115,835.78","811,717,508.38","1,282,652,345.45","1,923,549,477.35","705,703,737.51","2,544,027,823.91","3,384,243,759.41","4,307,367,941.55","639,559,984.57","1,517,724,749.79","1,923,033,219.65","2,413,198,433.38","365,316,555.28","671,285,358.56","1,045,923,046.15","1,424,824,482.04"
营业税金及附加,"17,012,780.47","42,125,989.65","61,529,680.42","102,040,090.15","14,878,096.71","30,136,856.64","50,231,037.02","101,919,618.13","28,019,206.18","45,331,202.46","62,080,423.68","73,343,450.07","13,783,126.76","32,613,806.69","47,895,322.94","65,657,123.02","29,531,482.25","47,992,073.30","67,418,347.73","111,147,675.47","47,397,586.67","81,272,832.98","141,063,397.62","221,539,953.34","99,057,996.12","313,806,230.45","414,031,770.93","524,009,006.96","54,699,964.52","110,935,368.86","115,437,663.83","122,657,115.78","4,157,433.78","11,207,601.74","19,287,358.09","26,689,045.90"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,959,427,458.43",,"854,211,322.42",,"1,820,466,180.04"
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"546,229,025.05",,"182,925,963.86",,"395,641,698.00"
业务及管理费,"126,973,374.30","286,854,880.57","433,202,549.29","696,955,186.82","165,684,527.77","338,375,689.11","535,511,215.10","781,416,614.82","265,843,615.02","465,255,497.73","649,292,392.61","849,256,888.49","127,767,665.61","315,968,235.85","510,510,421.15","783,069,739.10","208,702,926.78","388,570,623.11","581,828,923.17","1,025,030,904.82","372,540,562.24","615,951,878.61","1,092,431,192.34","1,719,258,802.59","629,100,511.95","2,187,897,268.40","2,567,596,154.28","3,266,806,869.83","281,377,956.36","993,389,372.31","1,660,328,317.60","2,332,618,709.27","481,372,865.41","824,161,953.10","1,382,048,124.95","2,082,126,668.51"
其中：代理买卖证券业务净收入,"163,346,533.23","378,855,398.21","648,064,720.09","894,549,356.26","182,464,473.26","358,582,116.96","532,448,550.00","785,707,995.62","164,187,781.13","297,106,970.53","417,476,185.56","507,674,301.79","98,640,012.02","194,629,295.94","271,329,101.41","379,339,170.33","115,107,347.93","213,590,452.16","344,582,244.19","555,796,661.94","139,393,821.46","255,912,993.89","464,373,918.33","805,074,518.61","383,380,530.42","1,239,240,617.39","1,701,466,410.36","2,079,969,456.41","236,064,305.16","441,365,782.85","633,554,645.89",,,,,
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"27,309,984.08","101,550,480.57","136,196,212.05","178,674,173.57","35,478,819.79","104,071,126.58","177,635,836.91","353,918,062.61","172,120,112.36","234,434,108.89","278,493,588.41","515,623,542.94","34,096,712.23","87,298,534.74","125,597,059.08","321,231,950.27","97,937,138.32","124,404,096.93","155,461,957.32","368,988,160.36","355,852,789.67","476,446,196.28","710,501,688.35","968,592,963.25","285,868,846.75","680,170,873.89","958,694,648.74","1,469,090,012.50","363,146,279.14","973,421,929.58","1,135,165,047.65",,,,,
资产减值损失,,,,"2,281,991.95",,"669,138.15","669,138.15","943,799.50","-106,690,000.00","-107,035,036.46","-107,035,036.46","-106,888,208.12",,,,"21,630,876.29",,"65,927.42","168,237.55","13,519,070.30",,"79,042,813.02","139,042,813.02","82,255,090.02","546,104.06","-59,447.10","-3,611,064.71","433,329,191.59","-42,492,511.45","-82,650,655.40","-87,782,607.41","13,372,747.45","672,862.69","26,649,511.53","32,104,824.07","54,142,649.58"
委托客户管理资产业务净收入,,,,,,,,"3,060,747.92","9,758,951.65","16,298,484.34","30,105,686.47","39,745,083.20","9,084,989.20","15,585,190.28","25,426,202.78","34,058,281.98","18,928,103.73","31,229,805.68","40,496,265.32","58,229,242.10","19,038,909.87","52,113,534.81","68,137,946.42","101,311,415.46","12,285,410.36","605,701,531.88","646,243,604.85","682,519,606.71","18,255,340.13","48,373,248.59","88,552,242.78",,,,,
其他业务成本,"126,669.63","253,339.26","2,452,999.89","3,379,205.52","843,575.61","1,687,151.22","2,530,726.83","8,458,268.04","1,054,942.36","2,724,596.15","3,801,028.97","5,083,479.93","1,276,338.87","2,516,116.92","9,832,933.79","13,923,597.80","1,148,645.17","2,322,582.40","3,564,958.80","48,201,518.32","717,690.81","1,546,895.94","2,334,440.51","5,810,849.03","3,244,992.21","4,327,031.74","4,658,324.37","6,557,179.12","6,091,799.05","7,474,986.00","8,905,438.52","5,415,638.90","761,256.49","9,108,294.34","10,283,190.14","11,599,109.10"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"293,503,569.69","537,335,662.95","739,068,875.69","1,248,199,113.91","175,290,865.39","198,005,446.30","516,740,409.23","1,043,732,464.63","385,701,762.15","415,008,899.43","90,442,234.29","219,455,000.45","210,260,365.67","354,325,110.38","243,582,786.84","383,689,500.52","171,748,989.26","334,647,612.81","592,684,156.02","766,227,284.44","366,785,659.13","728,653,046.46","1,206,691,645.93","1,645,964,502.90","1,287,226,862.54","3,533,231,296.90","3,725,176,086.84","4,266,096,932.66","427,646,848.87","973,804,150.08","1,256,589,346.84","1,157,595,409.50","20,076,897.04","494,807,520.28","783,289,124.58","886,207,289.01"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"23,787.11","57,527.74","757,064.75","39,223,835.90","2,134,518.21","2,065,711.03","3,751,566.72","4,301,309.82","12,209,499.87","20,823,620.30","150,012,210.81","118,662,411.59","243,193.74","1,323,354.24","2,445,287.65","2,946,036.58","478,321.28","1,280,317.96","1,653,337.79","9,300,897.70","169,619.36","2,863,352.46","3,596,079.96","19,278,665.32","-1,692.47","62,744,926.01","76,973,980.75","87,757,668.69","1,599,034.11","3,371,481.84","4,490,004.54","40,369,136.90","573,782.07","1,817,260.46","2,256,733.73","992,835.21"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"13,007.33","3,517,621.36","3,864,750.75","15,097,859.86","1,145,032.72","2,435,680.21","2,490,932.96","2,711,801.28","36,025.03","275,024.84","399,691.97","2,941,968.28","1,471,173.33","392,844.25","1,326,624.48","1,456,025.09","343,591.74","465,451.99","611,241.17","66,396,735.71","25,700.77","373,029.79","-754,121.18","956,533.07","71,561.21","344,598.68","406,661.51","11,112,597.74","43,814.94","851,714.48","71,408,948.02","71,433,768.32","226,341.91","37,093,611.14","43,300,325.80","44,562,877.78"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"105,663,819.63","283,515,611.22","331,857,804.23","751,880,432.79","32,061,871.80","113,257,060.75","232,164,113.92","645,757,769.05","98,425,678.00","169,480,490.85","219,013,209.22","178,048,805.72","-16,019,678.94","-75,375,104.44","-27,191,994.90","-242,319,833.97","200,227,469.74","326,802,018.34","373,519,120.17","887,805,657.92","186,567,845.04","244,912,944.23","661,564,716.64","1,248,559,130.59","932,165,103.11","3,422,690,742.95","3,217,362,963.19","3,948,018,572.82","-51,288,705.15","552,423,075.07","560,379,887.82","1,370,586,687.23","125,657,641.46","825,589,185.35","1,241,622,592.67","1,999,857,981.16"
四、利润总额,"293,514,349.47","533,875,569.33","735,961,189.69","1,272,325,089.95","176,280,350.88","197,635,477.12","518,001,042.99","1,045,321,973.17","397,875,236.99","435,557,494.89","240,054,753.13","335,175,443.76","209,032,386.08","355,255,620.37","244,701,450.01","385,179,512.01","171,883,718.80","335,462,478.78","593,726,252.64","709,131,446.43","366,929,577.72","731,143,369.13","1,211,041,847.07","1,664,286,635.15","1,287,153,608.86","3,595,631,624.23","3,801,743,406.08","4,342,742,003.61","429,202,068.04","976,323,917.44","1,189,670,403.36","1,126,530,778.08","20,424,337.20","459,531,169.60","742,245,532.51","842,637,246.44"
其中：对联营企业和合营企业的投资收益,,"34,100,005.46","69,546,123.84","83,724,965.36","10,758,681.13","45,745,382.19","64,129,300.64","98,535,402.69","5,349,853.80","34,425,494.27","48,371,787.54","66,736,044.32","13,478,465.95","42,490,596.88","74,796,657.26","115,774,114.41","20,021,769.81","69,853,767.11","110,584,130.50","145,991,052.38","1,820,594.52","44,783,498.16","81,033,498.16","158,107,360.86","19,859,727.93","207,946,640.01","221,845,480.64","262,709,865.79","5,026,646.15","62,835,310.73","119,336,018.95","151,874,016.03","46,241,309.48","105,335,897.91","126,335,897.91","192,997,852.10"
