科目,2007-12-31,2008-12-31,2015-12-31
货币资金,"14,957.24","39,162.72","114,614,501.19"
短期借款,"185,435,615.24","185,435,615.24","65,000,000.00"
交易性金融资产,,,
交易性金融负债,,,
应收票据,,,
应付票据,,,
应收账款,,,"5,896,081.06"
应付账款,,,"10,779,624.07"
预付款项,,,"23,191,303.10"
预收款项,,,"2,372,468.40"
其他应收款,"2,213,111.75","2,213,111.75","39,092,644.66"
应付职工薪酬,"211,655.05","228,205.05","9,523,791.66"
应收关联公司款,,,
应交税费,"23,055,849.26","23,882,074.91","164,293.62"
应收利息,,,
应付利息,"83,469,978.23","94,346,446.66",
应收股利,,,
应付股利,"709,218.18","709,218.18",
存货,,,"75,086,494.64"
其他应付款,"40,305,765.52","40,520,239.64","50,101,708.63"
其中:消耗性生物资产,,,
应付关联公司款,,,
一年内到期的非流动资产,,,
一年内到期的非流动负债,,,
其他流动资产,,,"47,630,915.57"
其他流动负债,,,
流动资产合计,"2,228,068.99","2,252,274.47","306,511,763.22"
流动负债合计,"333,188,081.48","345,121,799.68","137,941,886.38"
可供出售金融资产,,,"350,000.00"
长期借款,,,"142,000,000.00"
持有至到期投资,,,
应付债券,,,
长期应收款,,,
长期应付款,,,
长期股权投资,,,
专项应付款,,,
投资性房地产,,,
预计负债,"485,025,089.51","485,025,089.51","3,399,812.00"
固定资产,"31,361.76","18,099.38","56,018,628.97"
递延所得税负债,"826,225.65",,"86,581.15"
在建工程,,,"162,422.22"
其他非流动负债,,,
工程物资,,,
非流动负债合计,"485,851,315.16","485,025,089.51","145,486,393.15"
固定资产清理,,,
负债合计,"819,039,396.64","830,146,889.19","283,428,279.53"
生产性生物资产,,,"69,594,728.92"
实收资本(或股本),"440,976,960.00","440,976,960.00","458,616,038.00"
油气资产,,,
资本公积,"41,013,333.07","41,013,333.07","-386,001,150.16"
无形资产,,,"4,629,000.29"
盈余公积,"79,240,413.56","79,240,413.56","3,460,951.99"
开发支出,,,
减:库存股,,,
商誉,,,
未分配利润,"-1,378,010,672.52","-1,389,107,221.97","-3,317,442.13"
长期待摊费用,,,"414,058.33"
少数股东权益,,,"82,114,064.15"
递延所得税资产,,,"620,139.43"
外币报表折算价差,,,
其他非流动资产,,,
非正常经营项目收益调整,,,
非流动资产合计,"31,361.76","18,099.38","131,788,978.16"
所有者权益(或股东权益)合计,"-816,779,965.89","-827,876,515.34","154,872,461.85"
资产总计,"2,259,430.75","2,270,373.85","438,300,741.38"
负债和所有者(或股东权益)合计,"2,259,430.75","2,270,373.85","438,300,741.38"
