科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"363,321,728.78","535,264,361.47","572,728,389.79","82,929,100.00","300,521,058.91","413,160,700.00","580,346,645.31","127,900,020.46","315,815,671.45","461,669,157.48","1,054,893,316.19","165,036,897.98","816,683,448.85","1,231,598,615.43","2,303,651,536.77","249,979,353.79","1,054,196,537.84","1,482,220,284.70","2,298,868,545.31","243,224,516.72"
二、营业利润,"84,934,512.33","120,927,883.27","124,404,138.87","5,630,500.00","77,027,371.46","91,233,500.00","130,918,979.15","18,227,379.49","82,917,565.80","113,847,244.57","247,274,183.07","-8,289,015.53","135,016,315.09","183,158,118.39","342,934,104.20","14,774,500.11","172,900,444.13","250,237,337.79","377,709,279.04","14,518,818.15"
减:营业成本,"232,096,252.68","344,748,922.98","375,498,319.73",,"188,616,032.66",,"373,410,908.61","88,806,208.43","219,928,721.22","316,198,244.60","722,497,969.29","124,287,587.31","596,611,542.56","912,560,509.78","1,675,361,647.39","182,758,759.75","749,271,915.24","1,031,968,360.74","1,511,261,411.75","161,574,951.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,792,343.49","16,050,412.13","14,517,147.94",,"9,334,503.40",,"18,537,845.97","3,779,301.50","-19,158,449.33","-19,117,729.80","4,095,589.07","537,356.48","1,495,301.87","2,888,727.64","4,388,247.23","952,731.93","2,382,129.38","3,365,726.38","5,170,226.02","1,982,401.99"
营业外收入,"80,323.13","390,911.57","3,764,385.31",,"39,340.59",,"294,283.48","29,830.05","279,936.90","371,916.80","603,828.21","138,846.90","698,856.66","1,045,346.28","1,647,715.59","104,954.00","3,732,964.31","3,853,374.75","82,650,068.33","82,247.08"
销售费用,,,,,,,,,,,,"8,372.08",,,,,,,,
减:营业外支出,"1,403,808.18","1,598,339.21","922,575.63",,"659,706.31",,"1,267,372.44","21,830.97","160,631.38","337,048.53","404,060.27","397,903.07","595,895.00","737,045.22","1,335,031.82","61,243.28","237,427.60","423,672.29","1,078,718.80","772,295.65"
管理费用,"32,635,354.92","42,867,864.53","46,983,513.08",,"22,967,630.00",,"54,034,962.47","13,121,167.40","28,975,640.32","51,579,536.66","83,220,004.30","29,837,341.74","56,117,659.85","86,718,580.07","130,376,950.04","28,560,348.44","65,385,091.38","82,072,295.71","124,823,883.29","25,187,748.71"
其中:非流动资产处置净损失,,275.00,,,"9,000.04",,"33,700.99",,"4,398.20","4,398.20","6,356.20","15,172.70","321,803.34","321,109.84",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"-628,814.90","5,160,938.09","7,581,505.77",,"1,347,331.92",,"2,058,574.19","3,923,955.84","-117,247.57","-1,401,185.92","582,091.19","11,589,075.54","23,626,885.84","26,085,718.37","39,666,396.87","16,003,441.28","37,896,799.14","63,850,225.20","94,411,057.80","21,836,019.65"
三、利润总额,"83,611,027.28","119,720,455.63","127,245,948.55","5,606,600.00","76,407,005.74","90,351,800.00","129,945,890.19","18,235,378.57","83,036,871.32","113,882,112.84","247,473,951.01","-8,548,071.70","135,119,276.75","183,466,419.45","343,246,787.97","14,818,210.83","176,395,980.84","253,667,040.25","459,280,628.57","13,828,769.58"
资产减值损失,"2,492,080.26","5,508,340.47","3,743,764.40",,"1,228,189.47",,"1,385,374.92","42,007.80","3,653,421.28","1,045,219.64","-1,296,996.53","7,277,455.78","4,040,319.39","20,550,290.51","112,359,546.68","7,350,409.54","26,780,105.96","40,394,055.96","149,274,471.16",
减:所得税,"12,899,490.97","18,345,224.52","19,517,733.48",,"11,782,591.39",,"19,696,776.13","2,474,112.25","12,552,775.95","17,734,941.16","38,572,869.96","-1,137,428.12","24,377,244.99","31,620,401.72","59,101,690.45","3,009,206.55","31,026,630.57","45,460,540.89","72,527,522.43","2,719,608.23"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,"383,980.27","482,172.27","1,479,524.20","211,275.42","224,575.75","363,329.33","1,569,931.17","422,986.30","422,986.30","422,986.30","422,986.30",
四、净利润,"70,711,536.31","101,375,231.11","107,728,215.07","4,661,300.00","64,624,414.35",,"110,249,114.06","15,761,266.32","70,484,095.37","96,147,171.68","208,901,081.05","-7,410,643.58","110,742,031.76","151,846,017.73","284,145,097.52","11,809,004.28","145,369,350.27","208,206,499.36","386,753,106.14","11,109,161.35"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"70,629,831.18","101,270,389.55","107,563,147.10","4,658,200.00","64,685,115.08","76,389,700.00","110,402,777.34","15,809,156.37","70,531,981.13","96,195,052.06","208,988,868.01","-7,410,130.45","110,742,087.61","151,814,974.23","284,117,005.76","11,816,281.88","145,377,171.19","208,227,730.57","386,782,235.90","11,124,424.86"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,
少数股东损益,"81,705.13","104,841.56","165,067.97",,"-60,700.73",,"-153,663.28","-47,890.05","-47,885.76","-47,880.38","-87,786.96",-513.13,-55.85,"31,043.50","28,091.76","-7,277.60","-7,820.92","-21,231.21","-29,129.76","-15,263.51"
