科目,2005-09-30
货币资金,"2,062,905,653.61"
短期借款,
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"160,133,279.82"
应付账款,"130,652,395.30"
预付款项,
预收款项,
其他应收款,"92,864.00"
应付职工薪酬,"6,984,993.12"
应收关联公司款,
应交税费,"104,706,993.38"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"36,612,953.64"
其他应付款,"2,011,571.43"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"58,251,049.38"
流动资产合计,"2,259,744,751.07"
流动负债合计,"302,607,002.61"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,
专项应付款,
投资性房地产,
预计负债,
固定资产,"1,188,368,146.68"
递延所得税负债,"48,939,599.47"
在建工程,"69,727,597.60"
其他非流动负债,
工程物资,
非流动负债合计,"48,939,599.47"
固定资产清理,
负债合计,"351,546,602.08"
生产性生物资产,
实收资本(或股本),"1,100,000,000.00"
油气资产,
资本公积,"844,092,717.77"
无形资产,"79,462,986.25"
盈余公积,"391,907,423.54"
开发支出,
减:库存股,
商誉,
未分配利润,"909,756,738.21"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"1,337,558,730.53"
所有者权益(或股东权益)合计,"3,245,756,879.52"
资产总计,"3,597,303,481.60"
负债和所有者(或股东权益)合计,"3,597,303,481.60"
