科目,2010年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,345,669,695.34","1,165,234,691.42","1,808,216,779.12","3,148,146,700.00","4,004,355,251.90","962,723,709.87","1,590,365,900.00","2,026,810,960.79","423,313,455.04","842,268,632.17","1,571,055,475.75","2,147,620,089.37"
提取保险责任准备金,,,,,,,,,,,,
利息净收入,"117,616,191.16","159,223,011.95","274,986,314.16",,"561,575,861.59","193,127,913.75",,"318,306,944.02","119,414,519.98","231,423,994.75","344,631,835.13","461,017,735.56"
减：摊回保险责任准备金,,,,,,,,,,,,
利息收入,,,,,,,,"1,148,422,225.76",,"594,179,857.24",,"1,269,523,349.35"
保单红利支出,,,,,,,,,,,,
利息支出,,,,,,,,"830,115,281.74",,"362,755,862.49",,"808,505,613.79"
分保费用,,,,,,,,,,,,
手续费及佣金净收入,"1,121,571,443.85","842,354,747.41","1,072,655,213.61",,"2,716,354,159.22","615,438,181.65",,"1,259,619,100.49","196,172,016.01","393,891,620.04","661,488,001.39","920,497,725.09"
营业税金及附加,"66,262,619.15","63,685,423.32","103,517,886.25",,"255,484,062.30","46,984,586.21",,"57,418,589.52","3,482,655.11","7,844,774.79","14,332,286.64","15,908,568.94"
手续费及佣金收入,,,,,,,,"1,502,655,638.30",,"496,647,255.12",,"1,141,508,617.16"
手续费及佣金支出2,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,"243,036,537.81",,"102,755,635.08",,"221,010,892.07"
业务及管理费,"640,627,889.17","780,089,936.12","946,477,300.28",,"1,709,009,930.66","512,874,900.46",,"1,009,437,684.55","232,365,559.11","483,299,369.96","777,867,430.90","1,071,767,642.98"
其中：代理买卖证券业务净收入,"1,034,660,842.43",,,,,,,"715,338,829.85",,,,
减：摊回分保费用,,,,,,,,,,,,
证券承销业务净收入,"72,779,475.88",,,,,,,"304,410,665.01",,,,
资产减值损失,"-20,973,394.42","7,938,498.65","27,716,089.32",,"127,631,057.07","3,223,997.28",,"-27,005,101.48","6,075,229.99","13,584,251.12","17,278,933.86","75,892,177.00"
委托客户管理资产业务净收入,,"9,244,699.42","9,106,315.59",,"53,079,392.97","18,662,284.72",,"63,173,935.35",,,,
其他业务成本,"2,987,189.16","1,249,613.71","966,206.56",,"1,107,611.77","655,034.90",,"27,987,574.24","29,846,346.35","101,673,389.14","212,177,493.08","310,730,257.80"
已赚保费,,,,,,,,,,,,
三、营业利润,"656,765,392.28","312,271,219.62","729,539,296.71","1,701,253,300.00","1,911,122,590.10","398,985,191.02","711,727,500.00","958,972,213.96","151,543,664.48","235,866,847.16","549,399,331.27","673,321,442.65"
保险业务收入,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,
营业外收入,"45,550,790.28","29,425,248.05","32,364,428.98",,"21,225,594.03","29,131,462.06",,"39,621,993.23","2,032,830.58","3,097,329.16","8,244,455.99","21,917,555.02"
减：分出保费,,,,,,,,,,,,
减：营业外支出,"1,186,488.62","3,462,426.24","7,132,217.08",,"6,957,329.28","1,664,464.11",,"6,064,619.74","693,576.01","12,518,929.21","14,354,640.52","15,130,312.36"
提取未到期责任准备金,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,"-17,962,957.50",,,,
投资收益,"94,429,839.47","169,597,367.64","376,441,950.15",,"599,018,351.30","182,223,578.22",,"477,944,617.68","74,424,255.94","175,490,563.10","335,116,012.91","501,967,179.81"
四、利润总额,"701,129,693.94","338,234,041.43","754,771,508.61","1,685,811,500.00","1,890,969,158.71","411,227,455.66","719,969,800.00","974,566,629.95","152,882,919.05","226,445,247.11","543,289,146.74","680,108,685.31"
其中：对联营企业和合营企业的投资收益,,,"-315,558.60",,"1,725,476.63","11,149,352.93",,"12,706,868.44","9,475,992.37","853,032.71","-524,075.05","6,566,348.88"
减：所得税,"187,194,579.63","99,806,580.74","204,788,774.47",,"488,588,592.72","96,848,848.74",,"227,841,848.25","38,095,854.86","58,476,379.84","132,932,129.37","158,945,969.39"
