科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"514,482,795.00","394,499,792.54","470,250,817.42","73,569,141.33","188,831,979.84","277,062,871.60","419,501,299.76","111,292,825.38","391,123,484.79","602,529,464.50"
取得子公司及其他营业单位支付的现金净额,,,,,,,"3,068,153.54",,,
收到的税费返还,,,,,"14,946.55","14,946.55","12,292,646.45",,,
支付其他与投资活动有关的现金,,,,,,"15,000,000.00","6,000,000.00",,,"239,863.60"
收到其他与经营活动有关的现金,"11,322,524.66","54,857,394.67","45,976,509.55","4,238,957.59","14,666,042.42","52,951,647.45","73,436,938.04","26,747,454.88","33,111,640.07","39,086,266.28"
投资活动现金流出小计,"5,319,276.86","5,582,737.64","7,196,325.18","2,618,657.10","2,921,387.70","18,054,603.29","15,267,141.49","1,420,386.80","6,929,827.83","26,643,612.57"
经营活动现金流入小计,"525,805,319.66","449,357,187.21","516,227,326.97","77,808,098.92","203,512,968.81","330,029,465.60","505,230,884.25","138,040,280.26","424,235,124.86","641,615,730.78"
投资活动产生的现金流量净额,"-3,534,038.39","-4,448,004.79","1,873,724.82","-2,568,657.10","-2,861,387.70","-17,994,603.29","5,974,858.51","-1,420,386.80","2,367,405.04","-2,096,379.70"
购买商品、接受劳务支付的现金,"520,887,280.09","415,904,281.17","390,342,027.23","88,023,753.86","179,144,469.61","291,129,891.33","405,305,517.32","109,362,412.19","375,939,627.74","649,861,426.26"
吸收投资收到的现金,,,"430,000.00",,"113,836,000.00","113,836,000.00","143,836,000.00",,"760,000.00","250,000.00"
支付给职工以及为职工支付的现金,"14,003,263.59","13,648,926.27","15,033,864.72","5,549,411.00","10,638,693.29","15,587,621.06","20,840,471.21","6,685,133.48","10,490,415.29","15,590,478.11"
取得借款收到的现金,"203,389,926.84","296,896,557.17","170,500,000.00","45,100,000.00","74,500,000.00","87,644,732.00","135,944,732.00","21,700,000.00","85,700,000.00","147,567,380.40"
支付的各项税费,"14,894,426.13","26,448,532.86","32,346,779.74","4,275,427.31","12,240,234.79","16,675,509.29","23,958,104.45","4,411,883.30","16,784,638.25","23,991,603.82"
收到其他与筹资活动有关的现金,,,,,,"29,400,000.00","1,108,821.20",,,
支付其他与经营活动有关的现金,"8,480,532.19","47,935,840.44","32,746,993.22","24,430,352.45","29,425,607.55","70,861,161.08","86,418,550.90","30,500,476.81","20,275,074.37","29,034,058.69"
筹资活动现金流入小计,"203,389,926.84","296,896,557.17","170,930,000.00","45,100,000.00","188,336,000.00","230,880,732.00","280,889,553.20","21,700,000.00","86,460,000.00","147,817,380.40"
经营活动现金流出小计,"558,265,502.00","503,937,580.74","470,469,664.91","122,278,944.62","231,449,005.24","394,254,182.76","536,522,643.88","150,959,905.78","423,489,755.65","718,477,566.88"
偿还债务支付的现金,"191,111,278.77","238,210,000.00","193,600,000.00","48,900,000.00","87,300,000.00","136,900,000.00","194,955,620.24","29,509,473.33","52,709,473.33","57,609,473.33"
经营活动产生的现金流量净额,"-32,460,182.34","-54,580,393.53","45,757,662.06","-44,470,845.70","-27,936,036.43","-64,224,717.16","-31,291,759.63","-12,919,625.52","745,369.21","-76,861,836.10"
分配股利、利润或偿还利息支付的现金,"12,026,183.05","15,298,488.89","15,002,436.71","1,944,841.02","3,557,968.12","4,968,235.91","6,355,627.87","784,639.17","1,644,213.26","10,893,769.87"
收回投资收到的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,459,509.21","866,481.95","1,921,147.00","260,750.00","465,750.00","508,814.50","39,810,893.00","29,000.00","4,701,147.38","8,819,796.38"
取得投资收益收到的现金,,,,,,,,,,
筹资活动现金流出小计,"204,596,971.03","254,374,970.84","210,523,583.71","51,105,591.02","91,323,718.12","142,377,050.41","241,122,141.11","30,323,112.50","59,054,833.97","77,323,039.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,785,238.47","1,134,732.85","70,050.00","50,000.00","60,000.00","60,000.00","242,000.00",,"248,000.00","498,000.00"
筹资活动产生的现金流量净额,"-1,207,044.19","42,521,586.33","-39,593,583.71","-6,005,591.02","97,012,281.88","88,503,681.59","39,767,412.09","-8,623,112.50","27,405,166.03","70,494,340.82"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,,,"9,000,000.00",,,,"21,000,000.00",,"9,049,232.87","24,049,232.87"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"1,785,238.47","1,134,732.85","9,070,050.00","50,000.00","60,000.00","60,000.00","21,242,000.00",,"9,297,232.87","24,547,232.87"
五、现金及现金等价物净增加额,"-37,201,264.92","-16,506,811.99","8,037,803.17","-53,045,093.82","66,214,857.75","6,284,361.14","14,450,510.97","-22,963,124.82","30,517,940.28","-8,463,874.98"
购建固定资产、无形资产和其他长期资产支付的现金,"5,319,276.86","5,582,737.64","7,196,325.18","2,618,657.10","2,921,387.70","3,054,603.29","6,198,987.95","1,180,523.20","6,179,964.23","26,403,748.97"
期初现金及现金等价物余额,"107,163,990.72","69,962,725.80","53,455,913.81","61,493,716.98","62,343,716.98","62,343,716.98","61,493,716.98","51,944,227.95","51,944,227.95","51,944,227.95"
投资支付的现金,,,,,,,,"239,863.60","749,863.60",
期末现金及现金等价物余额,"69,962,725.80","53,455,913.81","61,493,716.98","8,448,623.16","128,558,574.73","68,628,078.12","75,944,227.95","28,981,103.13","82,462,168.23","43,480,352.97"
