科目,2012-12-31,2013-12-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"39,115,305.63","20,032,695.27",,"29,580,563.22",,"168,653,101.62","158,521,428.44","174,640,383.28","52,022,899.89","36,091,459.97","25,698,587.70","71,731,969.00","38,886,735.39","29,459,537.55","37,472,066.37","87,488,229.64","91,301,465.63","37,814,461.22","21,381,762.44","82,398,099.64","28,247,554.62"
短期借款,"49,780,000.00","63,000,000.00",,"73,000,000.00",,"10,000,000.00",,,,,,,,,,,"23,000,000.00","43,000,000.00","59,000,000.00","82,416,760.00","94,194,240.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,181,876.04","6,250,740.00",,"4,835,736.99",,"3,946,451.00","3,265,363.25","5,021,319.20","1,934,106.00","1,200,180.00","700,000.00","5,417,298.95","1,060,000.00","2,090,000.00","1,424,888.00","200,000.00","1,588,000.00","1,680,886.00",,"787,500.00","20,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,
应收账款,"34,195,314.63","61,249,387.70",,"73,777,742.67",,"92,870,592.88","91,360,186.58","71,988,149.14","84,554,243.20","82,930,101.24","91,604,199.31","59,958,919.11","74,155,264.80","76,140,748.96","83,564,316.44","61,444,185.74","83,640,979.53","77,467,151.50","80,068,383.10","72,819,064.35","91,831,850.05"
应付账款,"26,505,095.40","32,779,451.43",,"43,484,640.61",,"34,257,911.88","39,328,752.53","43,255,828.30","50,970,174.50","54,003,032.27","48,723,753.00","52,773,241.27","55,872,015.33","56,936,563.06","60,488,055.76","61,775,202.00","63,923,574.33","62,683,995.27",,"68,545,121.89",
预付款项,"23,813,559.92","16,185,373.22",,"7,327,037.21",,"9,505,180.05","17,186,241.54","15,876,078.75","21,053,328.28","22,914,246.96","26,081,610.87","24,750,769.35","25,991,196.55","29,648,535.77","36,038,629.59","28,785,890.93","30,901,250.41","46,057,826.70","74,150,579.96","41,892,853.71","60,474,267.98"
预收款项,"2,805,232.31","5,248,148.49",,"3,058,047.83",,"2,626,486.60","3,684,088.55","5,293,150.07","5,408,564.86","4,501,260.90","4,279,140.94","10,318,458.45","7,513,919.31","7,487,694.18","10,109,345.36","12,113,598.27","14,359,660.75","13,359,496.26","14,695,894.44","20,205,880.99","15,333,636.35"
