科目,2010-12-31,2011-12-31,2012-12-31,2013-09-30
货币资金,"149,013,721.67","152,890,598.15","178,268,700.27","75,593,003.86"
短期借款,,,"36,000,000.00","13,580,000.00"
交易性金融资产,,,,"5,200,000.00"
交易性金融负债,,,,
应收票据,,,,
应付票据,,,,
应收账款,"64,636,495.97","60,410,772.57","84,961,662.89","149,806,648.25"
应付账款,"46,709,829.44","47,532,899.31","58,391,561.52","47,695,300.72"
预付款项,"35,645,378.59","29,658,770.38","22,725,572.70","21,566,760.72"
预收款项,"54,876,449.99","75,573,011.74","92,635,391.81","111,586,441.84"
其他应收款,"14,807,809.98","12,174,373.51","15,983,177.14","19,297,114.97"
应付职工薪酬,"23,957,749.87","44,894,081.39","34,215,765.65","27,893,591.69"
应收关联公司款,,,,
应交税费,"9,508,705.48","8,446,226.66","10,017,389.47","8,803,440.30"
应收利息,,,,
应付利息,,,"76,562.29","16,638.52"
应收股利,,,,
应付股利,,,,
存货,"4,992,992.07","5,686,092.23","9,162,678.91","9,500,990.87"
其他应付款,"12,138,422.77","8,851,901.36","8,137,953.15","10,513,317.70"
其中:消耗性生物资产,,,,
应付关联公司款,,,,
一年内到期的非流动资产,,,,
一年内到期的非流动负债,"5,000,000.00","3,000,000.00",,
其他流动资产,,,,
其他流动负债,,,,
流动资产合计,"269,096,398.28","260,820,606.84","311,101,791.91","280,964,518.67"
流动负债合计,"152,191,157.55","188,298,120.46","239,474,623.89","220,088,730.77"
可供出售金融资产,,,,
长期借款,,,,
持有至到期投资,,,,
应付债券,,,,
长期应收款,,,,
长期应付款,"3,000,000.00",,,
长期股权投资,"3,000,000.00","2,795,515.15",,"12,600,000.00"
专项应付款,,,,
投资性房地产,,,,
预计负债,,,,
固定资产,"101,965,243.21","136,363,685.41","174,896,372.42","177,321,682.91"
递延所得税负债,,,,
在建工程,"46,125,382.96","119,598,495.38","10,905,960.00","2,462,400.00"
其他非流动负债,,,,"500,000.00"
工程物资,,,,
非流动负债合计,"3,000,000.00",,,"500,000.00"
固定资产清理,,,,
负债合计,"155,191,157.55","188,298,120.46","239,474,623.89","220,588,730.77"
生产性生物资产,,,,
实收资本(或股本),"120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00"
油气资产,,,,
资本公积,"247,997,053.54","242,184,029.50","242,184,029.50","242,184,029.50"
无形资产,"1,533,115.45","1,639,251.02","3,523,177.24","3,349,018.85"
盈余公积,"3,844,074.71","8,550,724.93","12,628,531.96","12,628,531.96"
开发支出,,,,
减:库存股,,,,
商誉,"67,144,301.37","67,144,301.37","70,161,541.23","70,161,541.23"
未分配利润,"15,609,716.38","95,043,933.24","142,284,223.41","146,530,267.54"
长期待摊费用,"67,431,481.13","72,951,620.79","206,446,905.32","214,847,493.38"
少数股东权益,"15,000,348.57","12,073,956.02","22,728,973.33","20,587,441.62"
递延所得税资产,"1,346,428.35","4,837,288.19","2,264,633.97","812,346.35"
外币报表折算价差,,,,
其他非流动资产,,,,
非正常经营项目收益调整,,,,
非流动资产合计,"288,545,952.47","405,330,157.31","468,198,590.18","481,554,482.72"
所有者权益(或股东权益)合计,"402,451,193.20","477,852,643.69","539,825,758.20","541,930,270.62"
资产总计,"557,642,350.75","666,150,764.15","779,300,382.09","762,519,001.39"
负债和所有者(或股东权益)合计,"557,642,350.75","666,150,764.15","779,300,382.09","762,519,001.39"
