科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"250,046,697.16","195,965,550.09","268,870,657.08","218,215,531.10","331,596,117.58","408,313,731.75","100,619,290.31","180,375,928.24","312,118,987.92","413,249,805.23","91,282,585.16","207,560,225.90"
取得子公司及其他营业单位支付的现金净额,"70,952,196.95",,"44,421,297.31",,,,,,,,,"50,794,094.09"
收到的税费返还,,,"50,447.87","2,770,023.92","2,841,346.08","30,562,338.01","475,084.16","12,457,682.41","17,923,225.51","27,087,053.21","2,368,799.84","9,337,372.14"
支付其他与投资活动有关的现金,,,,,,,,,,"8,000,000.00","7,860,000.00","1,448,418.00"
收到其他与经营活动有关的现金,"8,975,038.55","14,954,530.46","15,823,385.74","5,526,347.62","7,236,184.73","8,289,172.41","473,546.66","1,454,944.95","35,486,236.61","14,160,968.14","1,058,109.65","1,898,847.28"
投资活动现金流出小计,"136,561,715.86","245,985,080.89","258,963,637.09","102,600,569.00","130,003,567.23","324,814,582.81","120,001,975.57","197,599,418.31","335,987,605.99","491,794,377.10","173,842,994.54","385,184,768.95"
经营活动现金流入小计,"259,021,735.71","210,920,080.55","284,744,490.69","226,511,902.64","341,673,648.39","447,165,242.17","101,567,921.13","194,288,555.60","365,528,450.04","454,497,826.58","94,709,494.65","218,796,445.32"
投资活动产生的现金流量净额,"-136,561,715.86","-245,979,480.89","-258,960,816.58","-102,600,569.00","-130,003,567.23","-322,256,582.81","-120,001,975.57","-197,597,418.31","-335,985,605.99","-461,357,977.10","-157,080,395.54","-364,058,861.15"
购买商品、接受劳务支付的现金,"48,575,507.06","59,195,620.59","82,227,368.00","40,356,472.02","61,117,400.16","84,046,144.03","16,453,725.61","42,472,843.31","67,587,538.03","94,016,560.54","22,911,541.18","53,192,942.22"
吸收投资收到的现金,"105,300,000.00","70,200,000.00",,,,,"424,321,350.00","458,721,350.00","458,721,350.00","493,700,000.00","2,580,000.00","26,080,000.00"
支付给职工以及为职工支付的现金,"18,897,268.52","28,980,685.71","38,090,748.79","20,439,223.72","29,522,114.09","40,246,299.07","16,398,552.07","28,019,566.27","41,886,520.95","51,760,068.59","17,629,324.21","28,511,981.29"
