科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"169,334,453.91","307,872,645.11","220,535,182.60","137,701,606.72","167,181,888.10","237,869,059.89","42,975,189.28","83,424,478.57","142,802,685.57","240,220,894.34","93,194,063.55","149,606,926.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"14,990,000.00",
收到的税费返还,"175,710.75","8,745.94",,,"19,820.25",,,,,"181,167.96",,
支付其他与投资活动有关的现金,,,,,,,"120,000,000.00",,"95,000,000.00","236,900,000.00","177,000,000.00","191,800,000.00"
收到其他与经营活动有关的现金,"2,801,471.89","845,765.41","4,133,361.95","431,960.31","683,652.68","680,767.29","297,240.79","5,204,985.88","14,044,364.42","11,428,177.76","2,161,611.02","4,759,029.31"
投资活动现金流出小计,"39,104,460.30","9,827,420.88","10,510,164.84","2,253,578.89","4,737,967.95","7,500,845.20","134,521,453.84","214,097,723.04","133,045,688.32","358,478,039.29","211,210,441.20","256,116,582.95"
经营活动现金流入小计,"172,311,636.55","308,727,156.46","224,668,544.55","138,133,567.03","167,885,361.03","238,549,827.18","43,272,430.07","88,629,464.45","156,847,049.99","251,830,240.06","95,355,674.57","154,365,955.51"
投资活动产生的现金流量净额,"-30,631,164.75","-5,286,267.03","-5,700,929.90","-1,761,117.72","-4,245,506.78","-7,008,384.03","-134,521,453.84","-167,934,587.66","-132,607,814.84","-241,564,568.93","-17,932,885.55","3,790,404.48"
购买商品、接受劳务支付的现金,"74,783,965.45","116,100,831.59","43,947,228.15","16,709,348.17","24,394,969.60","31,183,545.99","23,603,133.50","36,485,922.16","80,073,873.32","107,614,552.59","67,194,811.47","97,882,644.21"
吸收投资收到的现金,,,,,,"346,581,540.00",,,,"980,000.00","45,935,000.00","33,345,000.00"
支付给职工以及为职工支付的现金,"22,316,805.50","24,286,994.24","27,518,565.19","16,685,901.92","21,854,259.42","27,350,530.90","11,286,140.42","15,844,577.63","23,335,573.42","30,075,945.58","13,315,579.92","22,091,594.73"
取得借款收到的现金,"131,000,000.00","89,000,000.00","84,000,000.00","39,800,000.00","52,800,000.00","64,000,000.00",,,,,,"40,000,000.00"
支付的各项税费,"25,799,576.43","58,331,920.57","48,811,234.43","26,324,519.31","38,402,930.95","51,788,977.90","8,863,690.26","24,266,281.78","39,408,257.03","51,597,482.32","19,825,402.73","24,215,817.29"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
