科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"883,385,039.49","1,872,836,487.96","1,807,478,101.28","921,942,200.48","1,297,892,394.75","320,529,947.63","657,548,723.96","988,537,552.78","1,398,348,948.06","459,679,916.64","772,266,337.31","1,218,019,080.47","1,598,708,590.09","544,474,469.71","1,088,319,090.74","2,106,229,166.75","3,240,982,527.87","1,392,586,592.68","3,969,982,512.87","5,071,701,080.63","6,830,161,925.32","1,027,793,756.10","1,828,567,461.51","3,327,874,588.56","4,645,225,993.82","977,746,103.49","2,046,435,181.21","3,201,724,505.39","4,144,240,488.37","824,112,647.09","1,535,638,229.51","2,518,778,803.70","4,161,925,425.29","1,493,791,219.11"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"143,309,120.58","144,932,805.26","157,421,314.94","66,226,380.74","153,320,985.78","69,724,879.76","116,773,796.69","167,895,162.84","217,013,964.31","42,801,576.96","95,418,551.36","161,938,452.94","216,398,825.80","57,062,386.23","106,399,117.66","116,353,843.46","142,354,207.83","-13,082,900.98","202,656,328.08","275,332,008.33","286,555,551.49","46,754,185.40","56,852,159.05","98,376,029.44","192,269,897.05","-81,187,420.06","-221,776,348.52","-347,599,072.62","-566,361,341.24","-229,047,507.31","-343,223,674.68","-480,639,584.56","-587,230,001.58","68,196,816.38"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,"2,077,173,199.16",,"991,770,690.72",,"2,074,990,954.49",,"1,083,038,859.67",,"2,142,584,420.11","586,168,760.39"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,"1,884,903,302.11",,"1,213,547,039.24",,"2,641,352,295.73",,"1,426,262,534.35",,"2,729,814,421.69","-517,971,944.01"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"894,574,956.48","1,602,621,326.55","1,451,095,392.19","777,509,686.42","1,174,075,044.49","187,161,360.84","357,098,467.38","551,084,682.07","805,187,974.43","232,492,569.07","432,722,285.68","698,029,680.88","974,807,528.32","334,116,467.33","638,315,680.84","1,060,209,625.53","1,678,372,503.40","679,882,609.41","1,946,279,161.55","2,910,641,899.02","3,821,609,158.46","739,120,220.10","1,384,539,846.16","2,145,447,773.59","2,801,936,935.76","564,988,490.68","1,163,645,832.58","1,737,741,932.12","2,202,193,687.57","406,221,437.88","844,774,445.60","1,247,288,119.31","1,778,677,006.19","432,497,371.79"
营业税金及附加,"50,569,288.21","90,694,083.19","91,529,415.54","48,613,749.95","68,555,643.12","12,317,700.33","26,149,253.65","39,103,704.98","56,451,549.61","22,803,574.12","37,544,190.86","58,081,509.01","81,682,082.98","32,851,124.90","62,699,783.17","102,821,676.54","179,059,507.04","84,215,171.74","237,894,869.29","321,569,121.36","414,691,579.49","69,751,623.77","99,194,061.23","107,792,255.70","122,778,192.27","8,034,410.10","16,329,221.97","22,712,574.03","35,102,685.70","5,791,593.07","14,875,590.10","22,380,088.69","34,745,961.49","7,007,063.21"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,"3,231,004,803.10",,"1,378,813,629.36",,"2,639,213,857.89",,"1,027,257,361.38",,"2,127,574,525.30",
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,"429,067,867.34",,"215,167,796.78",,"437,020,170.32",,"182,482,915.78",,"348,897,519.11",
业务及管理费,"495,623,312.02","832,965,019.89","948,937,768.64","578,568,174.57","911,530,904.76","223,673,521.40","444,416,385.93","680,504,091.67","985,361,827.44","254,905,589.98","481,903,110.95","755,130,312.17","1,006,798,567.58","300,851,830.35","580,473,505.30","1,026,657,117.74","1,579,192,330.95","470,266,163.12","1,226,511,651.86","1,728,112,387.67","2,656,099,023.42","476,429,966.16","834,894,459.59","1,336,801,999.89","1,831,121,366.35","403,777,777.80","852,041,687.27","1,291,977,442.34","1,798,292,665.90","426,133,956.35","880,458,617.20","1,261,804,341.08","1,932,970,512.73","514,009,704.27"
其中：代理买卖证券业务净收入,"854,452,033.20","1,458,945,208.35","1,167,450,665.52","460,398,443.18","796,945,758.20","157,433,130.76","308,666,414.03","446,738,967.19","581,091,553.46","187,910,014.25","365,128,304.06","600,111,553.79","824,330,073.55","193,580,944.18","341,824,313.95","620,968,663.94","1,047,928,710.47","472,013,930.05","1,476,857,142.75","2,090,867,419.16","2,646,254,123.37","325,712,401.29","651,664,179.47","961,262,044.79",,,"502,233,406.38",,,,,"632,798,441.18","806,582,566.11","256,024,858.58"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"1,522,000.00","108,898,125.00","248,087,338.00","307,222,549.95","334,702,549.95","24,110,000.00","25,655,000.00","62,722,367.20","155,402,367.20","31,115,000.00","40,225,000.00","43,175,000.00","86,345,273.99","119,639,554.52","254,174,247.24","370,606,165.03","468,393,502.38","129,553,012.03","271,486,463.56","498,919,537.08","757,556,414.50","303,084,128.76","515,704,337.65","723,263,529.55",,,"448,402,878.92",,,,,"354,099,609.44","626,624,544.78","104,726,451.37"
资产减值损失,"35,457,036.33","-35,509,908.60","4,141,620.05",,"10,580,226.57",,,,"10,336,525.85",,,,"487,028.87",,"7,798,509.33",,"52,129,921.34","12,036,002.11","15,159,356.76","-501,868.33","22,797,025.87","4,635,361.00","5,564,476.35","13,694,976.61","350,764,099.81","4,782,580.33","218,125,980.96","224,552,461.72","359,838,051.96","17,241,228.86","40,631,314.84","91,186,700.82","785,227,697.92",
委托客户管理资产业务净收入,,"5,876.51","7,125,934.67","3,011,464.95","5,243,722.99","931,016.02","2,448,668.85","4,864,110.89","11,170,043.40","5,548,837.11","10,890,075.47","18,799,359.56","33,220,374.89","20,871,485.76","39,246,065.75","58,815,639.23","109,442,468.81","47,334,408.16","114,996,220.08","204,540,627.48","206,675,731.33","80,271,376.95","127,463,476.52","153,979,804.06",,,"196,669,885.95",,,,,"128,392,455.58","159,639,093.76","26,975,555.20"
其他业务成本,,,,,,,,,,,,,,,,,,,"599,487.32","8,407,109.74","12,433,685.30","14,048,253.95","64,360,793.45","209,709,326.08","402,896,451.27","146,545,181.67","356,661,507.20","539,390,349.45","869,535,483.62","289,126,954.51","554,306,393.28","883,516,152.30","1,026,386,199.43","165,485,488.82"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"301,735,402.93","984,687,293.48","762,869,297.05","294,760,275.96","307,225,620.30","84,538,725.90","186,983,084.38","268,929,756.13","346,199,045.16","181,970,752.54","252,819,035.50","404,807,259.29","509,740,910.66","210,771,514.46","437,347,292.94","976,750,372.47","1,430,600,768.54","826,069,255.71","2,489,817,147.64","3,014,114,330.19","3,724,140,611.24","462,928,551.22","824,553,670.89","1,659,876,030.28","1,937,665,884.12","414,606,153.59","603,276,783.81","1,123,091,677.85","1,081,471,601.19","85,818,914.30","45,366,314.09","259,891,520.81","382,595,053.72","807,288,962.81"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"7,628,166.13","2,649,072.07","3,418,539.64","8,992,921.74","15,311,289.46","773,709.75","3,034,296.01","3,472,684.62","9,870,852.03","8,088,053.98","8,121,967.51","9,811,793.42","16,654,602.78","4,446,107.19","8,567,876.66","11,135,525.00","22,117,533.93","2,698,592.75","6,419,268.95","16,783,123.93","18,900,229.51","451,579.07","5,813,252.75","17,758,604.65","67,541,665.33","1,971,205.55","1,441,112.69","451,383.91","948,820.13","662,534.69","252,937.73","838,565.07","870,912.71","1,419,860.50"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
