科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"200,000.00","400,000.00","600,000.00","3,465,811.97","1,500,000.00","3,068,376.07","4,568,376.07","3,068,376.07",,,,,,,,,,,,,,"2,240,204.94","2,966,899.37","12,735,502.84","4,101,265.67","9,008,285.65","35,000,378.21","82,487,130.96","11,511,670.79","23,981,176.05"
二、营业利润,"-1,837,160.78","-4,716,073.78","-6,433,288.12","-8,224,899.66","-139,739.72","-4,680,100.71","-5,684,801.70","-12,572,951.56","-1,390,263.82","-8,685,863.90","-10,345,487.93","-17,535,186.22","-2,590,282.73","-5,066,059.72","-8,069,076.06","-46,866,772.51","-958,346.55","-2,071,271.67","18,803,963.04","19,408,284.29","-435,622.14","-1,684,488.54","-1,741,073.56","-4,091,484.44","-405,080.05","-517,419.54","-83,734.00","810,779.39","-670,641.49","2,652,342.03"
减:营业成本,"553,223.29","1,082,816.86","1,740,992.86","2,680,588.56","540,693.60","1,141,986.71","1,682,680.31","2,221,932.74",,,,,,,,,,,,,,"2,198,442.67","2,914,529.85","12,036,682.66","3,514,930.84","7,732,122.31","33,055,229.29","78,810,292.49","11,474,420.01","14,452,203.75"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"151,413.56","162,513.59","495,127.06","83,250.00","671,673.97","754,923.97","888,243.37",,,,,,,,,,,,,,,"163,414.98","5,330.83",,,,"63,302.20",,"111,558.18"
营业外收入,,"67,039.14","67,039.14","112,228,019.83","8,835,000.00","46,238,851.10","103,644,659.10","104,211,021.45","781,471.27","801,987.55","801,987.55","852,137.65",,,,"133,540,000.00",,"512,793.10","512,793.10","1,717,143.10",,"29,380,479.80","34,828,974.52","46,001,768.19",,,,"581,820.45",,"61,613.28"
销售费用,,,,"111,830.00","246,805.81","362,542.44","518,667.78","659,551.02","26,639.44",,,,,,,,,,,,,,"10,782.05","91,743.06","94,800.00","133,240.00","164,500.00","222,818.50","101,114.07","239,607.34"
减:营业外支出,100.00,104.69,104.69,"16,119.77","160,248.10","310,658.77","310,663.12","789,314.95",,,"1,110.50","1,110.50",,,826.00,"53,591,455.73",,,"-177,206.90","1,688,606.25",,"97,522.56","97,522.56","797,528.90",,"1,050.00","1,050.00",,,"34,363.63"
管理费用,"558,475.66","1,441,046.05","1,748,678.14","1,747,218.79","519,426.64","2,507,090.27","3,891,444.09","4,349,068.65","998,756.93","3,053,192.81","6,874,680.14","6,006,861.06","1,147,423.26","2,168,319.76","3,663,295.55","11,351,965.34","625,975.41","1,402,520.51","2,351,528.82","3,985,630.09","607,734.78","1,627,289.44","1,874,497.51","4,440,904.12","897,936.73","1,662,257.66","1,911,188.77","3,200,050.28","607,041.56","4,896,125.84"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"53,413,422.83",,,,,,,,,,,,,,"6,968.10"
