科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"109,718,460.09","219,273,386.88","227,837,483.07","51,321,917.60","146,799,377.64","220,115,794.46","319,197,001.13","128,194,182.29","272,749,352.52","391,282,270.42","619,197,636.88","101,409,996.84"
取得子公司及其他营业单位支付的现金净额,"1,830,159.22","800,000.00",,,,,,"89,742,035.17","89,742,035.17","89,742,035.17","89,742,035.17",
收到的税费返还,,"12,920.00",,,,,,,,"2,921,984.22",,"2,171,000.56"
支付其他与投资活动有关的现金,,,,,,"10,000,000.00",,,,,,
收到其他与经营活动有关的现金,"4,197,684.14","2,581,117.92","10,321,415.62","2,084,356.15","5,907,692.21","11,292,271.79","17,047,538.94","12,729,350.06","16,243,874.80","24,946,532.85","24,774,783.56","5,136,321.84"
投资活动现金流出小计,"6,319,429.50","31,183,812.00","37,490,784.68","7,579,836.41","13,581,223.52","28,056,460.75","19,270,673.88","104,012,839.66","119,921,639.91","142,242,383.70","157,688,109.83","3,718,095.80"
经营活动现金流入小计,"113,916,144.23","221,867,424.80","238,158,898.69","53,406,273.75","152,707,069.85","231,408,066.25","336,244,540.07","140,923,532.35","288,993,227.32","419,150,787.49","643,972,420.44","108,717,319.24"
投资活动产生的现金流量净额,"-6,242,381.10","-31,165,526.77","-37,471,215.75","-7,579,836.41","-13,566,543.91","-28,028,460.75","-19,242,673.88","-103,973,839.66","-119,772,639.91","-142,091,383.70","-157,520,295.34","-3,718,095.80"
购买商品、接受劳务支付的现金,"64,853,818.09","153,881,440.64","108,551,172.70","38,198,813.17","83,600,644.49","111,997,694.02","152,318,001.13","64,203,850.81","191,395,663.87","235,915,858.40","447,069,654.04","91,645,508.42"
吸收投资收到的现金,,,,"174,200,000.00","198,700,000.00","198,700,000.00","198,700,000.00","52,150,000.00","52,150,000.00","52,150,000.00","52,150,000.00",
支付给职工以及为职工支付的现金,"24,385,423.95","31,669,762.08","39,732,788.22","10,355,531.42","22,066,729.70","37,061,169.26","51,041,304.47","20,973,903.46","47,628,630.13","73,043,087.17","115,573,090.00","31,663,595.43"
取得借款收到的现金,"40,000,000.00","60,000,000.00","35,000,000.00","10,000,000.00",,"10,000,000.00","30,000,000.00","5,000,000.00","5,000,000.00","25,000,000.00","84,876,466.53","11,803,533.47"
支付的各项税费,"10,271,821.57","16,975,266.46","24,520,595.98","17,754,931.93","20,652,420.56","27,240,980.74","33,016,348.96","15,068,349.31","35,348,624.71","46,391,433.66","50,232,594.84","14,850,544.11"
收到其他与筹资活动有关的现金,,,,,,"21,746.91",,,,,,
支付其他与经营活动有关的现金,"3,650,124.01","6,160,465.48","4,481,773.57","3,827,020.06","7,123,384.53","14,492,892.22","23,353,767.56","9,243,641.75","14,060,637.73","30,601,324.72","20,529,241.23","4,423,379.72"
筹资活动现金流入小计,"40,000,000.00","60,000,000.00","35,000,000.00","184,200,000.00","198,700,000.00","208,721,746.91","228,700,000.00","57,150,000.00","57,150,000.00","77,150,000.00","137,026,466.53","11,803,533.47"
