科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2015年度
一、营业收入,,,,,,,,"29,994,448.18"
二、营业利润,"-22,418,366.20","-44,746,470.68","-67,055,712.27","-3,772,362.54","15,689,897.86","-31,649,480.73","-47,611,996.44","16,812,574.10"
减:营业成本,,,,,,,,"2,173,772.40"
加:补贴收入,,,,,,,,
营业税金及附加,,,,,,,,"1,858,045.55"
营业外收入,,,,,,,,"2,273,157.89"
销售费用,,,,,,,,"26,205.79"
减:营业外支出,,,,,,,,"2,313.56"
管理费用,"197,949.19","305,319.40","393,826.73","1,723,134.99","156,890.30","269,685.02","542,302.86","7,095,453.16"
其中:非流动资产处置净损失,,,,,,,,
堪探费用,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,
财务费用,"22,220,417.01","44,441,151.28","66,661,885.54","62,759,591.43","15,689,897.86","31,379,795.71","47,069,693.58","-928,525.05"
三、利润总额,"-22,418,366.20","-44,746,470.68","-67,055,712.27","-3,772,362.54","15,689,897.86","-31,649,480.73","-47,611,996.44","19,083,418.43"
资产减值损失,,,,"-60,710,363.88",,,,"2,956,922.23"
减:所得税,,,,,,,,"1,477,699.35"
加:公允价值变动净收益,,,,,,,,
加:影响净利润的其他科目,,,,,,,,
投资收益,,,,,,,,
四、净利润,"-22,418,366.20","-44,746,470.68","-67,055,712.27","-3,772,362.54","15,689,897.86","-31,649,480.73","-47,611,996.44","17,605,719.08"
其中:对联营企业和合营企业的投资权益,,,,,,,,
归属于母公司所有者的净利润,"-22,418,366.20","-44,746,470.68","-67,055,712.27","-3,772,362.54","15,689,897.86","-31,649,480.73","-47,611,996.44","17,541,296.05"
影响营业利润的其他科目,,,,,,,,
少数股东损益,,,,,,,,"64,423.03"
