科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,141,832,009.56","2,642,295,721.78","3,145,727,841.85","1,627,906,258.63","2,391,505,703.21","3,493,524,930.12","1,142,847,721.30","1,843,872,364.14","2,828,850,681.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"17,585,965.09","14,719,173.53","27,963,382.29","18,815,101.91","21,048,257.96","24,221,047.63","3,975,396.37","27,654,279.45","35,190,031.74"
投资活动现金流出小计,"172,192,075.78","269,829,997.20","223,292,642.66","110,472,462.52","197,820,049.41","247,742,588.89","82,412,789.81","802,797,820.46","1,467,083,105.25"
经营活动现金流入小计,"2,159,417,974.65","2,657,014,895.31","3,173,691,224.14","1,646,721,360.54","2,412,553,961.17","3,517,745,977.75","1,146,823,117.67","1,871,526,643.59","2,864,040,713.25"
投资活动产生的现金流量净额,"-170,406,312.66","-269,150,488.41","-223,096,091.17","-110,230,316.39","-197,381,713.73","-247,286,783.21","-82,407,486.76","-370,827,876.56","-501,510,817.77"
购买商品、接受劳务支付的现金,"1,415,679,581.00","1,585,626,960.61","1,858,622,953.67","1,086,414,901.88","1,635,308,283.91","2,261,344,243.90","804,992,095.96","1,289,859,778.05","1,911,227,846.33"
吸收投资收到的现金,,,,,,,"555,591,200.00","600,591,200.00","600,591,200.00"
支付给职工以及为职工支付的现金,"237,853,492.49","306,161,969.08","393,444,955.78","222,762,678.94","323,829,320.31","445,978,607.44","147,123,982.62","257,610,604.76","375,229,343.02"
取得借款收到的现金,"203,000,000.00","307,799,540.00","751,621,452.94","299,000,000.00","447,177,863.37","555,992,345.91","210,000,000.00","374,261,261.93","503,261,261.93"
支付的各项税费,"146,568,751.47","189,881,727.36","229,422,280.54","121,972,280.18","186,073,146.24","241,510,279.83","61,685,671.99","131,116,623.85","195,802,209.61"
收到其他与筹资活动有关的现金,"13,804,245.00","24,275,222.50","13,230,494.00","9,800,000.00","13,084,600.00","21,164,600.00",,"3,440,000.00","4,940,000.00"
支付其他与经营活动有关的现金,"215,646,220.81","282,357,499.13","314,920,768.10","153,631,740.01","230,732,673.17","352,247,925.30","115,474,482.55","180,623,346.40","260,264,505.28"
筹资活动现金流入小计,"216,804,245.00","332,074,762.50","764,851,946.94","308,800,000.00","460,262,463.37","577,156,945.91","765,591,200.00","978,292,461.93","1,108,792,461.93"
经营活动现金流出小计,"2,015,748,045.77","2,364,028,156.18","2,796,410,958.09","1,584,781,601.01","2,375,943,423.63","3,301,081,056.47","1,129,276,233.12","1,859,210,353.06","2,742,523,904.24"
偿还债务支付的现金,"186,200,000.00","277,800,000.00","749,858,435.71","327,562,557.23","367,562,557.23","556,562,557.23","178,177,863.37","281,992,345.91","441,992,345.91"
经营活动产生的现金流量净额,"143,669,928.88","292,986,739.13","377,280,266.05","61,939,759.53","36,610,537.54","216,664,921.28","17,546,884.55","12,316,290.53","121,516,809.01"
分配股利、利润或偿还利息支付的现金,"7,839,125.33","11,800,318.89","10,463,200.89","3,228,499.62","5,365,177.03","7,836,891.34","2,669,048.97","56,395,926.90","60,685,014.38"
收回投资收到的现金,,,,,,,,"430,000,000.00","960,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"7,004,577.94","61,597,133.73","61,597,133.73"
取得投资收益收到的现金,"-40,573.89",,,,,,,"1,933,290.43","5,458,087.84"
筹资活动现金流出小计,"194,039,125.33","289,600,318.89","760,321,636.60","330,791,056.85","372,927,734.26","564,399,448.57","187,851,490.28","399,985,406.54","564,274,494.02"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,826,337.01","679,508.79","196,551.49","242,146.13","438,335.68","455,805.68","5,303.05","36,653.47","114,199.64"
筹资活动产生的现金流量净额,"22,765,119.67","42,474,443.61","4,530,310.34","-21,991,056.85","87,334,729.11","12,757,497.34","577,739,709.72","578,307,055.39","544,517,967.91"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-2,636.14","-12,147.20","-119,328.28","-2,368.79","-12,912.88","-38,728.21","11,305.77","7,460.85","9,779.89"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"1,785,763.12","679,508.79","196,551.49","242,146.13","438,335.68","455,805.68","5,303.05","431,969,943.90","965,572,287.48"
五、现金及现金等价物净增加额,"-3,973,900.25","66,298,547.13","158,595,156.94","-70,283,982.50","-73,449,359.96","-17,903,092.80","512,890,413.28","219,802,930.21","164,533,739.04"
购建固定资产、无形资产和其他长期资产支付的现金,"172,192,075.78","269,829,997.20","223,292,642.66","110,472,462.52","197,820,049.41","247,742,588.89","82,412,789.81","152,797,820.46","227,083,105.25"
期初现金及现金等价物余额,"103,568,725.60","99,594,825.35","165,893,372.48","324,488,529.42","324,488,529.42","324,488,529.42","308,985,436.62","306,585,436.62","306,585,436.62"
投资支付的现金,,,,,,,,"650,000,000.00","1,240,000,000.00"
期末现金及现金等价物余额,"99,594,825.35","165,893,372.48","324,488,529.42","254,204,546.92","251,039,169.46","306,585,436.62","821,875,849.90","526,388,366.83","471,119,175.66"
