科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"341,947,020.21","399,564,052.02","716,010,745.01",,"435,523,191.10",,"831,007,763.63","259,254,939.85","440,023,446.92","533,998,146.80","774,163,566.06","211,519,812.18","359,971,011.23","523,846,366.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"11,464,680.36","19,037,977.63","23,910,955.29",,"18,085,194.94",,"31,462,382.32","325,414.74","12,994,532.44","27,964,223.69","28,732,606.83","10,828,314.57","20,421,672.20","21,583,260.02"
支付其他与投资活动有关的现金,,,,,,,,,"70,000,000.00","100,000,000.00","1,973,300,000.00","133,700,000.00","377,510,000.00","485,760,000.00"
收到其他与经营活动有关的现金,"6,038,865.41","7,145,200.00","3,270,339.50",,"3,855,334.39",,"11,460,518.54","9,313,515.29","26,943,073.29","40,347,842.92","44,162,313.55","2,383,742.71","2,885,216.80","12,488,674.13"
投资活动现金流出小计,"35,380,443.65","47,399,435.09","782,725,335.42",,"797,120,214.36",,"1,655,194,048.29","730,991,060.50","1,647,219,487.28","1,964,735,432.24","4,514,800,256.11","637,896,146.11","1,896,650,639.38","2,653,408,966.56"
经营活动现金流入小计,"359,450,565.98","425,747,229.65","743,192,039.80",,"457,463,720.43",,"873,930,664.49","268,893,869.88","479,961,052.65","602,310,213.41","847,058,486.44","224,731,869.46","383,277,900.23","557,918,300.60"
投资活动产生的现金流量净额,"-14,302,089.13","-45,832,473.22","-29,780,666.86",,"-71,089,772.42",,"-251,000,637.91","-292,218,430.95","-927,471,583.10","-1,103,878,193.41","-1,447,455,975.23","-72,896,209.60","-3,274,815.47","-91,491,109.09"
购买商品、接受劳务支付的现金,"133,386,439.19","209,825,549.98","301,195,199.50",,"140,655,062.28",,"302,778,295.64","78,980,459.05","165,419,053.64","241,133,368.04","322,753,417.66","50,562,860.01","144,296,943.26","210,043,555.98"
吸收投资收到的现金,,,,,,,"1,282,692,000.00",,,,"13,310,300.00",,"1,600,000.00","1,600,000.00"
支付给职工以及为职工支付的现金,"33,611,949.59","58,234,709.10","97,705,696.98",,"64,387,806.91",,"115,964,944.13","36,715,678.15","80,522,465.71","108,236,424.92","134,281,728.19","29,751,065.31","57,709,708.92","82,752,768.95"
取得借款收到的现金,"20,000,000.00","10,000,000.00",,,,,,,,,,,,
支付的各项税费,"56,235,416.37","62,013,402.07","101,697,852.95",,"72,380,305.08",,"137,723,524.07","44,327,990.63","57,022,377.16","72,279,717.51","101,405,873.89","36,426,075.78","52,065,231.40","59,622,349.35"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"35,207,915.91","46,788,479.81","66,637,483.53",,"49,484,308.96",,"104,194,053.25","33,173,031.79","73,856,751.39","106,335,716.32","128,521,801.32","20,728,321.96","38,539,425.72","58,155,349.72"
筹资活动现金流入小计,"20,000,000.00","10,000,000.00",,,,,"1,282,692,000.00",,,,"13,310,300.00",,"1,600,000.00","1,600,000.00"
经营活动现金流出小计,"258,441,721.06","376,862,140.96","567,236,232.96",,"326,907,483.23",,"660,660,817.09","193,197,159.62","376,820,647.90","527,985,226.79","686,962,821.06","137,468,323.06","292,611,309.30","410,574,024.00"
偿还债务支付的现金,"40,400,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,
经营活动产生的现金流量净额,"101,008,844.92","48,885,088.69","175,955,806.84","1,250,467.12","130,556,237.20","117,812,079.25","213,269,847.40","75,696,710.26","103,140,404.75","74,324,986.62","160,095,665.38","87,263,546.40","90,666,590.93","147,344,276.60"
分配股利、利润或偿还利息支付的现金,"56,640,822.25","309,399.98","222,444.43",,"25,800,000.00",,"25,800,000.00",,"22,984,000.00","22,984,000.00","22,984,000.00",,"34,499,458.35","34,499,458.35"
收回投资收到的现金,"20,000,000.00",,"749,400,000.00",,"722,490,000.00",,"1,397,640,000.00","434,500,000.00","714,500,000.00","852,500,000.00","1,342,500,000.00","423,000,000.00","1,488,551,371.98","1,991,121,371.98"
支付其他与筹资活动有关的现金,"1,650,000.00","500,000.00","400,000.00",,"200,000.00",,"600,000.00",,"4,930,000.00","4,930,000.00","4,930,000.00",,,
取得投资收益收到的现金,"69,398.63","1,068,166.55","3,311,910.91",,"3,383,123.21",,"6,046,356.62","982,809.72","3,372,067.06","6,375,009.12","14,085,946.90","10,451,858.24","18,261,648.29","24,845,304.14"
筹资活动现金流出小计,"98,690,822.25","10,809,399.98","10,622,444.43",,"26,000,000.00",,"26,400,000.00",,"27,914,000.00","27,914,000.00","27,914,000.00",,"34,499,458.35","34,499,458.35"
处置固定资产、无形资产和其他长期资产收回的现金净额,"127,376.00",,"37,148.80",,"28,724.43",,"51,500.00",,"25,000.00","25,789.52","25,810.01",,"26,042.76","26,232.76"
筹资活动产生的现金流量净额,"-78,690,822.25","-809,399.98","-10,622,444.43",,"-26,000,000.00",,"1,256,292,000.00",,"-27,914,000.00","-27,914,000.00","-14,603,700.00",,"-32,899,458.35","-32,899,458.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,"3,419.31",,"3,419.31",0.01,,,0.01,,,
收到其他与投资活动有关的现金,"881,579.89","498,795.32","195,608.85",,"128,594.30",,"455,553.76","3,289,819.83","1,850,837.12","1,956,440.19","1,710,732,523.97","131,548,078.27","386,536,760.88","545,924,948.59"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"21,078,354.52","1,566,961.87","752,944,668.56",,"726,030,441.94",,"1,404,193,410.38","438,772,629.55","719,747,904.18","860,857,238.83","3,067,344,280.88","564,999,936.51","1,893,375,823.91","2,561,917,857.47"
五、现金及现金等价物净增加额,"8,015,933.54","2,243,215.49","135,552,695.55",,"33,469,884.09",,"1,218,564,628.80","-216,521,720.68","-852,245,178.35","-1,057,467,206.79","-1,301,964,009.84","14,367,336.80","54,492,317.11","22,953,709.16"
购建固定资产、无形资产和其他长期资产支付的现金,"15,380,443.65","47,399,435.09","33,325,335.42",,"74,630,214.36",,"121,454,048.29","34,591,060.50","50,799,487.28","95,815,432.24","109,380,256.11","32,196,146.11","48,140,639.38","66,348,966.56"
期初现金及现金等价物余额,"86,423,629.57","94,439,563.11","96,682,778.60",,"232,235,474.15",,"232,235,474.15","1,450,800,102.95","1,450,800,102.95","1,450,800,102.95","1,450,800,102.95","148,836,093.11","148,836,093.11","148,836,093.11"
投资支付的现金,"20,000,000.00",,"749,400,000.00",,"722,490,000.00",,"1,533,740,000.00","696,400,000.00","1,526,420,000.00","1,768,920,000.00","2,432,120,000.00","472,000,000.00","1,471,000,000.00","2,101,300,000.00"
期末现金及现金等价物余额,"94,439,563.11","96,682,778.60","232,235,474.15",,"265,705,358.24",,"1,450,800,102.95","1,234,278,382.27","598,554,924.60","393,332,896.16","148,836,093.11","163,203,429.91","203,328,410.22","171,789,802.27"
