科目,2013年度,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"195,094,555.86","248,398,346.24","268,659,487.86","358,647,130.71","98,396,510.26","198,935,052.77","318,834,964.23","448,546,474.98","120,572,134.65","264,339,752.61","433,403,180.59","622,923,494.50","144,052,119.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"1,038,212.25","611,499.55","1,092,634.80","62,949.17","805,086.38","910,730.79","910,730.79",,,"763,000.51","6,677,576.50","7,274,418.83","305,058.11"
支付其他与投资活动有关的现金,,,,,,,140.00,,,,"3,000.00",,
收到其他与经营活动有关的现金,"4,292,616.91","3,415,439.02","1,946,422.47","10,618,247.67","664,015.82","8,288,729.23","14,976,309.49","7,995,329.37","1,113,022.99","5,969,754.44","13,862,699.71","30,965,249.06","4,058,086.73"
投资活动现金流出小计,"20,261,350.22","41,606,216.76","72,645,155.75","104,077,467.31","40,615,730.20","352,014,989.60","502,704,369.75","675,421,973.63","128,827,846.71","558,935,094.83","785,445,193.71","1,624,485,628.75","251,771,500.18"
经营活动现金流入小计,"200,425,385.02","252,425,284.81","271,698,545.13","369,328,327.55","99,865,612.46","208,134,512.79","334,722,004.51","456,541,804.35","121,685,157.64","271,072,507.56","453,943,456.80","661,163,162.39","148,415,263.98"
投资活动产生的现金流量净额,"-18,039,127.91","-41,593,907.51","-71,619,514.73","-104,041,164.75","-40,615,730.20","-351,823,489.60","-502,512,869.75","-634,163,686.64","-61,940,012.46","-109,438,164.83","-195,858,278.71","-191,784,414.04","-213,771,500.18"
购买商品、接受劳务支付的现金,"73,700,139.63","78,212,305.09","75,477,888.99","104,027,376.64","34,275,870.18","70,068,897.54","113,423,094.72","157,557,226.41","47,144,880.26","101,038,992.09","159,809,797.03","216,690,529.40","67,283,277.13"
吸收投资收到的现金,,,,,"609,940,100.00","609,940,100.00","609,940,100.00","652,068,000.00","36,350,820.00","36,350,820.00","36,350,820.00","36,350,820.00",
支付给职工以及为职工支付的现金,"27,812,351.21","35,305,877.47","44,873,637.45","53,165,380.31","22,920,597.76","36,789,849.91","51,100,432.91","70,493,146.13","27,874,848.19","45,937,875.89","64,642,035.48","87,396,348.16","28,667,501.71"
取得借款收到的现金,,"24,750,000.00",,,,,,,,,"10,000,000.00","38,000,000.00",
支付的各项税费,"27,386,869.24","37,459,888.26","32,039,391.24","53,306,764.78","17,410,136.81","34,743,656.80","52,175,616.97","74,428,169.62","18,609,011.56","34,022,544.12","52,539,821.77","60,602,984.22","16,982,955.06"
收到其他与筹资活动有关的现金,,,,"7,721,600.00","35,579.84","35,579.84","35,579.84","12,246,400.00",,"3,571,935.49","6,636,175.49",,
支付其他与经营活动有关的现金,"7,846,469.08","10,457,489.24","11,439,679.73","23,142,123.29","6,884,080.58","12,488,668.51","18,965,643.79","31,076,043.31","8,336,662.59","12,934,087.24","48,835,525.33","35,079,966.00","6,143,645.19"
筹资活动现金流入小计,,"24,750,000.00",,"7,721,600.00","609,975,679.84","609,975,679.84","609,975,679.84","664,314,400.00","36,350,820.00","39,922,755.49","52,986,995.49","74,350,820.00",
经营活动现金流出小计,"136,745,829.16","161,435,560.06","163,830,597.41","233,641,645.02","81,490,685.33","154,091,072.76","235,664,788.39","333,554,585.47","101,965,402.60","193,933,499.34","325,827,179.61","399,769,827.78","119,077,379.09"
偿还债务支付的现金,,"24,750,000.00",,,,,,,,,,,
经营活动产生的现金流量净额,"63,679,555.86","90,989,724.75","107,867,947.72","135,686,682.53","18,374,927.13","54,043,440.03","99,057,216.12","122,987,218.88","19,719,755.04","77,139,008.22","128,116,277.19","261,393,334.61","29,337,884.89"
分配股利、利润或偿还利息支付的现金,"29,400,000.00","35,021,894.44","35,000,000.00","35,000,000.00",,"27,366,000.00","27,366,000.00","28,080,000.00",,"47,300,700.00","47,300,700.00","47,659,333.32","413,249.98"
收回投资收到的现金,,,,,,,,"40,000,000.00","65,000,000.00","433,000,000.00","573,000,000.00","1,415,471,000.00","38,000,000.00"
支付其他与筹资活动有关的现金,"103,165.89","1,608,986.70","40,000.00",,"7,448,968.90","7,512,802.80","7,512,802.80","49,619,400.00",,"112,361.96","112,361.96",,"322,200.00"
