科目,2013年度,2015年度
销售商品、提供劳务收到的现金,,"323,758,308.15"
取得子公司及其他营业单位支付的现金净额,,
收到的税费返还,,"786,312.74"
支付其他与投资活动有关的现金,,
收到其他与经营活动有关的现金,,"15,503,436.84"
投资活动现金流出小计,,"8,134,256.82"
经营活动现金流入小计,,"340,048,057.73"
投资活动产生的现金流量净额,,"152,412.14"
购买商品、接受劳务支付的现金,,"227,583,046.15"
吸收投资收到的现金,,
支付给职工以及为职工支付的现金,,"41,652,176.02"
取得借款收到的现金,,"69,713,977.92"
支付的各项税费,,"19,329,310.79"
收到其他与筹资活动有关的现金,,"81,760,000.00"
支付其他与经营活动有关的现金,,"49,630,093.74"
筹资活动现金流入小计,,"151,473,977.92"
经营活动现金流出小计,,"338,194,626.70"
偿还债务支付的现金,,"79,108,557.92"
经营活动产生的现金流量净额,,"1,853,431.03"
分配股利、利润或偿还利息支付的现金,,"5,060,590.14"
收回投资收到的现金,,"6,317,510.00"
支付其他与筹资活动有关的现金,,
取得投资收益收到的现金,,
筹资活动现金流出小计,,"84,169,148.06"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"431,442.76"
筹资活动产生的现金流量净额,,"67,304,829.86"
处置子公司及其他营业单位收到的现金净额,,
四、汇率变动对现金的影响,,"-132,067.18"
收到其他与投资活动有关的现金,,"1,537,716.20"
四(2)、其他原因对现金的影响,,
投资活动现金流入小计,,"8,286,668.96"
五、现金及现金等价物净增加额,,"69,178,605.85"
购建固定资产、无形资产和其他长期资产支付的现金,,"1,582,256.82"
期初现金及现金等价物余额,"29,306.09","76,359,686.39"
投资支付的现金,,"6,552,000.00"
期末现金及现金等价物余额,"29,306.09","145,538,292.24"
