科目,2006-12-31
货币资金,"63,167.83"
短期借款,"439,782,906.87"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,
应付账款,"62,598,194.15"
预付款项,
预收款项,"49,989,265.01"
其他应收款,"1,611,431.36"
应付职工薪酬,
应收关联公司款,
应交税费,"7,459,507.50"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"75,216.00"
其他应付款,"387,341,132.02"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,
流动资产合计,"2,721,378.84"
流动负债合计,"1,805,364,938.25"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"112,561,952.18"
专项应付款,
投资性房地产,
预计负债,"630,245,272.30"
固定资产,"1,246,917.45"
递延所得税负债,
在建工程,"26,630,551.70"
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"1,805,364,938.25"
生产性生物资产,
实收资本(或股本),"296,711,400.00"
油气资产,
资本公积,"168,557,687.83"
无形资产,
盈余公积,"35,192,862.42"
开发支出,
减:库存股,
商誉,
未分配利润,"-2,162,666,088.33"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,
所有者权益(或股东权益)合计,"-1,662,204,138.08"
资产总计,"143,160,800.17"
负债和所有者(或股东权益)合计,"143,160,800.17"
