科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,"151,991,030.89","146,188,542.97","135,321,113.33","6,300,000.00","672,616,580.70","146,906,429.43","71,133,333.33","34,399,988.80",,"221,532,053.43",,"85,590,131.64","96,150,601.29","204,486,790.50","1,144,919,433.13","205,704,622.88","152,653,233.47","839,066,539.51","167,907,856.48","28,816,283.11"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"42,335,200.00","35,977,000.00","34,918,190.00","40,072,415.27",,"43,509.18","96,158,099.51","18,330,000.00","176,947,110.39","39,960,000.00","367,075,565.34","110,254,040.00","10,391,171.99","167,670,681.14","157,284,625.14","3,120,504,233.02","625,862,569.03","1,743,031,150.71","2,205,690,235.01","3,613,696,218.87","735,835,815.92"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"1,215,254.24","471,131.29","276,332.31","42,132,156.16",,"47,542,711.23","15,239,853.48","47,806,064.55","23,165.00","160,412.97","1,108,368.38","172,053,562.95","95,400.50","5,566,455.15","5,825,426.42","3,875,818,962.25","14,789,143,437.78","-704,087,957.45","-15,116,276,736.97","5,556,189,489.71","1,362,850.47"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,"800,000,000.00","1,885,000,000.00",,"6,100,000,000.00","-2,200,000,000.00",,,,
投资活动现金流入小计,"43,550,454.24","188,439,162.18","181,383,065.28","217,525,684.76","6,300,000.00","720,202,801.11","258,304,382.42","137,269,397.88","211,370,264.19","40,120,412.97","589,715,987.15","282,307,602.95","96,076,704.13","269,387,737.58","367,596,842.06","8,141,242,628.40","15,620,710,629.69","1,191,092,369.82","-12,071,519,962.45","9,337,793,565.06","925,406,644.80"
收取利息、手续费及佣金的现金,"2,574,813,144.71","1,763,731,273.84","2,347,537,511.75","3,816,683,063.06","1,928,435,199.98","5,399,532,611.85","8,038,757,343.16","10,608,471,510.47","2,399,800,003.66","4,517,678,669.13","6,760,499,875.48","9,119,092,032.07","1,991,049,821.00","4,013,753,890.82","6,184,965,737.08","8,808,823,166.97","2,242,192,438.08","5,239,779,920.76","7,010,942,449.56","9,306,348,812.29","1,906,567,147.02"
投资支付的现金,"18,150,000.00","221,965,000.00","99,000,000.00","597,984,500.00","280,610,000.00","646,808,712.00","1,420,078,712.00","522,160,000.00","303,965,000.00","661,389,344.86","1,025,272,425.73","1,230,805,548.05","80,530,000.00","3,879,270.87","226,577,186.34","1,284,385,535.07","111,050,000.00","8,550,000.00","540,105,395.30","58,528,651.56","474,163,869.67"
处置交易性金融资产净增加额,,"-7,140,033,662.90","-2,623,436,629.95","-7,740,954,345.19",,,,,,"4,339,693,915.52","2,523,169,148.95",,,"-11,620,399,663.36","-19,709,433,423.78",,"2,165,709,434.08","280,363,697.38","5,499,706,388.03",,
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,"800,000,000.00","1,885,000,000.00","2,500,000,000.00","6,100,000,000.00","-2,200,000,000.00",,"-6,000,000,000.00",,
购建固定资产、无形资产和其他长期资产支付的现金,"290,374,167.96","142,365,595.38","950,535,630.09","273,855,516.38","65,308,869.70","86,520,341.52","180,948,681.84","369,863,975.37","55,443,928.99","244,100,058.33","252,218,896.20","353,574,039.02","33,951,120.55","85,037,934.56","321,844,523.91","389,564,417.76","66,556,207.20","139,976,616.97","230,707,495.66","417,550,684.86","50,481,718.34"
回购业务资金净增加额,"1,370,295,396.96","7,824,338,802.10","-2,254,624,809.99","5,167,474,476.57","1,387,910,472.11","8,333,952,494.84","-1,390,783,146.94","-2,218,944,545.28","-4,177,715,225.41","-9,921,888,347.01","-8,809,743,671.74","-9,714,855,856.30","-4,998,823,941.99","3,635,065,159.58","10,507,300,040.02","9,474,163,193.17","-6,902,416,637.74",,"8,642,069,964.17",,"4,677,553,982.17"
支付其他与投资活动有关的现金,,,,,,,"3,000,000.00",,"775,000.00",,"201,525,000.00",,,,"10,000,000.00",,"14,241,465,883.98",,"5,400,000.00","15,995,483,098.41",
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"308,524,167.96","364,330,595.38","1,049,535,630.09","871,840,016.38","345,918,869.70","733,329,053.52","1,604,027,393.84","892,023,975.37","360,183,928.99","905,489,403.19","1,479,016,321.93","1,584,379,587.07","114,481,120.55","88,917,205.43","558,421,710.25","1,673,949,952.83","14,419,072,091.18","148,526,616.97","776,212,890.96","16,471,562,434.83","1,554,260,630.63"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-264,973,713.72","-175,891,433.20","-868,152,564.81","-654,314,331.62","-339,618,869.70","-13,126,252.41","-1,345,723,011.42","-754,754,577.49","-148,813,664.80","-865,368,990.22","-889,300,334.78","-1,302,071,984.12","-18,404,416.42","180,470,532.15","-190,824,868.19","6,467,292,675.57","1,201,638,538.51","1,042,565,752.85","-12,847,732,853.41","-7,133,768,869.77","-628,853,985.83"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
