科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月
销售商品、提供劳务收到的现金,"918,488,694.11","1,423,145,158.33","1,595,914,027.95","2,291,882,683.11","1,393,836,905.54","2,248,993,512.16"
取得子公司及其他营业单位支付的现金净额,,"17,850,170.70","6,579,835.63","6,579,835.63",,
收到的税费返还,"428,750.49","452,083.85","303,333.68","455,000.52","72,092.53","78,276.77"
支付其他与投资活动有关的现金,,,"8,000,000.00","9,313,186.67","2,318,868.94","6,766,868.94"
收到其他与经营活动有关的现金,"3,857,203.32","36,747,504.39","14,752,322.46","14,270,075.60","5,619,390.46","23,705,887.19"
投资活动现金流出小计,"110,073,732.85","94,133,915.05","113,259,108.64","150,862,617.39","90,615,349.33","145,851,671.19"
经营活动现金流入小计,"922,774,647.92","1,460,344,746.57","1,610,969,684.09","2,306,607,759.23","1,399,528,388.53","2,272,777,676.12"
投资活动产生的现金流量净额,"-45,085,996.18","-77,909,775.11","-112,518,485.57","-149,341,494.32","-84,592,270.88","-133,286,658.54"
购买商品、接受劳务支付的现金,"97,911,113.97","123,494,097.69","95,877,621.18","166,859,270.76","126,171,392.18","185,566,224.74"
吸收投资收到的现金,,,,,,
支付给职工以及为职工支付的现金,"49,067,874.31","109,368,944.42","123,624,036.07","176,039,718.12","123,955,731.95","188,646,793.09"
取得借款收到的现金,"29,128,334.76","140,000,000.00","10,000,000.00","110,000,000.00","80,000,000.00","110,000,000.00"
支付的各项税费,"138,918,864.22","232,993,928.74","282,793,541.64","389,924,912.81","225,537,555.38","363,260,847.76"
收到其他与筹资活动有关的现金,,,,,,
支付其他与经营活动有关的现金,"581,593,145.74","870,654,649.39","888,880,668.90","1,331,372,785.49","746,700,626.49","1,205,199,602.88"
筹资活动现金流入小计,"29,128,334.76","140,000,000.00","10,000,000.00","110,000,000.00","80,000,000.00","110,000,000.00"
经营活动现金流出小计,"867,490,998.24","1,336,511,620.24","1,391,175,867.79","2,064,196,687.18","1,222,365,306.00","1,942,673,468.47"
偿还债务支付的现金,"43,544,235.09","96,139,230.17",,"100,000,000.00","80,000,000.00","125,000,000.00"
经营活动产生的现金流量净额,"55,283,649.68","123,833,126.33","219,793,816.30","242,411,072.05","177,163,082.53","330,104,207.65"
分配股利、利润或偿还利息支付的现金,"1,668,945.98","5,047,630.28","31,138,373.33","33,091,415.55","66,682,718.75","68,382,061.74"
收回投资收到的现金,"64,867,386.67","11,651,143.68",,,,
支付其他与筹资活动有关的现金,,"1,500,000.00","5,860,000.00","6,110,000.00",,
取得投资收益收到的现金,"10,350.00",,,,,
筹资活动现金流出小计,"45,213,181.07","102,686,860.45","36,998,373.33","139,201,415.55","146,682,718.75","193,382,061.74"
处置固定资产、无形资产和其他长期资产收回的现金净额,"110,000.00","447,996.26","490,623.07","491,123.07","100,600.00","100,600.00"
筹资活动产生的现金流量净额,"-16,084,846.31","37,313,139.55","-26,998,373.33","-29,201,415.55","-66,682,718.75","-83,382,061.74"
处置子公司及其他营业单位收到的现金净额,,,,,,
四、汇率变动对现金的影响,"-7,081.82",-973.36,-361.84,-174.18,"-5,548.20","-4,949.88"
收到其他与投资活动有关的现金,,"4,125,000.00","250,000.00","1,030,000.00","5,922,478.45","12,464,412.65"
四(2)、其他原因对现金的影响,,,,,,
投资活动现金流入小计,"64,987,736.67","16,224,139.94","740,623.07","1,521,123.07","6,023,078.45","12,565,012.65"
五、现金及现金等价物净增加额,"-5,894,274.63","83,235,517.41","80,276,595.56","63,867,988.00","25,882,544.70","113,430,537.49"
购建固定资产、无形资产和其他长期资产支付的现金,"40,185,506.15","55,201,594.35","98,679,273.01","134,969,595.09","88,296,480.39","139,084,802.25"
期初现金及现金等价物余额,"45,964,564.50","40,070,289.87","123,305,807.28","123,305,807.28","187,173,795.28","187,173,795.28"
投资支付的现金,"69,888,226.70","21,082,150.00",,,,
期末现金及现金等价物余额,"40,070,289.87","123,305,807.28","203,582,402.84","187,173,795.28","213,056,339.98","300,604,332.77"
