科目,2007年1-6月,2007年1-9月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2015年度
销售商品、提供劳务收到的现金,,,"153,200.00",,,"100,000.00",,,"18,000.00",,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"238,200.00","341,200.00","152,178.24","154,000.00","276,000.00","190,000.00","108,000.00","241,000.00","223,000.00","130,000.00","212,000.00","255,000.00","150,000.00","321,500.00","321,500.00","130,000.00","230,000.00","130,000.00","230,000.00","370,000.00"
投资活动现金流出小计,,,,,,,,,,,,,,,,,,,,
经营活动现金流入小计,"238,200.00","341,200.00","305,378.24","154,000.00","276,000.00","290,000.00","108,000.00","241,000.00","241,000.00","130,000.00","212,000.00","255,000.00","150,000.00","321,500.00","321,500.00","130,000.00","230,000.00","130,000.00","230,000.00","370,000.00"
投资活动产生的现金流量净额,,,,,,,,,,,,,,,,,,,,
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"74,565.00","110,808.00","166,575.50","138,233.85","210,479.85","168,739.00","48,552.00","115,152.00","120,930.00","75,804.00","150,916.89","156,240.00","133,468.00","212,406.89","158,456.00","85,448.00","148,288.00","69,970.00","134,143.00","148,536.00"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,
支付的各项税费,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"165,791.08","206,399.77","138,882.77","16,416.17","36,265.05","118,883.10","41,686.25","82,618.04","104,977.04","44,041.28","71,526.45","95,203.34","32,389.49","78,374.01","132,324.90","46,427.44","103,831.89","62,389.94","101,847.20","149,671.69"
筹资活动现金流入小计,,,,,,,,,,,,,,,,,,,,
经营活动现金流出小计,"240,356.08","317,207.77","305,458.27","154,650.02","246,744.90","287,622.10","90,238.25","197,770.04","225,907.04","119,845.28","222,443.34","251,443.34","165,857.49","290,780.90","290,780.90","131,875.44","252,119.89","132,359.94","235,990.20","298,207.69"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"-2,156.08","23,992.23",-80.03,-650.02,"29,255.10","2,377.90","17,761.75","43,229.96","15,092.96","10,154.72","-10,443.34","3,556.66","-15,857.49","30,719.10","30,719.10","-1,875.44","-22,119.89","-2,359.94","-5,990.20","71,792.31"
分配股利、利润或偿还利息支付的现金,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,,,,,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,,,,,,,,,,,,
五、现金及现金等价物净增加额,"-2,156.08","23,992.23",-80.03,-650.02,"29,255.10","2,377.90","17,761.75","43,229.96","15,092.96","10,154.72","-10,443.34","3,556.66","-15,857.49","30,719.10","30,719.10","-1,875.44","-22,119.89","-2,359.94","-5,990.20","71,792.31"
购建固定资产、无形资产和其他长期资产支付的现金,,,,,,,,,,,,,,,,,,,,
期初现金及现金等价物余额,,,,,,,,,,"59,643.12",,,,"63,199.78","63,199.78",,,"71,798.99",,
投资支付的现金,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,,,,,,,,,,"69,797.84",,,,"93,918.88","93,918.88",,,"69,439.05",,
