科目,2007年1-3月,2007年1-6月
一、营业收入,"44,159,480.85","101,040,256.64"
二、营业利润,"-35,380,424.17","-74,275,822.49"
减:营业成本,"56,253,778.19","132,324,023.28"
加:补贴收入,,
营业税金及附加,"296,967.44","521,148.96"
营业外收入,,"76,444.44"
销售费用,,
减:营业外支出,"6,886.19","949,642.83"
管理费用,"5,586,765.94","10,922,583.16"
其中:非流动资产处置净损失,,
堪探费用,,
加:影响利润总额的其他科目,,
财务费用,"13,315,284.23","26,570,515.75"
三、利润总额,"-35,387,310.36","-75,149,020.88"
资产减值损失,,
减:所得税,,
加:公允价值变动净收益,,
加:影响净利润的其他科目,,
投资收益,,"-4,977,807.98"
四、净利润,"-35,387,310.36","-75,149,020.88"
其中:对联营企业和合营企业的投资权益,,
归属于母公司所有者的净利润,"-35,387,310.36","-75,149,020.88"
影响营业利润的其他科目,,
少数股东损益,,
