科目,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"113,366,549.32","111,832,354.24","112,082,626.27","556,094,271.02","503,587,366.03","504,539,265.85","159,938,198.53","334,710,408.36","200,451,952.98","130,857,897.68","156,702,279.41","196,593,901.00","87,929,983.77"
短期借款,"20,000,000.00","35,000,000.00","30,000,000.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,,,"200,000.00","26,300.00","1,126,300.00","220,000.00","120,000.00","519,030.00","130,000.00","270,000.00","10,000.00","70,000.00",
应付票据,"3,940,000.00","10,056,016.23","11,947,949.06","4,422,709.54","14,799,919.96","11,082,583.49","8,570,009.04","13,636,504.23","8,923,665.75","5,010,000.00",,"2,900,000.00",
应收账款,"23,262,397.81","28,590,513.29","33,161,820.94","24,694,468.60","23,805,218.75","29,222,545.91","33,701,592.84","33,820,419.77","27,548,250.47","30,248,388.88","29,992,250.32","27,013,112.42",
应付账款,"44,142,877.03","58,348,435.10","56,223,818.79","50,221,263.76","45,831,553.86","46,014,228.83","53,180,755.58","61,588,915.53","41,816,024.87","49,157,447.47",,"64,456,714.15",
预付款项,"6,437,538.36","9,296,811.42","10,782,450.87","14,125,060.20","24,055,734.89","24,498,116.48","36,946,282.13","7,750,317.75","17,800,364.61","19,950,465.38","19,299,564.53","4,771,232.21","5,826,104.19"
预收款项,"45,622,008.96","47,472,895.58","44,099,278.29","54,367,140.07","59,312,771.92","53,119,421.63","53,641,098.87","40,167,251.56","48,927,499.27","51,067,421.46","53,525,132.08","55,695,262.56","53,996,415.49"
其他应收款,"6,392,986.70","8,688,833.10","11,053,071.07","9,838,767.95","15,178,325.80","12,361,785.07","14,045,355.62","19,811,448.63","30,433,393.50","31,424,678.65","28,131,435.05","16,716,711.65","20,255,741.93"
应付职工薪酬,"11,498,441.77","13,456,337.28","12,583,748.24","13,987,326.14","12,399,422.65","11,733,816.05","9,961,755.32","12,866,620.04","10,913,167.39","13,690,313.27","13,620,394.87","15,074,731.22","12,493,739.17"
应收关联公司款,,,,,,,,,,,,,
应交税费,"18,033,843.79","20,231,770.80","11,919,570.92","16,650,647.24","4,641,355.96","14,756,145.86","11,490,657.00","34,521,999.16","5,143,752.29","5,513,999.25","3,837,890.10","4,064,677.32","3,068,574.05"
应收利息,,,,,,,,"1,342,737.13","1,341,625.75",,,,
应付利息,"35,000.00","61,250.00","46,046.88",,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"152,102,799.57","191,882,571.52","201,953,988.30","204,753,411.58","228,441,244.41","223,797,840.71","249,268,431.65","235,991,118.83","254,197,388.76","262,055,414.71","272,690,439.84","236,058,942.50","235,466,788.86"
其他应付款,"10,817,204.68","10,612,639.98","11,517,343.19","19,280,063.34","11,318,177.13","10,344,220.75","10,013,931.31","9,127,944.72","10,190,919.83","9,492,281.33","5,685,418.73","10,685,538.24","10,263,925.37"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"5,588,172.83","9,895,243.99","15,004,473.57","7,589,144.99","7,179,403.04","10,345,106.46","251,075,215.54","121,789,333.10","152,519,978.88","152,103,387.89","57,594,177.85","29,699,636.25","86,337,355.20"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"307,150,444.59","360,186,327.56","384,238,431.02","817,121,424.34","803,373,592.92","804,984,660.48","745,095,076.31","755,734,813.57","684,422,954.95","626,910,233.19","564,420,147.00","510,923,536.03","465,436,677.50"
流动负债合计,"154,089,376.23","195,239,344.97","178,337,755.37","158,929,150.09","148,303,201.48","147,050,416.61","146,858,207.12","171,909,235.24","125,915,029.40","133,931,462.78","129,503,197.27","152,876,923.49","133,246,593.11"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,"4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00"
固定资产,"112,386,087.26","117,650,497.36","125,091,866.94","125,423,329.61","123,602,075.02","122,764,693.97","119,846,319.61","121,782,408.14","121,289,682.86","122,304,902.61","122,403,520.87","128,645,571.10","167,203,923.62"
