科目,2012-12-31,2013-12-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"217,753,698.52","206,388,020.92",,"330,497,272.43",,"945,968,532.54","407,997,747.27","238,013,636.44","117,504,004.96","153,786,478.48","221,304,809.17","120,268,520.65","334,311,222.38","252,153,053.83","366,272,994.62","207,334,621.52","260,717,169.62","220,466,784.21","275,050,487.89","155,267,205.82","211,349,742.76"
短期借款,"1,273,159,684.92","828,148,747.86",,"1,339,904,304.46",,"1,552,501,929.62","1,200,695,097.00","1,769,311,407.65","1,806,125,953.76","1,523,155,117.70","1,340,918,673.07","1,415,933,796.87","2,083,770,728.29","2,111,702,761.74","2,108,703,363.77","1,698,710,050.14","1,824,113,249.84","1,678,576,065.52","1,523,517,763.77","1,307,177,471.60","1,325,216,059.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"9,566,680.00","8,138,790.77",,"1,400,000.00",,"21,467,932.17","19,246,178.61","46,167,164.47","49,265,932.02","27,467,593.51","36,438,737.25","24,923,353.04","58,723,294.92","19,479,602.50","8,871,589.62","176,388,333.62","76,424,979.00","162,478,445.76","174,974,056.82","373,436,737.36","223,103,951.22"
应付票据,"133,018,152.98","237,151,860.71",,"340,039,984.19",,"374,399,720.73","424,358,239.19","297,089,977.90","344,458,555.96","433,332,406.32","582,898,391.52","540,676,752.02","490,757,835.10","538,308,898.74","696,716,705.38","686,264,721.09","688,260,836.96","853,270,601.21",,"809,703,226.02",
应收账款,"465,813,139.29","395,344,995.19",,"735,149,228.02",,"882,997,334.31","852,349,864.81","894,959,998.61","766,326,232.47","853,877,288.47","1,053,712,523.77","949,354,849.76","891,137,882.48","1,027,376,876.10","1,111,591,550.66","832,102,707.32","1,061,788,924.38","1,229,304,800.45","1,263,104,909.89","893,302,583.66","1,302,816,448.98"
应付账款,"275,126,049.23","337,841,487.39",,"418,740,791.51",,"465,045,252.19","452,310,545.28","473,585,935.37","526,274,330.35","660,945,475.02","662,383,586.09","619,840,648.87","514,199,445.13","481,469,077.01","531,463,341.10","550,119,238.69","644,964,180.60","590,464,245.32",,"649,109,509.49",
预付款项,"197,035,879.42","174,156,392.09",,"164,095,666.78",,"191,117,487.48","202,237,938.95","148,447,126.20","276,095,655.38","328,569,634.16","265,586,654.74","315,356,426.45","308,058,614.72","285,735,452.27","535,438,994.07","409,107,534.47","566,586,106.48","482,322,600.16","259,410,368.25","175,268,999.37","275,361,023.36"
预收款项,"45,570,641.49","31,423,021.82",,"16,210,598.00",,"28,061,509.31","22,727,366.68","34,324,946.08","48,800,794.58","66,743,571.38","36,929,623.46","52,166,044.00","54,920,093.56","50,179,130.24","32,438,109.80","58,110,911.91","74,598,081.50","65,078,980.13","53,196,612.01","57,431,765.32","41,102,971.88"
其他应收款,"10,709,064.78","11,862,110.93",,"12,801,394.81",,"12,524,348.18","17,618,782.04","11,500,203.88","62,986,675.47","41,192,666.89","35,377,973.10","14,987,805.27","41,432,477.91","16,580,766.28","40,687,401.05","11,502,018.83","31,485,386.92","11,778,523.37","11,580,777.09","8,678,434.77","8,865,897.90"
