科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"61,884,466.41","117,625,931.59","132,479,323.64","403,914,320.35","403,683,733.93","350,822,115.31","425,477,139.98","337,357,963.39","273,125,481.84","230,528,809.85","411,633,846.01","261,923,935.22"
短期借款,"24,700,000.00","4,990,000.00",,,"5,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","80,957,568.74","80,957,568.74"
交易性金融资产,,,,,,,,,,"1,588,759.69","1,669,920.00","10,383,360.00"
交易性金融负债,,,,,,,,,,,,
应收票据,"2,385,000.00","3,302,536.02","16,038,079.68","881,549.85","1,112,800.00","1,048,800.00","5,137,666.99","3,305,312.00","2,551,206.99","2,002,320.00","11,425,781.44","10,084,077.36"
应付票据,"112,000.00","4,184,960.00","16,564,560.00","7,944,350.00","29,156,747.74","20,006,923.91","37,172,723.21","18,962,192.15","46,535,219.66",,"94,121,078.11",
应收账款,"86,340,113.82","121,027,202.44","172,595,869.41","214,435,558.48","244,976,511.47","256,760,596.40","210,224,030.53","282,337,425.17","398,136,686.09","428,766,848.89","373,713,139.83","422,334,781.88"
应付账款,"49,190,109.59","48,521,225.25","55,762,530.94","73,724,683.37","74,874,239.73","78,809,080.75","58,503,642.30","81,452,764.68","98,538,990.31",,"83,197,766.38",
预付款项,"7,456,858.53","10,511,315.84","19,524,550.71","23,304,099.14","28,053,920.39","35,599,691.91","45,750,276.47","46,360,718.37","44,343,054.48","47,258,814.40","59,859,494.95","52,142,385.52"
预收款项,"8,249,796.53","27,989,596.78","45,583,055.97","53,193,982.37","46,595,028.27","46,208,557.61","20,802,321.54","31,144,319.20","20,392,249.74","18,261,842.55","15,188,977.68","12,941,339.18"
其他应收款,"7,986,471.70","19,530,152.68","25,012,439.99","34,050,483.88","27,647,280.10","39,749,827.63","21,524,485.14","26,375,516.21","23,552,230.73","27,959,678.16","32,229,070.97","41,714,937.50"
