科目,2012-12-31,2013-12-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"94,857,700.60","143,561,811.52",,"116,487,916.85",,"118,973,443.29","137,417,223.07","119,682,664.20","107,918,293.76","96,612,193.93","186,088,495.17","171,027,745.57","208,296,687.08","175,490,741.61","212,787,590.59"
短期借款,"70,208,627.84","60,465,250.00",,"60,548,712.50",,"62,832,147.98","118,302,158.40","54,971,180.00","25,930,750.00","75,871,977.30","219,060,521.96","295,172,811.67","284,652,456.79","330,042,722.88","353,969,635.16"
交易性金融资产,,,,,,,,,,,,,"580,025.00",,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"64,834,799.76","47,897,951.41",,"38,069,775.12",,"30,139,434.96","44,085,226.20","54,862,092.24","42,014,396.17","49,736,276.92","64,712,430.88","68,450,650.30","71,197,642.89","77,182,476.00","112,964,966.15"
应付票据,,,,,,,,,,,"7,350,494.13",,"11,186,866.94","1,275,048.73","18,000,000.00"
应收账款,"118,736,666.30","145,026,052.37",,"150,076,064.27",,"182,985,984.07","204,163,914.03","215,687,485.50","197,949,495.99","214,783,140.86","301,519,264.78","377,787,150.58","299,474,066.62","348,719,241.93","366,271,151.27"
应付账款,"85,453,000.43","113,649,437.42",,"96,416,657.56",,"110,866,628.51","122,376,511.83","113,380,783.25","123,592,330.85","136,330,401.45","194,899,883.02","188,237,656.06","150,735,804.14","225,897,654.20","228,017,852.75"
预付款项,"1,141,550.60","460,004.58",,"799,321.04",,"990,797.03","1,636,188.32","2,531,297.68","4,613,865.90","2,715,423.38","1,469,263.73","2,084,095.51","2,056,289.46",,"8,217.91"
预收款项,"4,009,055.70","6,082,315.83",,"5,629,974.97",,"3,307,484.26","4,009,027.63","2,512,740.94","4,643,148.20","3,741,116.09","6,735,373.96","5,668,464.00","6,444,856.98","2,200,660.99","3,432,736.91"
其他应收款,"6,661,032.08","12,747,592.76",,"17,219,095.14",,"9,954,486.92","12,600,872.13","9,816,777.01","13,153,336.86","11,843,670.04","21,890,592.61","26,808,838.76","24,427,699.83","22,589,240.82","36,928,186.54"
应付职工薪酬,"4,117,012.63","4,988,332.24",,"5,962,231.14",,"4,968,302.42","4,968,890.84","6,430,437.88","5,533,203.52","5,796,903.43","6,061,524.40","6,592,772.65","5,401,197.17","5,378,629.47","5,830,343.51"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"3,233,027.08","6,428,175.25",,"3,645,618.24",,"3,760,910.20","4,458,201.11","3,091,659.85","3,892,052.04","4,931,132.59","7,786,811.85","5,562,265.81","5,882,736.11","7,223,336.40","7,276,804.26"
应收利息,"1,797,314.38","1,042,714.23",,"710,274.18",,"1,113,015.28","749,616.66","1,118,686.76","1,693,612.19","2,145,767.06","1,161,278.07","859,119.56","1,288,366.40","1,507,246.82","2,016,061.02"
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
应付股利,,"4,093,740.00",,"4,288,680.00",,,"6,339,728.95",,,"1,906,209.00",,,,,
存货,"97,267,934.38","85,259,364.15",,"111,120,829.28",,"119,147,157.28","132,368,514.09","131,745,584.41","186,269,007.80","214,023,623.24","325,134,762.82","331,308,638.27","340,958,331.03","389,181,131.62","338,507,115.93"
其他应付款,"3,313,375.51","5,718,783.36",,"4,767,709.37",,"3,970,107.12","3,400,619.24","8,771,497.27","2,319,334.22","5,405,160.01","7,591,019.29","10,720,146.16","4,928,223.95","6,461,949.49","6,220,070.22"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,"742,964.12","82,498.61",,"551,629.45",,"1,136,368.53","820,071.43","106,361,614.37","74,873,655.93","82,732,749.30","1,488,441.15","4,470,363.94","2,608,852.80","6,265,873.87","5,921,936.83"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"386,039,962.22","436,077,989.63","435,034,900.00","435,034,905.33","479,066,600.00","464,440,687.36","533,841,625.93","641,806,202.17","628,485,664.60","674,592,844.73","903,464,529.21","982,796,602.49","950,887,961.11","1,020,935,952.67","1,075,405,226.24"
流动负债合计,"170,334,099.19","201,426,034.10","181,259,600.00","181,259,583.78","216,778,100.00","189,705,580.49","263,855,138.00","189,158,299.19","165,910,818.83","233,982,899.87","449,485,628.61","511,954,116.35","469,232,142.08","578,480,002.16","622,747,442.81"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,
