科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,420,135,080.97","3,794,763,971.60","4,839,083,557.35","951,265,732.85","2,562,237,862.72","4,328,560,060.36","6,497,941,637.12","1,209,525,284.50","3,335,191,443.19","5,468,975,322.45","7,872,033,966.68","1,266,000,958.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"6,229,342.07","7,909,259.28","9,504,916.77","170,523.62","1,782,365.89","6,265,553.30","9,418,061.64","2,010,872.12","3,278,394.47","5,745,121.67","7,356,364.59","1,129,973.52"
支付其他与投资活动有关的现金,"287,400,000.00","601,354,841.16","651,000,000.00","357,000,000.00","1,830,000,000.00","3,311,000,000.00","5,776,200,000.00","773,000,000.00","3,768,300,000.00","5,884,660,000.00","8,414,460,000.00","2,822,000,000.00"
收到其他与经营活动有关的现金,"20,980,147.00","18,173,657.39","47,361,177.88","25,301,548.76","31,475,654.60","52,539,490.18","70,143,481.19","21,071,173.06","65,017,490.06","74,687,333.52","103,267,395.13","9,907,074.26"
投资活动现金流出小计,"538,846,067.44","955,871,532.77","1,002,545,868.41","390,466,754.04","1,960,847,168.53","3,523,862,491.56","6,177,956,126.97","943,689,779.72","4,006,289,868.74","6,234,243,659.45","9,050,529,204.04","2,961,033,521.87"
经营活动现金流入小计,"2,447,344,570.04","3,820,846,888.27","4,895,949,652.00","976,737,805.23","2,595,495,883.21","4,387,365,103.84","6,577,503,179.95","1,232,607,329.68","3,403,487,327.72","5,549,407,777.64","7,982,657,726.40","1,277,038,006.29"
投资活动产生的现金流量净额,"-247,391,198.91","-360,294,857.15","-339,693,841.70","-245,850,295.32","-1,629,055,296.32","-1,696,564,761.16","-2,616,629,535.65","1,389,214,339.12","-75,822,558.23","-270,003,697.68","451,477,410.54","-133,326,315.09"
购买商品、接受劳务支付的现金,"1,021,705,211.21","1,655,583,715.46","2,013,003,566.38","510,996,858.56","1,086,836,298.44","1,887,001,082.63","2,873,550,104.49","830,492,974.68","1,587,406,389.70","2,752,372,311.18","3,892,753,115.04","936,055,962.23"
吸收投资收到的现金,,,,"1,373,303,000.00","1,373,303,000.00","1,533,887,100.00","1,541,487,100.00",,,"500,000.00","500,000.00",
支付给职工以及为职工支付的现金,"462,773,933.67","870,810,750.74","1,099,460,317.79","322,633,847.02","650,006,698.91","1,022,096,769.54","1,412,369,207.87","420,408,454.97","807,200,445.42","1,259,063,826.75","1,719,669,929.86","442,027,098.73"
取得借款收到的现金,,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",
支付的各项税费,"181,069,012.96","290,320,559.47","399,099,150.96","99,563,427.62","215,138,382.58","346,663,318.67","489,071,182.63","128,803,998.78","249,782,330.26","415,879,019.40","511,779,380.73","174,668,997.55"
收到其他与筹资活动有关的现金,,,,,,,"3,300,000.00","4,559,612.35","4,215,859.77","3,088,553.99","15,317,859.11",
支付其他与经营活动有关的现金,"365,346,195.44","548,941,753.41","666,521,300.56","190,968,166.50","416,324,167.75","666,357,720.49","923,579,908.76","284,120,732.07","641,010,599.71","960,730,050.08","1,208,148,177.84","325,125,081.35"
筹资活动现金流入小计,,,,"1,373,303,000.00","1,373,303,000.00","1,533,887,100.00","1,544,787,100.00","154,559,612.35","154,215,859.77","153,588,553.99","165,817,859.11",
经营活动现金流出小计,"2,030,894,353.28","3,365,656,779.07","4,178,084,335.69","1,124,162,299.70","2,368,305,547.68","3,922,118,891.33","5,698,570,403.75","1,663,826,160.50","3,285,399,765.09","5,388,045,207.41","7,332,350,603.47","1,877,877,139.86"
偿还债务支付的现金,,,,,,,,"130,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",
经营活动产生的现金流量净额,"416,450,216.76","455,190,109.20","717,865,316.31","-147,424,494.47","227,190,335.53","465,246,212.51","878,932,776.20","-431,218,830.82","118,087,562.63","161,362,570.23","650,307,122.93","-600,839,133.57"
分配股利、利润或偿还利息支付的现金,,"4,500,009.54","31,999,860.00",,,,,"475,479.16","110,897,379.16","110,897,379.16","110,897,379.16",
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"12,283,488.86",,,,"243,787.42","2,162,727.89"
取得投资收益收到的现金,"2,302,838.53","2,656,436.77","2,509,616.18","607,380.81","1,394,078.03","15,564,742.16","30,777,189.86","36,848,371.37","54,391,719.89","72,976,171.58","102,096,250.52","12,304,449.28"
筹资活动现金流出小计,,"4,500,009.54","31,999,860.00",,,,"12,283,488.86","130,475,479.16","260,897,379.16","260,897,379.16","261,141,166.58","2,162,727.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,752,030.00","1,320,238.85","276,684.12","9,077.91","397,794.18","732,988.24","549,401.46","55,747.47","75,590.62","303,790.19","510,364.06","82,757.50"
筹资活动产生的现金流量净额,,"-4,500,009.54","-31,999,860.00","1,373,303,000.00","1,373,303,000.00","1,533,887,100.00","1,532,503,611.14","24,084,133.19","-106,681,519.39","-107,308,825.17","-95,323,307.47","-2,162,727.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,"-614,773.15","-718,540.09","847,915.57","1,913,261.34","1,544,872.74","-952,262.45"
收到其他与投资活动有关的现金,"287,400,000.00","591,600,000.00","660,065,726.41","144,000,000.00","330,000,000.00","1,811,000,000.00","3,530,000,000.00","2,296,000,000.00","3,876,000,000.00","5,890,960,000.00","9,399,400,000.00","2,815,320,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"291,454,868.53","595,576,675.62","662,852,026.71","144,616,458.72","331,791,872.21","1,827,297,730.40","3,561,326,591.32","2,332,904,118.84","3,930,467,310.51","5,964,239,961.77","9,502,006,614.58","2,827,707,206.78"
五、现金及现金等价物净增加额,"169,059,017.85","90,395,242.50","346,171,614.61","980,028,210.21","-28,561,960.79","302,568,551.35","-205,807,921.46","981,361,101.40","-63,568,599.42","-214,036,691.28","1,008,006,098.74","-737,280,439.00"
购建固定资产、无形资产和其他长期资产支付的现金,"251,446,067.44","354,516,691.61","351,545,868.41","33,466,754.04","130,847,168.53","212,862,491.56","401,756,126.97","170,689,779.72","237,989,868.74","349,583,659.45","635,469,204.04","139,033,521.87"
期初现金及现金等价物余额,"240,589,939.20","409,648,957.05","500,044,199.55","846,215,814.16","846,215,814.16","846,215,814.16","846,215,814.16","640,407,892.70","640,407,892.70","640,407,892.70","640,407,892.70","1,648,413,991.44"
投资支付的现金,,,,,,,,,,,"600,000.00",
期末现金及现金等价物余额,"409,648,957.05","500,044,199.55","846,215,814.16","1,826,244,024.37","817,653,853.37","1,148,784,365.51","640,407,892.70","1,621,768,994.10","576,839,293.28","426,371,201.42","1,648,413,991.44","911,133,552.44"
