科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"698,510,890.94","655,384,017.01","780,694,115.02","196,724,600.00","404,521,584.18","540,759,242.72","783,370,100.56","260,839,708.01","522,785,135.74","787,108,828.58","1,160,642,411.97","292,869,410.83","584,842,102.78","801,436,918.56"
二、营业利润,"83,544,514.03","59,000,603.57","83,885,990.36","20,655,200.00","38,801,573.28","42,159,757.17","64,058,156.40","31,150,315.27","63,320,469.08","86,461,609.90","137,565,004.27","27,297,019.17","66,365,312.53","74,537,091.95"
减:营业成本,"538,471,396.68","526,880,386.99","594,284,587.79",,"314,106,382.34","428,875,449.49","621,318,812.84","199,399,452.41","396,375,583.54","609,644,835.73","877,717,916.97","218,117,724.34","424,830,175.19","598,553,539.82"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"2,889,440.70","2,459,511.21","3,967,416.08",,"1,854,148.19","2,424,935.18","3,903,263.53","1,066,841.10","2,291,007.97","2,966,780.36","8,600,927.82","1,134,332.60","5,476,493.57","6,207,735.99"
营业外收入,"4,889,641.04","7,267,479.99","14,338,817.73",,"5,784,972.75","11,794,387.13","23,277,229.77","2,751,518.07","5,790,634.99","8,532,153.06","12,757,879.19","5,721,518.07","9,786,890.66","14,710,745.31"
销售费用,"13,907,200.22","6,979,786.90","17,180,641.24",,"9,444,832.08","13,823,840.12","21,738,505.89","7,060,412.94","16,222,560.65","26,265,516.53","40,162,547.08","17,773,060.15","31,777,024.60","40,832,393.88"
减:营业外支出,"107,093.87","699,715.62","211,417.10",,"130,268.40","194,268.40","1,220,504.90","529,034.84","1,554,295.74","1,555,187.17","3,637,848.94","120,427.03","160,711.04","574,838.54"
管理费用,"38,334,819.67","39,164,110.90","46,742,250.86",,"27,454,485.79","41,123,264.95","56,476,504.48","14,130,338.04","31,125,544.79","45,549,033.81","72,297,778.94","26,040,765.51","51,421,191.81","77,316,592.30"
其中:非流动资产处置净损失,,"692,247.13","208,896.81",,"12,413.04","12,413.04","1,023,812.88","528,239.93","1,538,471.47","1,538,471.47","3,592,024.67","20,892.92","23,716.66","23,716.66"
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"19,143,123.86","18,881,581.51","21,696,358.24",,"11,934,852.20","13,268,448.82","14,456,975.03","1,899,351.96","4,000,280.99","6,784,275.48","10,566,901.35","3,031,879.71","5,721,330.26","9,107,976.91"
三、利润总额,"88,327,061.20","65,568,367.94","98,013,390.99","23,515,700.00","44,456,277.63","53,759,875.90","86,114,881.27","33,372,798.50","67,556,808.33","93,438,575.79","146,685,034.52","32,898,110.21","75,991,492.15","88,672,998.72"
资产减值损失,"72,172.07","1,363,354.28","12,433,623.44",,"928,705.98","-962,947.75","1,347,311.22","6,691,238.10","10,415,361.15","11,467,130.80","16,626,659.45","263,780.23","416,084.34","-3,580,254.64"
减:所得税,"13,120,895.13","10,326,719.30","14,353,919.18",,"7,698,175.66","8,957,124.04","13,004,684.55","6,126,175.61","10,437,385.83","15,439,166.09","20,427,601.31","5,485,352.09","11,626,995.35","13,383,057.01"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,"-2,148,223.71","-654,681.65","-503,247.01",,"3,395.68","-46,494.74","-70,571.17","558,241.81","965,672.43","2,030,354.03","2,895,323.91","789,150.88","1,165,509.52","1,538,157.65"
四、净利润,"75,206,166.07","55,241,648.64","83,659,471.81","19,973,000.00","36,758,101.97","44,802,751.86","73,110,196.72","27,246,622.89","57,119,422.50","77,999,409.70","126,257,433.21","27,412,758.12","64,364,496.80","75,289,941.71"
其中:对联营企业和合营企业的投资权益,"-2,267,379.88","-731,667.95","-503,247.01",,"3,395.68","-46,494.74","-47,226.22","344,871.94","591,996.91","904,819.79","1,769,757.99","596,493.34","972,851.98","1,345,500.11"
归属于母公司所有者的净利润,"75,788,858.07","53,932,793.65","81,428,310.72","19,838,200.00","37,260,534.36","45,653,331.06","74,043,207.11","27,929,786.76","59,086,746.53","80,371,330.92","128,632,577.00","27,400,390.09","64,147,007.49","75,046,855.05"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,"-582,692.00","1,308,854.99","2,231,161.09",,"-502,432.39","-850,579.20","-933,010.39","-683,163.87","-1,967,324.03","-2,371,921.22","-2,375,143.79","12,368.03","217,489.31","243,086.66"
