科目,2013年度,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"194,537,815.00","227,789,977.78","241,462,690.77","331,608,555.41","94,040,983.16","206,860,555.64","316,237,129.66","430,806,893.96","120,378,353.97","259,351,304.17"
二、营业利润,"73,666,251.55","86,057,134.70","91,479,143.82","131,025,085.97","36,216,280.31","82,691,433.16","129,134,067.59","165,631,652.26","39,980,365.32","100,061,172.34"
减:营业成本,"94,711,290.88","110,514,172.13","113,240,698.81","149,933,983.16","42,057,079.97","90,701,101.29","137,598,343.71","190,072,798.43","62,336,856.22","131,997,138.24"
加:补贴收入,,,,,,,,,,
营业税金及附加,"2,245,858.05","3,388,878.79","2,978,451.08","5,097,828.15","1,085,880.12","2,749,309.35","4,802,799.51","7,533,125.33","1,405,982.48","3,007,148.58"
营业外收入,"4,232,515.03","4,280,213.60","2,819,868.21","4,920,281.87","472,750.00","2,928,284.92","3,237,916.47","3,159,333.98",,"11,292.65"
销售费用,"6,881,192.54","6,884,737.99","9,054,926.12","15,968,979.29","4,039,592.11","9,929,218.70","15,551,481.64","24,357,858.32","4,103,676.92","11,298,616.35"
减:营业外支出,"639,283.62","180,683.97","232,759.21","275,898.03","148,361.52","184,245.26","360,103.31","685,680.11","23,882.41","64,744.86"
管理费用,"18,440,151.09","21,538,502.26","24,334,642.72","32,986,035.23","9,704,229.67","19,238,460.16","31,122,535.74","43,037,257.02","11,259,187.57","26,512,180.98"
其中:非流动资产处置净损失,"524,751.70",,,"46,292.51",,,,,,
堪探费用,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,
财务费用,"-2,316,947.68","-1,290,127.86","-1,406,562.81","-7,588,435.51","-112,832.99","-746,052.82","-321,560.56","-129,701.31","832,783.01","-7,139,138.96"
三、利润总额,"77,259,482.96","90,156,664.33","94,066,252.82","135,669,469.81","36,540,668.79","85,435,472.82","132,011,880.75","168,105,306.13","39,956,482.91","100,007,720.13"
资产减值损失,"910,018.57","696,679.77","1,781,391.03","4,185,079.12","1,050,753.97","2,297,085.80","2,530,315.36","4,529,368.42","2,552,474.22","3,508,001.86"
减:所得税,"11,022,270.51","12,932,290.77","13,350,456.83","19,243,038.43","5,458,662.48","12,760,969.05","19,400,351.49","23,956,232.65","6,667,958.27","16,437,395.31"
加:公允价值变动净收益,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,
投资收益,,,,,,,,"630,136.99","1,281,000.00","8,354,950.00"
四、净利润,"66,237,212.45","77,224,373.56","80,715,795.99","116,426,431.38","31,082,006.31","72,674,503.77","112,611,529.26","144,149,073.48","33,288,524.64","83,570,324.82"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,
归属于母公司所有者的净利润,"66,237,212.45","77,224,373.56","80,715,795.99","116,426,431.38","31,082,006.31","72,674,503.77","112,611,529.26","144,149,073.48","33,288,524.64","83,570,324.82"
影响营业利润的其他科目,,,,,,,,,,
少数股东损益,,,,,,,,,,
