科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,010,887,108.83","1,039,943,010.76","1,129,630,156.49","260,113,302.83","456,606,686.55","765,223,817.97"
取得子公司及其他营业单位支付的现金净额,,,,,,
收到的税费返还,,,,,,
支付其他与投资活动有关的现金,,,,,,
收到其他与经营活动有关的现金,"11,208,556.33","11,149,544.77","15,543,978.06","1,687,882.25","17,448,490.00","21,455,304.79"
投资活动现金流出小计,"35,869,919.22","6,717,745.08","524,156,724.72","161,310,973.06","436,794,162.85","701,412,272.15"
经营活动现金流入小计,"1,022,095,665.16","1,051,092,555.53","1,145,174,134.55","261,801,185.08","474,055,176.55","786,679,122.76"
投资活动产生的现金流量净额,"-35,590,307.58","4,939,774.92","-152,379,556.68","-60,850,288.13","-336,333,477.92","-409,026,655.71"
购买商品、接受劳务支付的现金,"590,234,749.89","501,462,533.76","480,154,324.04","128,966,689.38","247,330,622.09","329,917,052.23"
吸收投资收到的现金,,,,"760,377,949.20","760,377,949.20","760,377,949.20"
支付给职工以及为职工支付的现金,"78,285,769.94","90,682,379.99","121,269,550.57","35,531,983.77","69,537,075.50","102,250,856.64"
取得借款收到的现金,,"5,000,000.00","20,000,000.00",,,
支付的各项税费,"80,650,142.68","127,180,342.66","115,941,073.12","39,423,544.44","76,979,872.87","102,797,532.91"
收到其他与筹资活动有关的现金,"13,350,000.00",,,,,
支付其他与经营活动有关的现金,"194,658,829.68","223,552,031.09","243,685,544.40","38,702,294.59","101,396,713.30","175,321,173.60"
筹资活动现金流入小计,"13,350,000.00","5,000,000.00","20,000,000.00","760,377,949.20","760,377,949.20","760,377,949.20"
经营活动现金流出小计,"943,829,492.19","942,877,287.50","961,050,492.13","242,624,512.18","495,244,283.76","710,286,615.38"
偿还债务支付的现金,"32,000,000.00","5,000,000.00","20,000,000.00",,,
经营活动产生的现金流量净额,"78,266,172.97","108,215,268.03","184,123,642.42","19,176,672.90","-21,189,107.21","76,392,507.38"
分配股利、利润或偿还利息支付的现金,"700,800.00","18,690,474.43","7,414,124.30",,,"29,822,400.74"
收回投资收到的现金,,,"370,000,000.00","100,000,000.00","100,000,000.00","290,000,000.00"
支付其他与筹资活动有关的现金,,,,"626,268.85","7,024,794.23","10,494,037.74"
取得投资收益收到的现金,,,"1,777,168.04","460,684.93","460,684.93","2,385,616.44"
筹资活动现金流出小计,"32,700,800.00","23,690,474.43","27,414,124.30","626,268.85","7,024,794.23","40,316,438.48"
处置固定资产、无形资产和其他长期资产收回的现金净额,"279,611.64",,,,,
筹资活动产生的现金流量净额,"-19,350,800.00","-18,690,474.43","-7,414,124.30","759,751,680.35","753,353,154.97","720,061,510.72"
处置子公司及其他营业单位收到的现金净额,,,,,,
四、汇率变动对现金的影响,209.72,"3,338.80","2,716.06",,"-1,109.69","-2,666.27"
收到其他与投资活动有关的现金,,"11,657,520.00",,,,
四(2)、其他原因对现金的影响,,,,,,
投资活动现金流入小计,"279,611.64","11,657,520.00","371,777,168.04","100,460,684.93","100,460,684.93","292,385,616.44"
五、现金及现金等价物净增加额,"23,325,275.11","94,467,907.32","24,332,677.50","718,078,065.12","395,829,460.15","387,424,696.12"
购建固定资产、无形资产和其他长期资产支付的现金,"35,869,919.22","6,717,745.08","14,156,724.72","61,310,973.06","16,794,162.85","21,412,272.15"
期初现金及现金等价物余额,"339,508,419.97","362,833,695.08","457,301,602.40","481,634,279.90","481,634,279.90","481,634,279.90"
投资支付的现金,,,"510,000,000.00","100,000,000.00","420,000,000.00","680,000,000.00"
期末现金及现金等价物余额,"362,833,695.08","457,301,602.40","481,634,279.90","1,199,712,345.02","877,463,740.05","869,058,976.02"
