科目,2007年度
销售商品、提供劳务收到的现金,"425,209,119.97"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"2,421,602.83"
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"15,383,102.22"
投资活动现金流出小计,"66,517,396.68"
经营活动现金流入小计,"443,013,825.02"
投资活动产生的现金流量净额,"-66,517,396.68"
购买商品、接受劳务支付的现金,"252,517,013.29"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"32,703,145.16"
取得借款收到的现金,"230,704,460.00"
支付的各项税费,"54,855,963.83"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"15,748,789.13"
筹资活动现金流入小计,"230,704,460.00"
经营活动现金流出小计,"355,824,911.41"
偿还债务支付的现金,"174,654,171.00"
经营活动产生的现金流量净额,"87,188,913.61"
分配股利、利润或偿还利息支付的现金,"34,091,147.28"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,
筹资活动现金流出小计,"208,745,318.28"
处置固定资产、无形资产和其他长期资产收回的现金净额,
筹资活动产生的现金流量净额,"21,959,141.72"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,"-1,050,013.23"
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,
五、现金及现金等价物净增加额,"41,580,645.42"
购建固定资产、无形资产和其他长期资产支付的现金,"66,517,396.68"
期初现金及现金等价物余额,"48,510,147.51"
投资支付的现金,
期末现金及现金等价物余额,"90,090,792.93"
