科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"674,285,685.00","1,132,970,542.01","1,455,307,372.73","341,522,283.55","746,476,633.67","1,194,697,143.92","1,451,651,681.39","390,314,841.17","799,507,577.38","1,345,426,424.72","2,000,342,993.65","484,265,183.50"
二、营业利润,"85,367,533.71","181,302,205.87","271,052,453.39","48,951,132.20","110,274,519.14","156,251,831.29","200,496,882.59","25,467,303.43","23,071,494.58","45,145,305.97","99,634,795.30","22,496,954.33"
减:营业成本,"495,142,842.91","817,600,584.34","1,011,589,165.97","249,172,146.75","542,494,987.34","891,781,634.52","1,108,632,702.39","324,277,048.90","674,938,341.58","1,119,976,868.80","1,596,686,803.01","392,383,021.44"
加:补贴收入,,,,,,,,,,,,
营业税金及附加,"6,990,661.75","8,070,394.20","11,588,277.48","1,380,475.41","3,329,881.53","5,967,245.86","8,353,077.65","2,615,999.01","5,450,710.72","8,283,316.91","12,887,916.38","7,069,934.76"
营业外收入,"1,506,457.68","3,274,033.62","7,348,015.85","1,229,687.53","1,456,780.76","50,852,693.80","2,433,962.08","1,699.23","6,487.23","24,599.18","244,817.72","780,513.38"
销售费用,"8,776,949.73","13,362,490.84","21,632,617.75","3,388,924.49","12,682,626.85","19,511,113.16","37,174,537.76","7,848,454.68","20,849,052.54","33,079,798.90","44,798,477.53","9,801,874.39"
减:营业外支出,"968,503.77","632,225.75","3,729,602.57","766,468.88","1,221,014.63","1,313,967.76","1,511,780.76","11,638.53","31,607.81","184,671.98","2,431,564.93","32,622.70"
管理费用,"64,876,812.59","88,265,101.80","113,237,599.31","30,131,277.75","65,575,407.65","102,020,778.75","138,264,727.58","30,796,992.98","68,774,405.24","65,561,730.09","86,180,158.33","22,425,372.10"
其中:非流动资产处置净损失,"890,845.64","540,404.31","3,443,846.04","395,864.28","521,093.01","582,481.50",,,,,,
堪探费用,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,
财务费用,"8,962,930.59","13,846,992.33","22,684,438.03","6,580,196.18","5,132,259.05","7,667,937.14","12,219,464.88","4,506,655.59","11,544,398.87","18,294,806.12","27,873,193.66","10,819,598.56"
三、利润总额,"85,905,487.62","183,944,013.74","274,670,866.67","49,414,350.85","110,510,285.27","205,790,557.33","201,419,063.91","25,457,364.13","23,046,374.00","44,985,233.17","97,448,048.09","23,244,845.01"
资产减值损失,"4,167,953.72","10,522,772.63","3,522,820.80","1,918,130.77","6,986,952.11","14,455,595.50","12,172,144.97","1,432,614.67","7,765,874.48","18,492,080.11","48,466,885.94","2,324,127.60"
减:所得税,"13,381,937.48","29,458,639.43","42,053,965.72","7,498,396.76","15,943,308.20","34,772,010.42","32,156,799.13","3,214,786.53","1,110,759.91","2,452,608.12","17,019,200.83","1,388,234.61"
加:公允价值变动净收益,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,
投资收益,,,,,,"2,958,992.30","7,162,665.84","2,752,255.08","4,852,690.49","6,597,050.00","7,977,282.96","692,111.34"
四、净利润,"72,523,550.14","154,485,374.31","232,616,900.95","41,915,954.09","94,566,977.07","171,018,546.91","169,262,264.78","22,242,577.60","21,935,614.09","42,532,625.05","80,428,847.26","21,856,610.40"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,
归属于母公司所有者的净利润,"72,523,550.14","154,485,374.31","232,667,730.86","41,930,981.13","94,668,866.95","167,857,830.75","166,015,709.85","22,282,273.90","22,343,946.31","43,785,874.14","82,287,223.69","22,648,321.36"
影响营业利润的其他科目,,,,,,,,,,,,
少数股东损益,,,"-50,829.91","-15,027.04","-101,889.88","3,160,716.16","3,246,554.93","-39,696.30","-408,332.22","-1,253,249.09","-1,858,376.43","-791,710.96"
