科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"279,765,425.20","288,784,547.85","370,678,166.33","87,351,941.83","178,400,641.90","265,263,627.32","370,732,451.33","88,359,761.47","186,627,750.28","281,050,028.11"
二、营业利润,"46,385,658.15","32,042,079.60","44,913,879.12","10,378,311.00","20,279,376.62","26,481,439.94","39,758,020.47","10,311,980.29","23,380,238.84","33,325,880.58"
减:营业成本,"183,333,911.30","184,054,342.17","248,094,711.43","59,330,172.63","123,205,152.10","185,671,054.65","259,544,025.13","60,408,711.33","126,186,914.91","192,242,200.63"
加:补贴收入,,,,,,,,,,
营业税金及附加,"3,011,464.45","2,154,575.25","7,581,622.41","1,656,376.18","2,347,922.57","2,600,199.68","3,441,312.49","449,208.54","787,644.60","1,752,324.26"
营业外收入,"3,495,304.33","2,293,393.62","4,213,925.17","1,000.00",,"90,387.78","964,104.81",,"4,088,300.00","7,185,147.34"
销售费用,"11,204,385.18","11,360,597.31","16,297,546.74","2,606,695.38","5,963,049.84","8,689,831.39","11,025,169.10","2,696,611.52","6,794,013.44","10,679,913.17"
减:营业外支出,"165,961.79","67,271.52","198,237.49","13,953.28","24,258.29","24,415.54","40,351.03","10,000.00","505,524.93","897,615.09"
管理费用,"31,034,947.01","53,018,149.29","38,435,635.36","9,681,660.67","19,411,317.05","31,040,313.14","43,653,407.48","11,736,482.50","24,099,735.18","35,833,683.70"
其中:非流动资产处置净损失,"127,465.19","28,715.50","154,152.39",,280.00,280.00,"16,176.23",,"368,147.07","748,737.23"
堪探费用,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,
财务费用,"3,650,887.69","6,139,901.49","15,757,172.85","2,676,369.37","5,596,916.41","8,163,082.00","9,761,993.48","2,171,959.21","5,004,148.71","7,719,979.67"
三、利润总额,"49,715,000.69","34,268,201.70","48,929,566.80","10,365,357.72","20,255,118.33","26,547,412.18","40,681,774.25","10,301,980.29","26,963,013.91","39,613,412.83"
资产减值损失,"1,819,895.83","14,902.74","-308,933.09","1,022,356.60","1,827,767.58","2,848,566.79","3,779,383.45","584,808.08","375,054.60","-503,953.90"
减:所得税,"6,922,616.04","2,114,078.58","6,681,251.42","1,564,963.14","2,522,810.44","3,419,798.31","5,009,141.74","1,188,566.75","4,488,695.09","6,410,385.87"
加:公允价值变动净收益,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,
投资收益,"675,724.41",,"93,468.49",,"230,860.27","230,860.27","230,860.27",,,
四、净利润,"42,792,384.65","32,154,123.12","42,248,315.38","8,800,394.58","17,732,307.89","23,127,613.87","35,672,632.51","9,113,413.54","22,474,318.82","33,203,026.96"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,
归属于母公司所有者的净利润,"42,792,384.65","32,154,123.12","42,248,315.38","8,800,394.58","17,732,307.89","23,127,613.87","35,672,632.51","9,113,413.54","22,474,318.82","33,203,026.96"
影响营业利润的其他科目,,,,,,,,,,
少数股东损益,,,,,,,,,,
