科目,2007年1-6月,2007年1-9月,2007年度,2008年1-6月,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2015年度
销售商品、提供劳务收到的现金,"114,052,492.76","169,146,799.52","218,341,923.77","71,631,769.80","24,916,590.90","2,701,608.25","922,960.43","18,706.50","12,325.00","1,640.00","125,722,390.72"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"44,115.58","44,129.48","44,129.48",,10.55,,0.56,,1.74,,
支付其他与投资活动有关的现金,,,"255,000.00",,,"182,819.84",,,,,"222,377.86"
收到其他与经营活动有关的现金,"20,819,272.00","25,634,429.65","34,116,455.14","14,275,586.94","17,926,434.94","13,396,287.57","21,465,435.52","26,197,334.08","20,997,706.97","18,960,720.68","9,310,370.59"
投资活动现金流出小计,"440,044.95","629,138.95","637,138.95","2,280.00",,"182,819.84","261,405.00","22,500.00",,"3,280.00","355,492.86"
经营活动现金流入小计,"134,915,880.34","194,825,358.65","252,502,508.39","85,907,356.74","42,843,036.39","16,097,895.82","22,388,396.51","26,216,040.58","21,010,033.71","18,962,360.68","135,032,761.31"
投资活动产生的现金流量净额,"-184,044.95","-284,561.13","-92,561.13","7,720.00","10,000.00","-182,819.84","-261,405.00","147,500.00","62,708.00","-3,280.00","5,335,882.48"
购买商品、接受劳务支付的现金,"87,290,003.61","127,155,868.50","161,636,880.92","49,337,728.31","20,776,775.19","5,285,357.69","794,077.54","1,428,544.14","401,410.00",240.00,"98,428,396.01"
吸收投资收到的现金,,,,,,,,,,,"36,920,000.00"
支付给职工以及为职工支付的现金,"19,631,491.69","28,898,238.04","39,241,079.00","15,369,229.74","9,657,329.52","5,341,953.92","3,477,778.56","3,864,383.54","2,812,417.51","2,719,024.63","10,568,854.32"
取得借款收到的现金,"402,000.00","842,000.00","1,431,000.00","134,000.00","151,000.00","22,800.00",,"28,500.00",,,
支付的各项税费,"6,019,078.23","7,682,805.21","10,477,409.56","3,701,395.01","911,283.22","175,932.00","167,003.00","2,949.65","11,287.00","114,917.60","5,918,136.04"
收到其他与筹资活动有关的现金,448.01,"13,112.51","13,324.33",312.52,,,,,"48,100.00","10,600.00",
支付其他与经营活动有关的现金,"19,255,913.35","27,429,524.17","37,160,786.81","17,998,471.19","10,848,631.68","5,355,020.74","17,607,655.72","21,440,676.22","17,568,579.89","16,039,038.68","5,442,496.56"
筹资活动现金流入小计,"402,448.01","855,112.51","1,444,324.33","134,312.52","151,000.00","22,800.00",,"28,500.00","48,100.00","10,600.00","36,920,000.00"
经营活动现金流出小计,"132,196,486.88","191,166,435.92","248,516,156.29","86,406,824.25","42,194,019.61","16,158,264.35","22,046,514.82","26,736,553.55","20,793,694.40","18,873,220.91","120,357,882.93"
偿还债务支付的现金,"2,907,653.46","3,195,907.77","3,422,407.77","446,200.00","436,200.00","58,030.40","26,300.00","28,500.00",,,
经营活动产生的现金流量净额,"2,719,393.46","3,658,922.73","3,986,352.10","-499,467.51","649,016.78","-60,368.53","341,881.69","-520,512.97","216,339.31","89,139.77","14,674,878.38"
分配股利、利润或偿还利息支付的现金,"101,460.90","130,971.14","168,246.97","89,479.68",,,,,,,
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,"27,523.89","55,907.15","96,252.10","233,837.09","2,022.60",,,,"2,000.00","13,700.00",
取得投资收益收到的现金,,,,,,,,,,,"41,375.34"
筹资活动现金流出小计,"3,036,638.25","3,382,786.06","3,686,906.84","769,516.77","438,222.60","58,030.40","26,300.00","28,500.00","2,000.00","13,700.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"256,000.00","344,577.82","544,577.82","10,000.00","10,000.00",,,"170,000.00","62,708.00",,
筹资活动产生的现金流量净额,"-2,634,190.24","-2,527,673.55","-2,242,582.51","-635,204.25","-287,222.60","-35,230.40","-26,300.00",,"46,100.00","-3,100.00","36,920,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,"5,650,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"256,000.00","344,577.82","544,577.82","10,000.00","10,000.00",,,"170,000.00","62,708.00",,"5,691,375.34"
五、现金及现金等价物净增加额,"-98,841.73","846,688.05","1,651,208.46","-1,126,951.76","371,794.18","-278,418.77","54,176.69","-373,012.97","325,147.31","82,759.77","57,153,138.72"
购建固定资产、无形资产和其他长期资产支付的现金,"265,044.95","374,138.95","382,138.95","2,280.00",,,"261,405.00","22,500.00",,,"133,115.00"
期初现金及现金等价物余额,,,"4,432,269.12","6,083,477.58",,,"1,303,526.64","1,357,703.33",,,"18,224,941.38"
投资支付的现金,"175,000.00","255,000.00",,,,,,,,"3,280.00",
期末现金及现金等价物余额,,,"6,083,477.58","4,956,525.82",,,"1,357,703.33","984,690.36",,,"75,378,080.10"
