科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"975,385,147.05","1,087,736,866.74","1,452,521,931.45","980,964,516.79","1,585,663,247.58","494,954,535.52","815,409,475.96","1,361,760,144.24","1,999,020,722.00","457,164,888.98","853,463,652.02"
取得子公司及其他营业单位支付的现金净额,,"9,954,220.97","7,000,000.00",,"21,000,000.00",,,,,,
收到的税费返还,"42,641,901.88","47,563,943.74","59,581,567.45","39,178,150.21","65,123,934.55","31,000,548.01","58,703,805.27","72,504,750.96","92,184,969.72","23,106,619.10","47,686,500.91"
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,322,331.89","24,811,828.36","12,496,033.06","15,014,221.31","21,412,929.58","3,717,765.08","12,939,224.04","22,595,086.22","19,132,707.79","30,589,119.84","48,585,530.69"
投资活动现金流出小计,"30,554,394.84","47,704,004.77","33,667,301.59","36,911,687.57","164,047,981.45","656,054,142.85","1,002,943,726.04","1,477,423,964.65","297,078,206.52","114,009,315.00","73,473,489.79"
经营活动现金流入小计,"1,027,349,380.82","1,160,112,638.84","1,524,599,531.96","1,035,156,888.31","1,672,200,111.71","529,672,848.61","887,052,505.27","1,456,859,981.42","2,110,338,399.51","510,860,627.92","949,735,683.62"
投资活动产生的现金流量净额,"-30,196,254.24","-44,632,754.93","-33,498,700.97","-36,857,960.13","-163,991,250.97","-299,185,182.78","-239,618,173.24","-288,607,327.04","-288,233,136.48","-112,843,026.61","8,022,201.32"
购买商品、接受劳务支付的现金,"362,746,907.66","440,152,956.61","475,377,396.15","408,067,036.60","583,337,860.53","224,291,360.31","446,585,019.67","703,911,416.18","887,592,123.64","281,002,799.27","493,430,043.20"
吸收投资收到的现金,,,,"820,000.00","353,000,000.00",,,"98,000.00","98,000.00","126,528,030.00","126,408,330.00"
支付给职工以及为职工支付的现金,"337,174,675.12","437,408,346.75","504,143,260.07","453,236,681.42","561,472,243.86","136,253,300.43","345,845,216.01","505,080,517.42","665,933,144.74","156,411,769.35","400,617,133.64"
取得借款收到的现金,"121,000,000.00","184,300,000.00","150,000,000.00","85,432,925.84","120,611,876.28",,,,,,
支付的各项税费,"103,449,335.61","104,302,558.81","156,033,802.62","126,189,390.42","179,796,748.38","71,504,862.64","124,367,738.27","143,142,807.63","179,932,125.26","78,654,198.90","120,529,243.34"
收到其他与筹资活动有关的现金,"4,000,000.00",,"2,111,274.00",,,,,,,,
支付其他与经营活动有关的现金,"143,374,191.84","178,853,045.74","190,156,003.75","166,937,610.26","214,687,156.87","39,722,325.71","94,245,358.53","178,475,603.21","295,142,242.25","66,522,585.91","123,822,207.45"
筹资活动现金流入小计,"125,000,000.00","184,300,000.00","152,111,274.00","86,252,925.84","473,611,876.28",,,"98,000.00","98,000.00","126,528,030.00","126,408,330.00"
经营活动现金流出小计,"946,745,110.23","1,160,716,907.91","1,325,710,462.59","1,154,430,718.70","1,539,294,009.64","471,771,849.09","1,011,043,332.48","1,530,610,344.44","2,028,599,635.89","582,591,353.43","1,138,398,627.63"
偿还债务支付的现金,"115,000,000.00","145,000,000.00","214,300,000.00","80,000,000.00","165,611,876.28",,,,,,
经营活动产生的现金流量净额,"80,604,270.59","-604,269.07","198,889,069.37","-119,273,830.39","132,906,102.07","57,900,999.52","-123,990,827.21","-73,750,363.02","81,738,763.62","-71,730,725.51","-188,662,944.01"
分配股利、利润或偿还利息支付的现金,"3,234,053.39","16,115,024.18","6,373,508.24","19,969,989.11","20,732,183.82","-6,557.89","17,999,999.61","17,999,999.61","18,000,000.00",,"27,500,000.00"
收回投资收到的现金,,,,,,"356,050,000.00","760,550,000.00","1,182,350,000.00",,,"74,000,000.00"
支付其他与筹资活动有关的现金,"1,137,735.85","3,339,165.36","447,648.75","5,694,530.39","4,992,192.00","4,992,192.00",,,,,
