科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"368,323,968.09","536,057,540.34","699,571,627.90","202,012,600.20","439,113,848.17","618,707,778.80","859,407,846.93","235,573,587.97","550,001,160.65","812,122,191.73","1,171,636,150.20","481,598,098.28","1,099,194,465.82","1,632,792,078.30"
二、营业利润,"65,413,903.72","108,640,909.47","153,229,997.49","49,260,527.50","103,733,933.66","149,432,912.45","197,861,062.81","59,692,295.10","130,504,433.47","188,195,125.97","264,069,291.75","93,968,573.75","244,907,978.04","369,160,867.61"
减:营业成本,"240,211,393.44","344,199,768.95","456,655,356.82","129,646,009.75","285,062,211.98","402,316,235.68","560,758,918.04","148,916,265.31","359,399,651.84","536,413,479.26","774,114,707.84","325,361,999.87","723,180,825.50","1,070,936,547.57"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"2,180,234.25","2,518,889.56","5,078,789.61","1,557,273.62","3,470,413.35","4,391,760.02","5,899,934.41","1,360,093.22","4,033,289.80","5,565,305.49","9,357,738.03","4,430,427.05","11,199,862.86","15,120,238.32"
营业外收入,"2,055,257.79","2,136,991.49","7,777,521.06","282,605.05","979,366.05","1,636,088.05","4,629,266.31","2,189,695.49","2,429,608.74","3,270,538.41","4,440,709.40","7,270,335.29","9,006,773.96","12,486,735.75"
销售费用,"13,391,756.65","17,064,119.23","22,759,659.16","7,252,745.31","12,611,134.70","19,906,546.19","23,409,430.53","6,688,035.13","14,778,438.09","20,471,207.38","29,021,447.76","10,826,651.71","21,851,143.75","29,051,500.85"
减:营业外支出,"210,116.50","360,876.76","220,410.15",,"86,527.56","118,450.14","140,092.44",654.66,"1,493,555.04","1,532,273.02","2,315,153.13","262,175.80","856,358.85","1,049,802.06"
管理费用,"37,837,215.70","55,991,360.42","57,934,601.41","14,513,854.75","33,053,483.45","47,763,701.17","76,727,569.82","14,091,990.74","38,364,693.95","62,897,490.85","103,362,066.73","37,066,849.42","85,896,338.49","136,957,778.82"
其中:非流动资产处置净损失,"210,113.50","360,876.76","220,410.15",,"86,527.56","118,450.14","140,092.44",654.66,"1,026,021.31","1,196,361.76","1,976,169.80",,"156,899.26","177,730.82"
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"4,352,301.54","4,599,690.91","2,273,298.75","-745,261.90","-1,083,994.03","-4,164,032.54","-5,832,333.33","-791,101.30","-3,066,952.81","-4,507,994.22","-8,921,076.12","1,942,021.91","1,542,890.01","7,403,857.17"
三、利润总额,"67,259,045.01","110,417,024.20","160,787,108.40","49,543,132.55","104,626,772.15","150,950,550.36","202,350,236.68","61,881,335.93","131,440,487.17","189,933,391.36","266,194,848.02","100,976,733.24","253,058,393.15","380,597,801.30"
资产减值损失,"4,937,162.79","3,042,801.80","1,639,924.66","527,451.17","3,047,803.76","1,665,031.18","4,510,596.89","6,400,324.85","7,070,003.59","4,169,974.28","1,714,371.49","8,303,081.42","11,368,029.91","4,862,326.98"
减:所得税,"10,116,560.33","16,948,999.93","24,010,889.79","7,425,405.80","15,705,482.03","22,634,677.09","28,643,715.78","9,027,599.85","19,618,999.86","29,000,384.54","37,365,782.19","16,510,434.17","40,773,027.41","66,125,713.11"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,,,,,"781,138.70","2,604,375.35","3,927,332.24","784,315.08","1,082,397.28","1,082,397.28","1,082,397.28","301,506.85","752,602.74","701,039.02"
四、净利润,"57,142,484.68","93,468,024.27","136,776,218.61","42,117,726.75","88,921,290.12","128,315,873.27","173,706,520.90","52,853,736.08","111,821,487.31","160,933,006.82","228,829,065.83","84,466,299.07","212,285,365.74","314,472,088.19"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"57,142,484.68","93,468,024.27","136,776,477.71","42,118,999.85","88,921,290.12","128,315,873.27","173,705,956.14","52,853,736.08","111,821,487.31","160,933,006.82","228,829,065.83","84,466,299.07","212,285,365.74","315,321,734.31"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,-259.10,"-1,273.10",,,564.76,,,,,,,"-849,646.12"
