科目,2010年度,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,
收回投资收到的现金,,,,,"250,000,000.00",,,,,,,,
客户存款和同业存放款项净增加额,,,,,,,,,,,,,
取得投资收益收到的现金,,"323,789,914.78","529,790,888.56","588,563,929.42","595,373,071.14",,"962,948,609.20","257,965,509.99","536,241,446.02","757,549,089.11","1,242,267,681.02","118,025,403.14","716,787,234.92"
向中央银行借款净增加额,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"4,442,594.99","257,301,489.19","2,549,265,518.39","4,907,629,151.54","6,336,169,462.84",,"8,353,479,796.83","4,560,126,353.29","10,285,258,730.22","11,721,269,598.05","14,256,010,253.53","4,467,930,740.52","8,188,080,368.69"
向其他金融机构拆入资金净增加额,,,,,,,,,,,"500,000,000.00","1,150,000,000.00",
投资活动现金流入小计,"4,442,594.99","581,091,403.97","3,079,056,406.95","5,496,193,080.96","7,181,542,533.98",,"9,316,428,406.03","4,818,091,863.28","10,821,500,176.24","12,478,818,687.16","15,498,277,934.55","4,585,956,143.66","8,909,701,373.32"
收取利息、手续费及佣金的现金,,"7,890,609,992.63","11,397,960,153.31","28,216,679,239.53","8,132,553,018.94",,"16,310,098,439.46","3,589,845,141.67","7,482,693,153.32","11,947,734,096.46","16,521,332,695.38","5,182,273,789.67","8,505,783,505.95"
投资支付的现金,"134,200,000.00","110,000,000.00","160,000,000.00","2,869,100,000.00",,,,,"21,995,835.00","21,995,835.00","3,545,172,488.54","626,506,490.60","808,752,287.01"
处置交易性金融资产净增加额,"8,246,042,203.62",,,,,,,"1,769,565,301.09","1,102,739,208.23",,,,
质押贷款净增加额,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,"500,000,000.00","1,150,000,000.00","200,000,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"125,336,696.06","108,240,016.92","187,841,772.37","269,956,051.56","63,656,267.99",,"158,435,281.56","42,710,865.94","81,799,996.91","159,069,059.60","277,247,262.61","38,518,292.61","101,181,048.05"
回购业务资金净增加额,,"3,240,636,742.17","17,720,551,238.61",,"5,830,826,301.67",,,,,,,"4,107,061,700.46",
支付其他与投资活动有关的现金,,"2,820,484,500.00","4,870,000,000.00","8,350,468,000.00","7,500,000,000.00",,"11,703,513,500.00","650,000,000.00","3,493,509,862.09","11,582,394,903.29","9,176,267,087.08","7,451,846,095.40","11,216,125,663.01"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,
投资活动现金流出小计,"259,536,696.06","6,610,422,557.65","6,019,872,573.77","28,815,791,743.96","11,198,182,097.81",,"17,270,445,853.32","692,710,865.94","3,597,305,694.00","11,763,459,797.89","12,998,686,838.23","8,116,870,878.61","12,126,058,998.07"
收到的税费返还,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-255,094,101.07","-6,029,331,153.68","-2,940,816,166.82","-23,319,598,663.00","-4,016,639,563.83","-7,215,264,400.00","-7,954,017,447.29","4,125,380,997.34","7,224,194,482.24","715,358,889.27","2,499,591,096.32","-3,530,914,734.95","-3,216,357,624.75"
收到原保险合同保费取得的现金,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,
吸收投资收到的现金,"37,563,645.60","6,608,149,233.72","60,000,000.00","18,923,097,600.00",,,,"4,086,000,000.00","4,086,000,000.00","4,086,000,000.00","4,086,000,000.00",,
保户储金及投资款净增加额,,,,,,,,,,,,,
发行债券收到的现金,,"4,700,000,000.00","27,410,000,000.00","56,052,695,000.00","5,800,000,000.00",,,"13,160,780,000.00","36,256,130,000.00",,"38,800,480,188.73","13,350,840,000.00","28,337,930,000.00"
收到其他与经营活动有关的现金,"37,118,847.75","868,496,652.17","1,104,634,770.21","2,862,979,320.94","511,241,985.80",,"236,211,157.80","2,414,177,349.26","7,776,352,563.74","3,227,609,494.15","2,894,885,281.64","6,801,683,372.98","9,866,292,281.23"
取得借款收到的现金,,"302,687,000.00","812,123,268.47","1,190,513,800.00","2,551,874,250.00",,"1,785,422,000.00","1,819,915,527.60","23,281,600.00","55,877,900.00","764,908,900.00",,"652,191,987.34"
经营活动现金流入小计,"8,283,161,051.37","11,999,743,386.97","72,179,373,612.05","70,664,358,284.38","32,470,878,996.05",,"40,392,016,148.87","7,773,587,792.02","16,361,784,925.29","15,175,343,590.61","19,916,217,977.02","17,241,018,863.11","18,572,075,787.18"
收到其他与筹资活动有关的现金,,,,,,,,"1,498,387,072.27","138,172,609.91","58,168,302,981.98","30,979,828,514.97","5,164,110,000.00","79,546,340.00"
客户贷款及垫款净增加额,,,,,,,,,,,,,
筹资活动现金流入小计,"37,563,645.60","18,610,836,233.72","36,402,803,268.47","124,356,143,000.23","9,268,329,187.78",,"30,172,490,409.63","20,565,082,599.87","40,503,584,209.91","62,310,180,881.98","74,631,217,603.70","18,514,950,000.00","29,069,668,327.34"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,
偿还债务支付的现金,,"7,718,858,290.40","7,515,457,000.00","70,196,823,268.47","26,485,131,600.00",,"34,888,383,800.00","16,628,355,333.33","33,685,770,000.00","33,818,110,000.00","36,365,377,085.93","18,124,945,853.53","27,809,500,000.00"
支付的手续费及佣金的现金,"540,318,378.06","513,825,912.87","1,020,160,537.49","3,223,086,352.10","1,564,923,461.43",,"2,725,028,984.96","544,438,133.81","740,727,524.14","1,561,007,993.22","1,466,919,116.84","595,769,863.77","780,319,948.11"
分配股利、利润或偿付利息支付的现金,"1,200,000,000.00","89,144,434.97","1,194,157,290.97","3,273,512,036.66","2,785,874,872.20",,"6,503,052,641.22","721,652,966.43","2,119,152,649.42","4,138,627,440.56","4,639,861,872.64","571,910,907.72","1,987,195,380.97"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"7,451,299.12","88,419,679.87","6,615,055.26",,,,"1,415,094.32","698,996,636.80","1,343,926,001.71","1,463,077,881.75","421,477,475.63","584,475,476.76"
支付原保险合同赔付款项的现金,,,,,,,,,,,,,
筹资活动现金流出小计,"1,200,000,000.00","7,815,454,024.49","8,798,033,970.84","73,476,950,360.39","29,271,006,472.20",,"41,757,295,087.54","17,351,423,394.08","36,503,919,286.22","39,300,663,442.27","42,468,316,840.32","19,118,334,236.88","30,381,170,857.73"
支付保单红利的现金,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"-1,162,436,354.40","10,795,382,209.23","27,604,769,297.63","50,879,192,639.84","-20,002,677,284.42","-18,450,844,600.00","-11,584,804,677.91","3,213,659,205.79","3,999,664,923.69","23,009,517,439.71","32,162,900,763.38","-603,384,236.88","-1,311,502,530.39"
支付给职工以及为职工支付的现金,"2,123,687,006.98","2,287,322,080.00","2,593,232,548.50","6,956,463,116.55","4,082,039,642.95",,"5,925,656,109.04","991,497,233.54","2,933,024,748.23","3,881,152,999.20","4,754,403,005.35","1,322,720,977.47","2,708,597,183.76"
四、汇率变动对现金的影响,"223,506.08","-40,511,745.43","6,333,364.30","269,565,103.72","50,043,102.67",,"271,387,196.01","-26,418,289.81","-108,125,542.23","-188,689,512.75","-249,387,730.97","261,708,480.81","71,739,779.07"
支付的各项税费,"1,480,294,206.28","936,790,554.87","1,564,342,340.31","4,315,504,891.55","2,171,295,477.59",,"3,606,088,004.37","325,601,517.52","658,017,195.52","1,122,852,320.95","1,249,726,089.81","372,574,149.04","1,094,124,681.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"13,887,338,915.71","2,164,307,109.56","4,424,096,304.77","2,347,516,795.80","1,806,489,310.68",,"3,728,137,611.11","9,008,296,821.28","16,450,661,792.52","48,463,214,904.42","34,238,469,244.98","1,480,019,361.89","9,710,706,083.20"
五、现金及现金等价物净增加额,"-13,648,841,810.53","-6,277,350,666.38","43,300,246,770.99","38,630,078,482.44","-15,478,176,703.75",,"-34,077,499,962.30","-7,269,785,133.10","-10,373,636,704.27","-16,316,697,810.95","-18,426,780,911.52","1,354,952,031.44","-177,792,485.46"
经营活动现金流出小计,"20,514,695,912.51","23,002,633,363.47","53,549,413,336.17","59,863,438,882.50","23,979,781,954.22",,"55,202,081,181.98","22,355,994,838.44","37,851,155,493.26","55,028,228,217.79","72,756,103,017.27","12,013,476,340.65","14,293,747,896.57"
期初现金及现金等价物余额,"93,889,171,266.57","41,148,480,575.94","34,871,129,909.56","78,171,376,680.55","116,801,455,162.99",,"116,801,455,162.99","82,723,955,200.69","82,723,955,200.69","82,723,955,200.69","82,723,955,200.69","64,293,748,504.80","64,297,174,289.17"
经营活动产生的现金流量净额,"-12,231,534,861.14","-11,002,889,976.50","18,629,960,275.88","10,800,919,401.88","8,491,097,041.83","-6,736,176,300.00","-14,810,065,033.11","-14,582,407,046.42","-21,489,370,567.97","-39,852,884,627.18","-52,839,885,040.25","5,227,542,522.46","4,278,327,890.61"
期末现金及现金等价物余额,"80,240,329,456.04","34,871,129,909.56","78,171,376,680.55","116,801,455,162.99","101,323,278,459.24",,"82,723,955,200.69","75,454,170,067.59","72,350,318,496.42","66,407,257,389.74","64,297,174,289.17","65,648,700,536.24","64,119,381,803.71"
二、投资活动产生的现金流量,,,,,,,,,,,,,
,,,,,,,,,,,,,
