科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"210,237,307.78","277,366,830.62","289,849,722.47","214,991,443.51","293,978,431.54","62,646,990.08","142,793,856.05","205,283,814.28","301,275,888.33","80,733,597.04","178,878,217.28","268,717,014.61","375,617,177.73","109,824,422.49","239,666,569.84","356,336,485.56","507,195,935.99","163,495,718.63"
二、营业利润,"41,033,965.73","53,005,506.99","61,191,263.19","50,297,735.36","66,367,317.43","15,331,100.97","36,281,618.88","52,240,604.57","72,986,253.10","16,718,792.39","39,889,608.78","54,336,650.82","75,956,555.21","18,474,581.67","43,709,792.04","59,061,860.27","76,877,311.08","20,295,788.82"
减:营业成本,"139,112,552.86","182,266,754.63","188,196,615.13","135,281,275.86","185,930,571.30","38,300,863.39","84,800,718.47","122,373,203.35","184,719,847.65","50,557,856.13","110,652,816.10","170,308,596.11","235,136,094.18","72,944,218.71","156,764,538.26","238,864,002.03","341,493,183.87","112,752,147.90"
加:补贴收入,,,,,,,,,,,,,,,,,,
营业税金及附加,"379,818.58","902,498.31","933,850.44","763,560.58","1,323,794.30","392,938.98","498,352.91","572,700.75","1,360,650.94","434,856.12","1,012,794.79","1,563,162.05","2,196,127.30","523,368.71","1,247,186.75","2,198,444.84","3,392,587.76","1,654,448.46"
营业外收入,"326,571.32","894,649.31","3,358,779.64","2,614,693.62","4,193,504.56","91,610.00","854,894.01","1,856,294.01","1,981,087.27","1,474,522.79","2,707,382.79","2,993,300.42","1,141,851.82","223,057.19","67,837.19","1,636,167.23","799,470.94","80,560.00"
销售费用,"10,208,455.84","12,860,084.66","13,527,523.18","9,533,593.48","13,044,593.85","2,769,764.15","6,948,442.92","9,531,223.86","14,432,188.35","3,650,068.29","9,791,460.32","14,390,429.64","21,903,222.56","5,123,376.77","11,227,846.26","19,291,693.79","31,779,626.69","10,055,102.50"
减:营业外支出,"165,962.16","8,069.90","651,583.51","2,060,678.12","2,070,795.55","10,887.53","610,887.53","880,143.92","1,104,897.79","50,969.80","201,574.53","201,574.53","226,745.13",92.38,"74,021.33","276,021.33","676,809.06","50,000.00"
管理费用,"18,486,918.61","24,918,196.67","26,091,616.48","21,185,119.87","29,682,070.32","5,883,155.93","13,792,020.27","20,894,587.72","32,054,976.87","10,432,347.11","19,528,693.78","30,307,351.63","44,810,496.45","12,508,172.67","31,217,956.28","22,124,604.51","37,890,471.70","16,007,224.83"
其中:非流动资产处置净损失,"18,360.80","3,201.81",,427.00,"2,585.12",,"6,037.17",,"52,099.21",,969.80,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,
财务费用,"894,363.45","1,318,948.71","13,402.73","-1,538,183.98","-2,022,098.23","-30,833.34","-578,154.52","-764,052.70","-1,591,223.54","140,626.37","740,307.53","1,072,561.12","1,361,911.83","1,082,795.86","-181,241.64","-313,036.80","708,212.41","2,684,092.31"
三、利润总额,"41,194,574.89","53,892,086.40","63,898,459.32","50,851,750.86","68,490,026.44","15,411,823.44","36,525,625.36","53,216,754.66","73,862,442.58","18,142,345.38","42,395,417.04","57,128,376.71","76,871,661.90","18,697,546.48","43,703,607.90","60,422,006.17","76,999,972.96","20,326,348.82"
资产减值损失,"121,232.71","2,094,840.65","262,621.21","145,434.60","663,803.43",,"1,714,931.71","1,714,931.71","2,364,065.72",,"711,681.79","711,681.79","3,636,464.76",,"406,365.94","2,457,307.89","4,206,197.95",
减:所得税,"7,136,432.51","9,412,477.86","9,607,180.07","6,684,749.27","9,705,950.07","1,938,336.24","3,087,303.48","5,587,572.78","8,893,673.83","3,264,291.11","7,895,181.90","9,821,496.60","11,171,889.09","3,061,074.91","6,442,032.67","9,298,695.09","12,636,223.00","3,507,344.29"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,
投资收益,,,"367,169.89","677,092.26","1,011,620.86",,"664,074.59","1,279,384.98","5,050,870.76","1,200,949.37","3,449,145.81","3,973,418.55","6,922,476.17","832,091.90","3,690,909.27","6,471,248.48","8,199,863.38","3,390,899.42"
四、净利润,"34,058,142.38","44,479,608.54","54,291,279.25","44,167,001.59","58,784,076.37","13,473,487.20","33,438,321.88","47,629,181.88","64,968,768.75","14,878,054.27","34,500,235.14","47,306,880.11","65,699,772.81","15,636,471.57","37,261,575.23","51,123,311.08","64,363,749.96","16,819,004.53"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"-51,165.37",
归属于母公司所有者的净利润,"34,058,142.38","44,466,124.28","54,224,089.92","44,161,046.47","58,767,414.61","13,473,487.20","33,438,439.39","47,629,299.39","64,603,521.34","14,872,657.03","34,497,644.10","47,282,691.22","65,811,232.82","15,815,738.87","37,253,282.98","51,808,623.61","66,165,096.18","17,442,331.27"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,
少数股东损益,,"13,484.26","67,189.33","5,955.12","16,661.76",,-117.51,-117.51,"365,247.41","5,397.24","2,591.04","24,188.89","-111,460.01","-179,267.30","8,292.25","-685,312.53","-1,801,346.22","-623,326.74"
