科目,2005年1-9月
销售商品、提供劳务收到的现金,"27,168,919,596.00"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"9,674,715.00"
支付其他与投资活动有关的现金,"2,172,466.00"
收到其他与经营活动有关的现金,"4,111,878.00"
投资活动现金流出小计,"181,084,341.00"
经营活动现金流入小计,"27,182,706,189.00"
投资活动产生的现金流量净额,"-112,262,666.00"
购买商品、接受劳务支付的现金,"23,970,744,321.00"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"573,642,723.00"
取得借款收到的现金,"6,237,780,000.00"
支付的各项税费,"1,288,711,815.00"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"79,291,759.00"
筹资活动现金流入小计,"6,237,780,000.00"
经营活动现金流出小计,"25,912,390,618.00"
偿还债务支付的现金,"7,269,835,712.00"
经营活动产生的现金流量净额,"1,270,315,571.00"
分配股利、利润或偿还利息支付的现金,"125,083,171.00"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,"24,000,000.00"
筹资活动现金流出小计,"7,394,918,883.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"44,821,675.00"
筹资活动产生的现金流量净额,"-1,157,138,883.00"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"68,821,675.00"
五、现金及现金等价物净增加额,"914,022.00"
购建固定资产、无形资产和其他长期资产支付的现金,"178,911,875.00"
期初现金及现金等价物余额,"14,629,219.00"
投资支付的现金,
期末现金及现金等价物余额,"15,543,241.00"
