科目,2015-12-31
货币资金,"1,007.17"
短期借款,
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"484,500.00"
应付账款,
预付款项,
预收款项,
其他应收款,
应付职工薪酬,
应收关联公司款,
应交税费,"54,121.21"
应收利息,
应付利息,
应收股利,
应付股利,
存货,
其他应付款,"343,871.47"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,
流动资产合计,"485,507.17"
流动负债合计,"397,992.68"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,
专项应付款,
投资性房地产,
预计负债,
固定资产,
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"397,992.68"
生产性生物资产,
实收资本(或股本),"179,709,871.00"
油气资产,
资本公积,
无形资产,
盈余公积,
开发支出,
减:库存股,
商誉,
未分配利润,"-179,615,981.51"
长期待摊费用,
少数股东权益,
递延所得税资产,"6,375.00"
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"6,375.00"
所有者权益(或股东权益)合计,"93,889.49"
资产总计,"491,882.17"
负债和所有者(或股东权益)合计,"491,882.17"
