科目,2006-12-31
货币资金,"289,645,576.70"
短期借款,"110,000,000.00"
交易性金融资产,
交易性金融负债,
应收票据,"432,773,899.78"
应付票据,"48,000,000.00"
应收账款,"35,714,506.89"
应付账款,"450,838,505.35"
预付款项,"52,838,502.53"
预收款项,"35,030,148.58"
其他应收款,"3,925,835.22"
应付职工薪酬,"62,554,124.86"
应收关联公司款,
应交税费,"50,099,370.77"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"875,696,777.66"
其他应付款,"86,757,685.35"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"175,640.00"
流动资产合计,"1,690,595,098.78"
流动负债合计,"843,455,474.91"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"500,000.00"
专项应付款,
投资性房地产,
预计负债,
固定资产,"2,802,079,839.01"
递延所得税负债,
在建工程,"364,818,470.58"
其他非流动负债,
工程物资,"38,572,252.48"
非流动负债合计,
固定资产清理,
负债合计,"843,455,474.91"
生产性生物资产,
实收资本(或股本),"672,000,000.00"
油气资产,
资本公积,"485,459,867.33"
无形资产,
盈余公积,"627,904,400.17"
开发支出,
减:库存股,
商誉,
未分配利润,"2,264,843,378.77"
长期待摊费用,
少数股东权益,"2,902,539.67"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"3,205,970,562.07"
所有者权益(或股东权益)合计,"4,053,110,185.94"
资产总计,"4,896,565,660.85"
负债和所有者(或股东权益)合计,"4,896,565,660.85"
