科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,
收回投资收到的现金,"1,160,077,000.00","1,931,673,000.00","27,533,521,000.00","8,874,079,000.00","15,940,395,000.00","30,034,913,000.00","45,294,513,000.00","14,828,310,000.00","27,185,135,000.00","34,911,419,000.00","52,622,462,000.00","19,040,045,000.00","35,290,508,434.00","50,136,026,000.00","62,412,139,000.00","19,738,216,000.00"
客户存款和同业存放款项净增加额,"3,585,963,000.00","4,562,011,000.00","4,654,688,000.00","1,462,399,000.00","2,717,882,000.00","5,185,206,000.00","6,220,064,000.00","2,047,516,000.00","2,020,930,000.00","4,791,657,000.00","5,266,829,000.00","-95,470,000.00","233,498,219.00","2,389,965,000.00","4,893,103,000.00","4,521,335,000.00"
取得投资收益收到的现金,"7,593,000.00","7,553,000.00","7,568,000.00",,"5,443,000.00","5,543,000.00","127,045,000.00","5,445,000.00","5,445,000.00","5,505,000.00","317,754,000.00","92,711,000.00","288,097,416.00","475,723,000.00","677,314,000.00","17,965,000.00"
向中央银行借款净增加额,"-99,000,000.00","453,111,000.00","82,475,000.00","-132,829,000.00","-259,031,000.00","-174,110,000.00","-149,115,000.00","-122,381,000.00","-108,357,000.00","-263,377,000.00","1,030,083,000.00","-1,165,959,000.00","-1,138,411,750.00","-753,494,000.00","-206,482,000.00","-84,079,000.00"
收到其他与投资活动有关的现金,"9,780,000.00","4,505,000.00","20,000.00","10,000.00",,,"81,000.00",,"88,000.00","894,000.00","1,028,000.00",,,,,"1,000.00"
向其他金融机构拆入资金净增加额,"-1,639,417,000.00","1,006,933,000.00","2,148,242,000.00","2,517,943,000.00","1,413,043,000.00","2,825,912,000.00","1,731,635,000.00","275,374,000.00","520,761,000.00","832,042,000.00","-1,905,602,000.00","3,161,720,000.00","-1,994,836,200.00","-4,112,037,000.00","-9,041,940,000.00","-1,518,512,000.00"
投资活动现金流入小计,"1,177,450,000.00","1,943,730,000.00","27,541,108,000.00","8,874,089,000.00","15,954,811,000.00","30,040,455,000.00","45,421,639,000.00","14,833,755,000.00","27,190,668,000.00","34,917,818,000.00","52,941,244,000.00","19,132,756,000.00","35,579,905,850.00","50,614,925,000.00","63,092,839,000.00","19,756,182,000.00"
收取利息、手续费及佣金的现金,"4,189,076,000.00","4,297,952,000.00","4,359,779,000.00","953,066,000.00","1,064,683,000.00","3,094,878,000.00","4,257,742,000.00","1,158,563,000.00","2,237,098,000.00","3,413,153,000.00","4,637,601,000.00","1,215,910,000.00","2,306,762,554.00","3,490,079,000.00","4,789,315,000.00","1,596,706,000.00"
投资支付的现金,"3,466,121,000.00","5,951,553,000.00","35,114,134,000.00","12,357,892,000.00","19,740,922,000.00","38,316,910,000.00","57,874,450,000.00","11,969,455,000.00","27,575,992,000.00","28,307,531,000.00","53,878,020,000.00","22,554,686,000.00","33,975,439,363.00","49,501,498,000.00","60,734,843,000.00","25,901,459,000.00"
处置交易性金融资产净增加额,,,,,,,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"152,861,000.00","127,164,000.00","193,328,000.00","69,603,000.00","106,881,000.00","135,284,000.00","262,154,000.00","41,700,000.00","186,356,000.00","222,700,000.00","335,480,000.00","35,019,000.00","64,541,938.00","96,332,000.00","303,594,000.00","32,812,000.00"
回购业务资金净增加额,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"1,000.00",,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,
