科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"188,814,910.69","207,962,761.76","295,322,506.09","144,991,359.32","204,733,647.96","317,119,375.90","84,123,038.37","144,249,851.56","200,076,825.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,"193,391.41",,,"279,349.58",,,,
支付其他与投资活动有关的现金,,,,,"8,681.73",,,,"9,282,218.11"
收到其他与经营活动有关的现金,"647,740.33","942,136.75","4,009,205.31","766,029.53","1,748,530.88","1,864,286.45","1,429,000.00","4,162,613.03","4,448,723.48"
投资活动现金流出小计,"7,603,611.13","7,828,805.55","8,014,056.51","1,706,562.46","336,953.68","24,816,406.58","35,932,929.64","50,866,158.54","56,950,955.96"
经营活动现金流入小计,"189,462,651.02","209,098,289.92","299,331,711.40","145,757,388.85","206,761,528.42","318,983,662.35","85,552,038.37","148,412,464.59","204,525,548.84"
投资活动产生的现金流量净额,"-7,558,091.13","-7,461,676.92","-7,998,051.51","-1,706,562.46","-355,814.91","-24,802,406.58","-35,932,929.64","-50,866,158.54","-56,725,955.96"
购买商品、接受劳务支付的现金,"94,463,234.24","115,052,186.76","183,744,694.31","111,432,677.85","149,959,872.64","194,475,031.56","71,479,856.61","100,786,744.91","180,294,163.13"
吸收投资收到的现金,,,,,,"152,542,680.00",,,
支付给职工以及为职工支付的现金,"56,497,832.00","56,506,396.80","56,421,502.82","29,479,993.35","40,629,873.70","59,465,404.42","4,790,573.63","31,493,303.49","48,138,755.79"
取得借款收到的现金,"26,677,802.94","68,600,000.00","64,800,000.00","58,000,000.00","63,000,000.00","73,000,000.00",,,"25,000,000.00"
支付的各项税费,"10,878,055.39","12,260,842.60","20,204,579.60","9,867,793.11","12,784,324.77","18,240,764.49","5,613,375.69","8,312,762.01","10,708,764.09"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"16,301,612.46","18,869,774.16","24,350,830.90","20,256,184.07","31,839,869.07","40,912,147.38","39,082,798.30","39,571,127.25","30,115,924.72"
筹资活动现金流入小计,"26,677,802.94","68,600,000.00","64,800,000.00","58,000,000.00","63,000,000.00","225,542,680.00",,,"25,000,000.00"
经营活动现金流出小计,"178,140,734.09","202,689,200.32","284,721,607.63","171,036,648.38","235,213,940.18","313,093,347.85","120,966,604.23","180,163,937.66","269,257,607.73"
偿还债务支付的现金,"22,800,000.00","47,477,802.94","54,800,000.00","59,300,000.00","78,000,000.00","86,200,000.00","33,600,000.00","33,600,000.00","33,600,000.00"
经营活动产生的现金流量净额,"11,321,916.93","6,409,089.60","14,610,103.77","-25,279,259.53","-28,452,411.76","5,890,314.50","-35,414,565.86","-31,751,473.07","-64,732,058.89"
分配股利、利润或偿还利息支付的现金,"1,495,707.77","3,070,014.10","4,123,319.03","1,797,926.02","2,617,511.94","3,139,990.76","124,463.60","87,530.27","7,858,851.10"
收回投资收到的现金,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"580,000.00",,
取得投资收益收到的现金,,,,,,,,,
筹资活动现金流出小计,"24,295,707.77","50,547,817.04","58,923,319.03","61,097,926.02","80,617,511.94","89,339,990.76","34,304,463.60","33,687,530.27","41,458,851.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"45,520.00","367,128.63","16,005.00",,"-92,299.08","14,000.00",,,"32,500.00"
筹资活动产生的现金流量净额,"2,382,095.17","18,052,182.96","5,876,680.97","-3,097,926.02","-17,617,511.94","136,202,689.24","-34,304,463.60","-33,687,530.27","-16,458,851.10"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-252,254.61","83,207.94","-1,504,876.32","181,466.06",,"420,754.60","-20,569.29","-112,124.21","-217,922.96"
收到其他与投资活动有关的现金,,,,,"73,437.85",,,,"192,500.00"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"45,520.00","367,128.63","16,005.00",,"-18,861.23","14,000.00",,,"225,000.00"
五、现金及现金等价物净增加额,"5,893,666.36","17,082,803.58","10,983,856.91","-29,902,281.95","-46,425,738.61","117,711,351.76","-105,672,528.39","-116,417,286.09","-138,134,788.91"
购建固定资产、无形资产和其他长期资产支付的现金,"7,603,611.13","7,828,805.55","8,014,056.51","1,706,562.46","328,271.95","24,816,406.58","25,932,929.64","40,866,158.54","47,668,737.85"
期初现金及现金等价物余额,"39,110,364.06","45,004,030.42","62,086,834.00","73,070,690.91",,"73,070,690.91","190,782,042.67","190,782,042.67","190,782,042.67"
投资支付的现金,,,,,,,"10,000,000.00","10,000,000.00",
期末现金及现金等价物余额,"45,004,030.42","62,086,834.00","73,070,690.91","43,168,408.96",,"190,782,042.67","85,109,514.28","74,364,756.58","52,647,253.76"
