科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"220,204,679.85","214,406,691.85","263,657,461.88","232,154,437.11","332,712,552.85","80,568,479.80","141,256,974.40","217,090,522.03","281,836,270.89","79,581,622.35","154,744,231.00","235,324,664.65","379,884,597.36","84,074,333.10","202,978,366.57","304,459,226.38","520,317,091.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"600,000.00",,"173,120,000.00","168,967,243.65","54,653,520.00","53,415,429.68","53,415,429.68","33,318,540.42"
收到的税费返还,"4,030,104.28","6,270,627.35","3,596,686.45","2,041,922.99","2,041,922.99",,"482,005.76","482,005.76","895,042.25",,,,"963,358.86","2,676,908.01","3,672,982.46","4,161,072.14","4,019,039.40"
支付其他与投资活动有关的现金,,,,,,,,,,,"15,000,000.00","1,115,140.00",,"359,000.00","359,000.00","359,000.00",
收到其他与经营活动有关的现金,"7,354,668.25","862,451.01","9,062,294.83","1,310,734.95","810,461.73","2,376,910.11","163,301.70","348,066.20","5,335,124.86","167,164.49","537,452.28","5,916,739.95","56,356,478.17","4,730,672.06","56,179,466.51","19,344,083.15","72,662,395.18"
投资活动现金流出小计,"35,027,275.30","29,121,982.29","29,691,348.12","9,621,054.66","11,413,805.18","2,322,943.88","66,319,217.63","81,212,663.66","93,527,254.35","16,762,441.71","115,269,712.11","289,577,852.41","271,022,792.65","156,963,016.66","232,696,823.58","328,126,925.23","323,506,172.75"
经营活动现金流入小计,"231,589,452.38","221,539,770.21","276,316,443.16","235,507,095.05","335,564,937.57","82,945,389.91","141,902,281.86","217,920,593.99","288,066,438.00","79,748,786.84","155,281,683.28","241,241,404.60","437,204,434.39","91,481,913.17","262,830,815.54","327,964,381.67","596,998,526.17"
投资活动产生的现金流量净额,"-33,985,275.30","-29,121,982.29","-15,359,408.12","-9,621,054.66","-11,413,805.18","-2,322,943.88","-66,273,957.35","-80,524,850.88","-92,128,378.56","24,403,585.69","-53,380,201.15","-201,188,341.45","-208,254,323.54","-126,903,427.62","-152,294,912.62","-247,566,514.27","-224,090,623.94"
购买商品、接受劳务支付的现金,"157,931,829.03","130,985,257.76","182,758,848.44","142,654,435.57","211,692,325.86","74,274,902.25","97,151,865.82","153,211,051.71","181,806,219.15","66,582,607.90","91,064,813.74","148,628,075.83","217,811,479.85","94,653,621.18","148,261,898.74","218,770,731.47","312,115,006.36"
吸收投资收到的现金,"36,800,000.00",,,,,,"160,351,000.00","160,351,000.00","160,351,000.00",,,"410,949,981.00","398,066,238.54",,,,
支付给职工以及为职工支付的现金,"10,686,720.03","12,818,808.73","19,812,243.60","14,780,678.07","19,335,313.17","6,461,427.37","11,618,658.84","16,308,411.28","21,452,880.72","6,759,758.22","12,497,059.76","19,585,846.23","28,932,933.37","10,348,808.96","21,726,019.18","31,449,969.18","48,137,345.87"
取得借款收到的现金,"23,000,000.00","10,000,000.00","22,444,000.00","15,000,000.00","15,000,000.00",,,,,,,"20,000,000.00","35,450,000.00","48,000,000.00","137,176,313.40","224,400,000.00","324,399,019.81"
支付的各项税费,"10,878,182.36","10,929,073.36","9,675,606.63","12,918,165.43","16,154,913.18","4,282,049.10","10,095,687.42","13,801,946.30","18,797,691.52","4,107,281.69","9,640,407.16","13,323,605.88","16,064,157.63","4,308,010.81","23,444,082.59","30,778,101.24","38,252,249.62"
收到其他与筹资活动有关的现金,,,,,,,,,,,"125,137.14","125,137.14",,880.20,"13,660,891.62","22,764,560.40","17,970,127.16"
支付其他与经营活动有关的现金,"25,620,257.06","28,362,431.76","36,733,930.28","33,686,405.70","45,896,087.72","10,437,728.63","18,002,320.82","28,126,758.84","37,691,694.52","11,552,959.07","18,081,821.42","47,319,721.05","147,009,120.22","23,269,301.83","95,467,430.81","79,657,931.25","172,102,508.98"
筹资活动现金流入小计,"59,800,000.00","10,000,000.00","22,444,000.00","15,000,000.00","15,000,000.00",,"160,351,000.00","160,351,000.00","160,351,000.00",,"125,137.14","431,075,118.14","433,516,238.54","48,000,880.20","150,837,205.02","247,164,560.40","342,369,146.97"
经营活动现金流出小计,"205,116,988.48","183,095,571.61","248,980,628.95","204,039,684.77","293,078,639.93","95,456,107.35","136,868,532.90","211,448,168.13","259,748,485.91","89,002,606.88","131,284,102.08","228,857,248.99","409,817,691.07","132,579,742.78","288,899,431.32","360,656,733.14","570,607,110.83"
偿还债务支付的现金,"22,000,000.00","20,000,000.00","20,000,000.00","15,444,000.00","15,444,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00",,,"44,000,000.00","28,300,000.00","100,000.00","4,215,661.36","26,330,724.10","115,250,894.60"
经营活动产生的现金流量净额,"26,472,463.90","38,444,198.60","27,335,814.21","31,467,410.28","42,486,297.64","-12,510,717.44","5,033,748.96","6,472,425.86","28,317,952.09","-9,253,820.04","23,997,581.20","12,384,155.61","27,386,743.32","-41,097,829.61","-26,068,615.78","-32,692,351.47","26,391,415.34"
分配股利、利润或偿还利息支付的现金,"2,502,000.38","13,298,180.39","7,481,219.61","6,379,073.87","6,561,073.87","111,333.33","111,333.33","111,333.33","111,333.33","9,400,875.00","10,005,000.00","10,652,512.53","11,776,040.05","822,521.12","20,889,947.06","24,010,879.77","29,227,500.19"
收回投资收到的现金,,,,,,,,,,"40,000,000.00","60,000,000.00","80,000,000.00","60,000,000.00","30,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"5,020,500.81","5,020,500.81","5,830,000.00","1,127,563.75","127,563.75","12,267,192.52","35,046,355.24","921,439.08","8,471,678.29","14,511,819.49","155,718,429.91"
取得投资收益收到的现金,,,,,,,"45,260.28","45,260.28","656,323.29","1,166,027.40","1,889,510.96","1,889,510.96","2,487,867.12","59,589.04","401,910.96","401,910.96","401,910.96"
筹资活动现金流出小计,"24,502,000.38","33,298,180.39","27,481,219.61","21,823,073.87","22,005,073.87","12,111,333.33","17,131,834.14","17,131,834.14","17,941,333.33","10,528,438.75","10,132,563.75","66,919,705.05","75,122,395.29","1,843,960.20","33,577,286.71","64,853,423.36","300,196,824.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,042,000.00",,"102,000.00",,,,,"620,500.00","720,500.00",,,"6,500,000.00","280,601.99",,,"158,500.00","19,013,637.85"
筹资活动产生的现金流量净额,"35,297,999.62","-23,298,180.39","-5,037,219.61","-6,823,073.87","-7,005,073.87","-12,111,333.33","143,219,165.86","143,219,165.86","142,409,666.67","-10,528,438.75","-10,007,426.61","364,155,413.09","358,393,843.25","46,156,920.00","117,259,918.31","182,311,137.04","42,172,322.27"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-134,087.82","-363,910.57","-380,757.05","5,419.29","10,512.04",,"-32,514.65","-13,449.76","-25,233.18",832.95,"14,534.59","-51,289.01","101,673.14","-127,559.13","-165,400.71","-329,683.98","-324,256.76"
