科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、经营活动产生的现金流量,,,,,,,,,,
收回投资收到的现金,"22,629,511,632.09","53,067,626,560.78","83,459,010,619.67","105,447,206,290.03","299,242,016,000.00","445,465,320,000.00","27,202,892,000.00","82,660,034,000.00","106,355,371,000.00","114,832,950,000.00"
客户存款和同业存放款项净增加额,"5,071,017,193.73","9,932,810,420.11","9,337,133,157.72","8,841,199,281.60","8,202,922,000.00","10,002,003,000.00","5,346,839,000.00","6,275,096,000.00","3,367,275,000.00","4,206,724,000.00"
取得投资收益收到的现金,"63,181,708.44","119,236,124.87","233,631,977.68","55,878,238.98","106,422,000.00","110,573,000.00","881,000.00","21,808,000.00","41,572,000.00","109,373,000.00"
向中央银行借款净增加额,"-105,000,000.00","199,000,000.00","560,012,445.20","-255,000,000.00","-391,000,000.00","569,000,000.00","1,218,000,000.00","-537,000,000.00","1,360,000,000.00","1,607,000,000.00"
收到其他与投资活动有关的现金,"14,506,669.00","1,526,568.29","125,110.00","1,022,932.47","1,402,000.00","1,439,000.00",,"1,000.00","8,000.00","13,534,000.00"
向其他金融机构拆入资金净增加额,"1,426,105,447.53","8,265,639,070.58","-7,267,871,322.57","-787,925,846.27","3,399,972,000.00","3,718,133,000.00","-5,037,232,000.00","-6,394,143,000.00","-4,288,118,000.00","-2,941,031,000.00"
投资活动现金流入小计,"22,707,200,009.53","53,188,389,253.94","83,692,767,707.35","105,504,107,461.48","299,349,840,000.00","445,577,332,000.00","27,203,773,000.00","82,681,843,000.00","106,396,951,000.00","114,955,857,000.00"
收取利息、手续费及佣金的现金,"4,118,167,871.77","4,896,682,941.13","5,667,185,571.40","3,201,235,393.15","5,050,565,000.00","6,832,644,000.00","2,024,953,000.00","4,255,151,000.00","6,877,425,000.00","9,259,979,000.00"
投资支付的现金,"29,134,540,201.06","60,450,938,376.93","89,116,135,222.75","110,176,864,518.42","307,344,894,000.00","453,843,782,000.00","34,172,410,000.00","88,327,738,000.00","112,378,189,000.00","122,399,997,000.00"
处置交易性金融资产净增加额,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"131,031,792.08","289,009,175.38","267,370,977.00","78,774,847.25","228,688,000.00","500,550,000.00","35,219,000.00","56,742,000.00","85,961,000.00","106,539,000.00"
回购业务资金净增加额,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,
投资活动现金流出小计,"29,265,571,993.14","60,739,947,552.31","89,383,506,199.75","110,255,639,365.67","307,573,582,000.00","454,344,332,000.00","34,207,629,000.00","88,384,480,000.00","112,464,150,000.00","122,506,536,000.00"
收到的税费返还,,,,,,,,,,
投资活动产生的现金流量净额,"-6,558,371,983.61","-7,551,558,298.37","-5,690,738,492.40","-4,751,531,904.19","-8,223,742,000.00","-8,767,000,000.00","-7,003,856,000.00","-5,702,637,000.00","-6,067,199,000.00","-7,550,679,000.00"
收到原保险合同保费取得的现金,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,
吸收投资收到的现金,"101,400,000.00","44,100,000.00","85,696,000.00","216,702,232.00","1,145,925,000.00","1,147,325,000.00","1,400,000.00","15,800,000.00","13,400,000.00","13,400,000.00"
保户储金及投资款净增加额,,,,,,,,,,
发行债券收到的现金,,,"5,070,981,500.00","19,362,467,300.00","30,774,185,000.00","40,611,250,000.00","23,412,476,000.00","51,855,404,000.00","71,937,239,000.00","88,519,564,000.00"
收到其他与经营活动有关的现金,"274,048,487.35","132,404,629.97","65,058,635.16","357,079,979.52","540,192,000.00","298,237,000.00","213,468,000.00","351,926,000.00","950,296,000.00","698,243,000.00"
取得借款收到的现金,,,,,,,,,,
经营活动现金流入小计,"10,784,339,000.38","23,426,537,061.79","8,361,518,486.91","11,356,588,808.00","16,802,651,000.00","21,420,017,000.00","3,766,028,000.00","3,951,030,000.00","8,266,878,000.00","12,830,915,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,
客户贷款及垫款净增加额,"5,843,111,366.98","7,033,286,077.69","9,489,595,954.38","5,161,673,556.32","6,845,420,000.00","9,686,300,000.00","2,237,222,000.00","5,593,659,000.00","8,708,271,000.00","11,877,816,000.00"
筹资活动现金流入小计,"101,400,000.00","44,100,000.00","5,156,677,500.00","19,579,169,532.00","31,920,110,000.00","41,758,575,000.00","23,413,876,000.00","51,871,204,000.00","71,950,639,000.00","88,532,964,000.00"
存放中央银行和同业款项净增加额,"2,478,227,246.99","-220,221,575.72","-1,882,157,294.61","343,368,700.85","422,114,000.00","604,670,000.00","1,002,327,000.00","875,101,000.00","1,130,949,000.00","1,766,331,000.00"
偿还债务支付的现金,,,"2,100,000,000.00","14,495,135,616.45","27,236,100,000.00","36,797,164,000.00","16,870,000,000.00","40,140,000,000.00","60,160,000,000.00","75,860,000,000.00"
支付的手续费及佣金的现金,"1,547,367,709.89","1,742,376,982.81","2,321,107,141.40","1,262,569,194.23","1,938,971,000.00","2,191,296,000.00","828,166,000.00","1,512,663,000.00","2,772,112,000.00","3,439,310,000.00"
分配股利、利润或偿付利息支付的现金,"385,922,662.50","192,645,214.25","186,773,837.22","3,954,537.28","3,522,000.00","3,955,000.00","43,500,000.00","451,797,000.00","452,094,000.00","452,897,000.00"
购买商品、提供劳务支付的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"14,611,000.00","14,513,000.00",,,,
支付原保险合同赔付款项的现金,,,,,,,,,,
筹资活动现金流出小计,"385,922,662.50","192,645,214.25","2,286,773,837.22","14,499,090,153.73","27,254,233,000.00","36,815,632,000.00","16,913,500,000.00","40,591,797,000.00","60,612,094,000.00","76,312,897,000.00"
支付保单红利的现金,,,,,,,,,,
筹资活动产生的现金流量净额,"-284,522,662.50","-148,545,214.25","2,869,903,662.78","5,080,079,378.27","4,665,877,000.00","4,942,943,000.00","6,500,376,000.00","11,279,407,000.00","11,338,545,000.00","12,220,067,000.00"
支付给职工以及为职工支付的现金,"449,627,684.47","599,343,170.83","731,113,869.70","524,987,232.57","721,376,000.00","919,869,000.00","371,113,000.00","589,393,000.00","797,106,000.00","1,024,992,000.00"
四、汇率变动对现金的影响,"-4,847,563.38","-982,192.39","8,015,765.03","7,388,386.50","9,708,000.00","17,339,000.00","-3,293,000.00","-15,329,000.00","-30,221,000.00","-41,852,000.00"
支付的各项税费,"393,995,015.74","368,530,278.90","466,182,795.17","324,359,531.24","409,178,000.00","511,742,000.00","127,905,000.00","361,388,000.00","461,684,000.00","650,410,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
