科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"51,195.07","761,232.73","149,702.02","400,997.33","170,948.38","76,241.29","-3,716,204.59","-2,758,762.33","-5,595,414.35","-8,689,217.31","-11,120,540.76","-2,297,282.43","-5,094,505.93","-8,035,280.95","-10,057,753.64","-2,589,847.06","-4,428,900.17","-5,490,978.45","-8,601,664.49","-807,607.63","-2,682,565.33","-8,443,138.03","-8,632,222.29","-2,740,717.15","-4,257,371.82","-5,333,527.92","-4,187,108.29","-724,198.26","-3,048,467.19","-5,386,725.94","-5,369,591.01","-952,098.12","-3,252,151.43","-3,079,507.64","-6,354,729.52","-1,042,595.42","-2,047,633.22","-2,440,001.81","-4,436,438.88","-878,681.62"
三、利润总额,"21,446,070.58","40,566,271.53","21,334,124.64","51,557,529.18","19,520,898.58","35,442,098.30","71,969,153.99","17,847,258.06","33,259,987.79","55,639,964.50","99,215,277.90","23,085,906.36","44,057,529.78","68,471,528.96","109,699,435.35","25,116,780.12","42,494,345.99","65,624,118.43","73,504,675.63","25,645,430.04","25,628,473.24","10,768,092.56","9,885,927.68","-5,269,332.78","-6,402,089.08","-7,438,185.49","35,657,122.04","-3,995,885.89","4,171,258.36","-97,036.17","51,958,262.05","8,405,993.96","10,063,691.49","26,490,938.59","126,043,713.18","171,535.58","23,316,906.88","22,974,412.23","101,559,066.39","-4,589,199.64"
资产减值损失,"660,751.45","-25,137.10",,"607,102.80",,,"713,982.85",,,,"2,645,230.45","20,028.69","1,126,234.85","1,126,234.85","3,745,348.32",,"1,024,882.20","1,024,882.20","5,865,149.42","-1,819,061.32","2,102,098.19","1,815,070.37","31,522,104.36","-54,929.43","-180,943.44","-180,943.44","20,939,831.43","-3,362,653.34","-1,316,797.58","-1,277,853.17","-8,145,509.69","368,849.85","-2,385,931.36","-1,522,732.56","8,262,382.38","-1,418,137.46","-4,719,476.59","-3,707,374.15","26,747,240.69","-2,569,492.80"
减:所得税,"7,219,704.83","3,297,432.50","1,344,984.22","3,350,009.67","2,651,313.50","4,859,307.09","9,732,703.48","2,501,045.59","4,524,855.25","7,546,847.08","12,962,906.36","2,948,119.62","5,758,404.49","8,665,731.16","12,597,807.95","3,921,242.23","7,018,864.75","11,031,345.16","5,891,540.58","5,221,060.79","3,306,273.53","1,124,839.91","1,213,428.36","341,786.61","998,998.58","2,126,382.84","1,152,869.23","515,398.55","1,094,807.06","1,557,628.21","4,223,748.07","925,453.72","3,406,408.55","4,053,964.09","17,746,807.73","1,712,668.05","5,564,739.89","7,061,885.87","15,138,007.80","494,052.78"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,"1,136,465.76","1,754,424.65","2,335,246.57","3,056,178.08","392,054.79","792,986.30","1,711,020.26","3,196,090.12","620,561.66","966,979.47","148,712.33","1,407,891.80",,,"44,731.03","22,315,912.18",,,,"12,256.76",,"930,301.37","2,062,295.34","3,553,250.06","1,570,617.03","3,205,233.75","5,723,896.76","6,035,565.85","1,841,118.45"
四、净利润,"14,226,365.75","37,268,839.03","19,989,140.42","48,207,519.51","16,869,585.08","30,582,791.21","62,236,450.51","15,346,212.47","28,735,132.54","48,093,117.42","86,252,371.54","20,137,786.74","38,299,125.29","59,805,797.80","97,101,627.40","21,195,537.89","35,475,481.24","54,592,773.27","67,613,135.05","20,424,369.25","22,322,199.71","9,643,252.65","8,672,499.32","-5,611,119.39","-7,401,087.66","-9,564,568.33","34,504,252.81","-4,511,284.44","3,076,451.30","-1,654,664.38","47,734,513.98","7,480,540.24","6,657,282.94","22,436,974.50","108,296,905.45","-1,541,132.47","17,752,166.99","15,912,526.36","86,421,058.59","-5,083,252.42"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,256.76",,,,"-59,599.80",,,,"-672,475.56",
归属于母公司所有者的净利润,"14,226,365.75","37,268,839.03","19,989,140.42","48,207,519.51","16,869,585.08","30,582,791.21","62,236,450.51","15,346,212.47","28,735,132.54","48,093,117.42","86,252,371.54","20,137,786.74","38,299,125.29","59,805,797.80","97,101,627.40","21,195,537.89","35,475,481.24","54,592,773.27","67,613,135.05","19,556,999.74","23,287,777.38","12,775,585.94","4,952,185.68","-4,142,930.96","-5,930,691.32","-6,509,618.62","23,393,455.21","-3,575,253.61","2,499,647.94","-4,675,274.56","29,911,896.05","7,841,172.60","6,341,103.43","23,366,143.80","101,644,074.39","2,912,076.33","22,111,364.65","24,287,643.66","97,453,208.28","-3,674,534.72"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,"867,369.51","-965,577.67","-3,132,333.29","3,720,313.64","-1,468,188.43","-1,470,396.34","-3,054,949.71","11,110,797.60","-936,030.83","576,803.36","3,020,610.18","17,822,617.93","-360,632.36","316,179.51","-929,169.30","6,652,831.06","-4,453,208.80","-4,359,197.66","-8,375,117.30","-11,032,149.69","-1,408,717.70"
