科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"39,857,924,374.39","61,254,355,884.20","13,840,538,151.03","30,284,597,320.67","46,521,192,046.02","63,742,821,578.60","14,804,927,425.98","34,713,208,287.64","56,004,182,612.18","81,071,214,111.95","15,088,672,757.94","39,906,813,411.11"
取得子公司及其他营业单位支付的现金净额,"10,596,600.00","876,354,256.61","34,520,168.14",,"359,968,016.14","359,968,016.14",,,"999,745,415.00","532,576,522.38","1,112,487,632.83","1,548,665,192.83"
收到的税费返还,"8,783.44","5,096,088.15",,,,"133,563,563.45","4,026,572.34","35,791,164.21","37,834,906.22","379,923,004.65","14,958,588.21","76,093,884.82"
支付其他与投资活动有关的现金,"746,180,075.09","2,265,790,678.30",,,,"336,664,239.10","300,636,148.53","485,185,134.54","434,114,775.21","33,040,485,219.62","4,627,275,735.01","11,095,327,336.99"
收到其他与经营活动有关的现金,"7,661,564,293.24","6,703,218,168.90","2,928,118,710.50","6,527,951,695.32","19,218,639,356.60","17,602,679,173.75","10,449,260,711.03","10,708,196,755.19","17,603,152,729.39","3,964,658,479.41","753,769,025.73","2,339,204,821.59"
投资活动现金流出小计,"2,647,212,954.88","5,399,815,802.62","930,593,482.30","1,291,245,613.67","2,080,432,661.62","3,227,981,262.20","813,983,510.66","1,978,010,073.42","4,360,824,949.78","41,457,909,552.75","8,436,621,618.26","16,477,354,590.93"
经营活动现金流入小计,"47,519,497,451.07","67,962,670,141.25","16,768,656,861.53","36,812,549,015.99","65,739,831,402.62","81,479,064,315.80","25,258,214,709.35","45,457,196,207.04","73,645,170,247.79","85,415,795,596.01","15,857,400,371.88","42,322,112,117.52"
投资活动产生的现金流量净额,"-519,119,940.56","-2,042,611,744.14","-869,376,723.70","501,776,384.70","-206,966,576.12","5,482,727,313.78","197,724,413.34","-794,753,100.29","-2,359,365,908.68","-32,656,881,979.98","570,397,157.37","-837,721,591.45"
购买商品、接受劳务支付的现金,"28,187,109,519.86","39,615,457,810.91","10,057,759,060.37","22,641,747,649.65","42,825,057,866.47","53,454,601,231.46","18,442,345,987.37","23,500,546,474.40","36,087,297,714.72","61,333,632,809.18","11,107,579,764.83","29,748,030,950.02"
吸收投资收到的现金,"636,481,567.06","12,464,946,469.85","42,449,830.94","240,324,432.94","1,271,324,432.94","5,917,521,794.61","6,000,000.00","143,950,000.00","421,339,207.09","5,145,048,638.09","1,192,949,495.00","1,913,134,801.50"
支付给职工以及为职工支付的现金,"1,933,148,501.16","2,604,038,951.14","1,279,501,143.16","1,874,864,185.80","2,511,217,476.74","3,311,187,350.41","1,373,305,295.48","2,078,995,905.46","2,823,286,609.73","3,758,537,672.82","1,533,890,000.00","2,479,285,320.09"
取得借款收到的现金,"24,598,934,897.69","24,442,912,977.71","1,408,020,599.93","8,958,412,273.34","24,979,575,897.26","33,104,635,141.52","14,665,261,395.96","23,960,567,061.42","37,414,566,222.99","61,353,693,093.53","25,187,318,090.68","48,611,636,095.12"
支付的各项税费,"9,760,055,395.32","11,654,231,550.86","3,822,778,048.54","6,912,847,963.15","8,930,103,682.13","11,117,959,828.04","4,319,547,433.64","9,580,330,021.79","12,498,734,856.10","14,604,018,983.60","4,405,740,000.00","9,551,836,380.01"
收到其他与筹资活动有关的现金,"2,940,055,977.22","3,919,212,356.58",,,,"1,025,500.00",,,,"9,958,191,179.69","5,228,922,149.36","11,040,127,512.66"
支付其他与经营活动有关的现金,"11,467,596,092.62","12,004,669,600.81","3,182,020,287.92","11,638,345,994.27","16,049,700,521.67","26,310,051,023.14","12,238,183,163.98","22,006,257,439.77","37,286,439,752.92","10,428,292,255.98","7,961,878,926.15","7,125,441,670.31"
筹资活动现金流入小计,"28,175,472,441.97","45,567,973,084.66","1,450,470,430.87","9,198,736,706.28","26,250,900,330.20","39,023,182,436.13","14,671,261,395.96","24,104,517,061.42","42,833,405,430.08","83,854,306,511.47","31,609,189,735.04","68,564,529,743.08"
经营活动现金流出小计,"51,347,909,508.96","65,878,397,913.72","18,342,058,539.99","43,067,805,792.87","70,316,079,547.01","94,193,799,433.05","36,373,381,880.47","57,166,129,841.42","88,695,758,933.47","90,124,481,721.58","25,009,088,690.98","48,904,594,320.43"
偿还债务支付的现金,"16,781,763,755.51","25,907,954,683.20","1,506,304,460.57","5,230,717,623.30","13,218,501,164.95","21,111,703,180.15","6,672,991,826.72","11,194,619,770.09","19,181,391,491.00","32,986,200,559.03","17,093,216,667.00","31,001,007,556.63"
经营活动产生的现金流量净额,"-3,828,412,057.89","2,084,272,227.53","-1,573,401,678.46","-6,255,256,776.88","-4,576,248,144.39","-12,714,735,117.25","-11,115,167,171.12","-11,708,933,634.38","-15,050,588,685.68","-4,708,686,125.57","-9,151,688,319.10","-6,582,482,202.91"
分配股利、利润或偿还利息支付的现金,"4,231,960,329.85","4,904,416,497.31","630,091,606.01","4,182,770,852.85","5,091,384,019.92","5,773,064,391.47","802,656,440.06","2,157,382,549.57","7,501,999,595.97","8,655,637,993.98","1,238,218,349.42","5,358,093,865.77"
收回投资收到的现金,"1,030,625,897.17","1,517,406,552.40","13,523,280.00","125,753,529.79","125,575,470.50","126,805,585.46",,,,,"2,014,900,000.00","2,016,504,518.62"
支付其他与筹资活动有关的现金,"-510,537,333.62","482,296,086.70","2,900,000.00","267,675,182.00","383,301,094.80","382,690,217.42","1,277,275.00","4,259,330.71","8,240,000.00","8,429,561,312.21","3,060,612,177.53","6,110,625,240.77"
取得投资收益收到的现金,"417,132,566.84","522,868,993.33","47,630,848.60","143,680,115.82","174,179,820.96","266,611,807.78",,"78,361,592.18","111,353,936.77","302,797,632.01","104,014,914.58","149,141,117.79"
筹资活动现金流出小计,"20,503,186,751.74","31,294,667,267.21","2,139,296,066.58","9,681,163,658.15","18,693,186,279.67","27,267,457,789.04","7,476,925,541.78","13,356,261,650.37","26,691,631,086.97","50,071,399,865.22","21,392,047,193.95","42,469,726,663.17"
处置固定资产、无形资产和其他长期资产收回的现金净额,"851,668.60","1,000,162.20","62,630.00","112,108.85","234,550.13","13,190,876.00","318,804.00","480,099.65","657,738.54","852,833.65","53,426.00","686,627.61"
筹资活动产生的现金流量净额,"7,672,285,690.23","14,273,305,817.45","-688,825,635.71","-482,426,951.87","7,557,714,050.53","11,755,724,647.09","7,194,335,854.18","10,748,255,411.05","16,141,774,343.11","33,782,906,646.25","10,217,142,541.09","26,094,803,079.91"
处置子公司及其他营业单位收到的现金净额,"49,247,848.10","48,418,041.59",,"1,523,476,243.91","1,523,476,243.91","3,037,464,046.80","1,011,389,120.00","1,011,389,120.00","1,011,389,120.00","1,018,643,955.55","2,989,850,872.31","2,615,047,261.16"
四、汇率变动对现金的影响,"107,584,937.68","198,849,809.88","-8,554,834.79","43,013,753.47","45,484,872.78","428,458,514.14","-41,518,527.51","-94,283,904.06","-152,752,012.48","-298,404,969.55","-90,411,731.58","13,942,879.75"
