科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"440,396,650.34","496,647,972.18","654,035,360.10",,"682,658,044.77","915,800,388.43","272,466,594.15","458,534,612.00","685,548,921.45","1,034,724,010.55","268,535,824.37","607,420,696.71","822,983,976.92","1,646,366,892.15","456,576,606.46","937,413,453.28","1,468,935,747.28"
取得子公司及其他营业单位支付的现金净额,,"105,166,459.89","56,310,000.00",,,,,,,"224,006,182.40",,,,"183,818,177.26",,,"3,347,707.43"
收到的税费返还,,,,,,,"13,393.19","1,456,429.52","3,432,751.49","14,958,746.84","4,710,547.47","13,967,463.24","22,490,638.87","40,516,148.91","8,618,073.24","22,217,105.36","38,870,175.99"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"100,000,000.00",,,
收到其他与经营活动有关的现金,"16,118,919.35","16,512,998.23","83,446,303.62",,"6,825,482.22","74,537,642.17","31,864,102.03","61,035,811.35","59,093,868.45","129,163,519.69","43,192,881.61","108,999,408.19","117,997,675.36","84,763,210.84","112,342,054.81","138,645,781.94","184,399,418.14"
投资活动现金流出小计,"36,142,499.06","136,427,571.24","105,663,618.58",,"7,086,095.62","14,863,913.66","3,247,884.80","3,469,062.93","11,972,018.28","240,993,107.77","49,963,928.60","9,528,244.99","211,575,121.61","469,290,380.50","9,276,560.25","48,912,005.94","137,345,300.64"
经营活动现金流入小计,"456,515,569.69","513,160,970.41","737,481,663.72",,"689,483,526.99","990,338,030.60","304,344,089.37","521,026,852.87","748,075,541.39","1,178,846,277.08","316,439,253.45","730,387,568.14","963,472,291.15","1,771,646,251.90","577,536,734.51","1,098,276,340.58","1,692,205,341.41"
投资活动产生的现金流量净额,"-29,797,519.06","-126,402,763.90","-80,704,137.07",,"-5,975,252.32","-13,750,535.66","-3,247,884.80","-3,469,062.93","-11,971,398.28","-240,991,589.37","-49,795,600.60","-9,359,094.99","-211,405,971.61","-468,880,341.89","29,442,378.33","-10,193,067.36","-98,611,312.06"
购买商品、接受劳务支付的现金,"364,014,485.11","395,958,350.13","643,758,025.33",,"440,232,935.03","707,978,028.68","289,760,116.43","484,684,997.26","763,910,273.12","1,138,647,627.20","504,152,513.16","753,772,154.92","980,091,294.76","1,667,884,786.17","448,711,959.17","1,154,080,211.34","1,693,750,310.63"
吸收投资收到的现金,,,"3,975,000.00",,"242,044,686.00","229,970,530.00",,,"106,500,881.80","193,626,039.80",,"525,800,000.00","531,860,000.00","552,001,536.33","12,700,000.00","42,700,000.00","42,700,000.00"
