科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"446,250,737.07","756,696,170.24","1,084,073,438.59","605,870,994.34","890,898,894.31","1,322,607,282.04","382,982,480.17","834,269,245.98","1,336,781,689.72","1,981,560,435.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"184,788.43","184,788.43","184,788.43"
收到的税费返还,"11,203,814.50","28,828,312.37","79,280,171.02","39,738,730.47","64,616,238.27","86,988,119.14","24,874,368.43","49,248,787.65","67,422,144.94","89,094,291.67"
支付其他与投资活动有关的现金,,,,,,,,,,"222,726,100.00"
收到其他与经营活动有关的现金,"10,283,904.29","4,899,189.50","8,713,861.75","5,795,376.06","8,773,643.83","14,200,563.43","3,997,590.23","9,867,471.47","14,243,746.08","43,399,918.19"
投资活动现金流出小计,"31,446,611.92","402,579,275.04","296,521,429.85","182,537,493.29","300,807,631.87","444,348,872.74","84,813,699.23","120,756,811.33","177,312,305.96","470,805,253.28"
经营活动现金流入小计,"467,738,455.86","790,423,672.11","1,172,067,471.36","651,405,100.87","964,288,776.41","1,423,795,964.61","411,854,438.83","893,385,505.10","1,418,447,580.74","2,114,054,645.45"
投资活动产生的现金流量净额,"-28,604,873.66","-40,744,003.59","-42,478,747.00","-39,692,845.95","-71,146,864.98","-83,045,536.62","-69,555,360.50","-69,101,495.51","-125,563,344.46","-418,432,078.37"
购买商品、接受劳务支付的现金,"276,612,512.81","471,067,056.08","702,892,159.35","432,795,858.47","657,331,493.48","877,396,189.18","257,350,406.92","543,504,233.97","914,639,578.64","1,268,711,127.09"
吸收投资收到的现金,,"12,500,000.00",,,"1,500,000.00","1,500,000.00","742,472,500.00","742,472,500.00","742,472,500.00","742,472,500.00"
支付给职工以及为职工支付的现金,"61,656,007.90","93,430,977.95","130,696,892.71","68,702,815.60","103,278,083.97","165,524,904.82","49,540,832.55","105,662,284.56","159,684,476.54","258,914,367.91"
取得借款收到的现金,"35,960,000.00","10,000,000.00","28,280,000.00","54,200,000.00","99,200,000.00","226,900,000.00","73,560,000.00","73,560,000.00","73,560,000.00","223,560,000.00"
支付的各项税费,"5,092,713.99","13,309,065.03","32,562,137.33","25,735,169.01","38,871,825.52","53,079,811.64","19,141,359.60","35,940,509.86","56,276,358.15","64,935,902.94"
收到其他与筹资活动有关的现金,,,,,,,,"8,000,000.00","8,000,000.00","8,000,000.00"
支付其他与经营活动有关的现金,"47,619,554.69","87,476,338.94","91,314,119.87","57,860,154.60","90,749,646.71","152,118,507.40","46,797,459.49","97,458,691.71","163,862,648.26","240,326,886.76"
筹资活动现金流入小计,"35,960,000.00","22,500,000.00","28,280,000.00","54,200,000.00","100,700,000.00","228,400,000.00","816,032,500.00","824,032,500.00","824,032,500.00","974,032,500.00"
经营活动现金流出小计,"390,980,789.39","665,283,438.00","957,465,309.26","585,093,997.68","890,231,049.68","1,248,119,413.04","372,830,058.56","782,565,720.10","1,294,463,061.59","1,832,888,284.70"
偿还债务支付的现金,"20,000,000.00","25,960,000.00","20,000,000.00",,,"10,000,000.00","58,040,000.00","161,040,000.00","181,040,000.00","308,740,000.00"
经营活动产生的现金流量净额,"76,757,666.47","125,140,234.11","214,602,162.10","66,311,103.19","74,057,726.73","175,676,551.57","39,024,380.27","110,819,785.00","123,984,519.15","281,166,360.75"
分配股利、利润或偿还利息支付的现金,"34,896,664.42","18,061,693.33","26,620,680.38","40,943,164.85","42,087,081.37","69,996,011.06","2,764,633.97","46,978,996.67","48,432,278.52","49,633,830.54"
收回投资收到的现金,"2,770,142.12","361,627,368.27","253,804,583.24","142,520,424.10","229,155,625.15","359,818,941.16","15,000,000.00","51,000,000.00","51,000,000.00","51,000,000.00"
支付其他与筹资活动有关的现金,,"3,146,763.21","2,384,991.98","493,150.41","1,238,013.72","581,455.59","10,650,000.00","10,650,000.00","18,650,000.00","18,650,000.00"
取得投资收益收到的现金,,,,,,,"41,757.53","66,458.89","66,002.96","66,458.89"
筹资活动现金流出小计,"54,896,664.42","47,168,456.54","49,005,672.36","41,436,315.26","43,325,095.09","80,577,466.65","71,454,633.97","218,668,996.67","248,122,278.52","377,023,830.54"
处置固定资产、无形资产和其他长期资产收回的现金净额,"71,596.14","207,903.18","238,099.61","324,223.24","505,141.74","614,394.96","216,581.20","588,856.93","682,958.54","1,024,716.02"
筹资活动产生的现金流量净额,"-18,936,664.42","-24,668,456.54","-20,725,672.36","12,763,684.74","57,374,904.91","147,822,533.35","744,577,866.03","605,363,503.33","575,910,221.48","597,008,669.46"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-1,469,145.00","510,232.10","11,981,680.76","5,050,840.13","9,427,058.65","24,408,554.94","-2,404,375.00","-11,546,037.72","-22,788,060.96","-31,939,851.03"
收到其他与投资活动有关的现金,,,,,,"870,000.00",,,,"282,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"2,841,738.26","361,835,271.45","254,042,682.85","142,844,647.34","229,660,766.89","361,303,336.12","15,258,338.73","51,655,315.82","51,748,961.50","52,373,174.91"
五、现金及现金等价物净增加额,"27,746,983.39","60,238,006.08","163,379,423.50","44,432,782.11","69,712,825.31","264,862,103.24","711,642,510.80","635,535,755.10","551,543,335.21","427,803,100.81"
购建固定资产、无形资产和其他长期资产支付的现金,"26,946,611.92","47,179,275.04","43,671,429.85","38,737,493.29","54,007,631.87","84,048,872.74","33,813,699.23","68,572,022.90","111,007,517.53","158,569,364.85"
期初现金及现金等价物余额,"41,550,448.22","69,297,431.61","129,535,437.69","292,914,861.19","292,914,861.19","292,914,861.19","557,776,964.43","557,776,964.43","557,776,964.43","557,776,964.43"
投资支付的现金,"4,500,000.00","355,400,000.00","252,850,000.00","143,800,000.00","246,800,000.00","360,300,000.00","51,000,000.00","52,000,000.00","66,120,000.00","89,325,000.00"
期末现金及现金等价物余额,"69,297,431.61","129,535,437.69","292,914,861.19","337,347,643.30","362,627,686.50","557,776,964.43","1,269,419,475.23","1,193,312,719.53","1,109,320,299.64","985,580,065.24"
